,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1271139,69701000,401,Томская область,11,3505326.16,3487799.53,,Ремонт фундаментов,1419.1,"1620,98242",2457.7545838911988,0.0049999997717759745
1227105,69741000,6510,Томская область,11,905734.96,951098.8,25.11.2016,Ремонт фундаментов,502.9,"946,32396",1891.228474845894,-0.05008511540727111
1323908,69632000,5488,Томская область,11,4244435.63,4105079.47,20.08.2019,Ремонт фундаментов,2250.2,"4493,87660",1824.3176028797443,0.032832671325021295
1226755,69741000,6523,Томская область,11,909479.1,1013681.55,25.11.2016,Ремонт фундаментов,587.0,"0,00000",1726.8850936967633,-0.11457377085410766
1310035,69701000,159,Томская область,11,1141785.03,1136076.1,,Ремонт фундаментов,1798.4,"833,82653",631.7149132562278,0.005000004247734738
1271116,69701000,401,Томская область,9,709512.41,705964.85,,Ремонт фундаментов,1419.1,"1620,98242",497.4736452681277,0.004999997110691913
1310037,69701000,159,Томская область,9,452698.85,450435.36,,Ремонт фундаментов,1798.4,"833,82653",250.4645017793594,0.004999990611860381
1198027,69604000,4669,Томская область,11,,,,Ремонт фундаментов,759.3,"0,00000",,
1198061,69604000,4675,Томская область,11,,,,Ремонт фундаментов,940.6,"0,00000",,
1198095,69604000,4677,Томская область,11,,,,Ремонт фундаментов,1657.0,"0,00000",,
1198130,69604000,4670,Томская область,11,,,,Ремонт фундаментов,789.9,"0,00000",,
1198142,69604000,4678,Томская область,11,,,,Ремонт фундаментов,1630.9,"0,00000",,
1198171,69604000,4679,Томская область,11,,,,Ремонт фундаментов,1621.8,"0,00000",,
1198195,69604000,4671,Томская область,11,,,,Ремонт фундаментов,676.4,"0,00000",,
1198212,69604000,4672,Томская область,11,,,,Ремонт фундаментов,825.2,"0,00000",,
1198238,69604000,4673,Томская область,11,,,,Ремонт фундаментов,885.0,"0,00000",,
1198274,69604000,4674,Томская область,11,,,,Ремонт фундаментов,933.4,"0,00000",,
1198319,69604000,4654,Томская область,11,,,,Ремонт фундаментов,410.8,"0,00000",,
1198335,69604000,4655,Томская область,11,,,,Ремонт фундаментов,549.1,"0,00000",,
1198522,69604000,4706,Томская область,11,,,,Ремонт фундаментов,350.8,"0,00000",,
1198575,69604000,4709,Томская область,11,,,,Ремонт фундаментов,361.4,"0,00000",,
1198663,69604000,4759,Томская область,11,,,,Ремонт фундаментов,611.6,"0,00000",,
1198699,69604000,4652,Томская область,11,,,,Ремонт фундаментов,360.5,"0,00000",,
1198730,69604000,4659,Томская область,11,,,,Ремонт фундаментов,303.0,"0,00000",,
1198744,69604000,4660,Томская область,11,,,,Ремонт фундаментов,364.9,"0,00000",,
1198760,69604000,4661,Томская область,11,,,,Ремонт фундаментов,366.6,"0,00000",,
1198791,69604000,4662,Томская область,11,,,,Ремонт фундаментов,371.7,"0,00000",,
1198829,69604000,4664,Томская область,11,,,,Ремонт фундаментов,329.6,"0,00000",,
1198972,69604000,4692,Томская область,11,,,,Ремонт фундаментов,261.6,"0,00000",,
1198984,69604000,4693,Томская область,11,,,,Ремонт фундаментов,364.8,"0,00000",,
1199009,69604000,4694,Томская область,11,,,,Ремонт фундаментов,366.1,"0,00000",,
1199024,69604000,4695,Томская область,11,,,,Ремонт фундаментов,480.4,"0,00000",,
1199045,69604000,4710,Томская область,11,,,,Ремонт фундаментов,573.6,"0,00000",,
1199080,69604000,4711,Томская область,11,,,,Ремонт фундаментов,415.5,"0,00000",,
1199106,69604000,4713,Томская область,11,,,,Ремонт фундаментов,303.2,"0,00000",,
1199135,69604000,4714,Томская область,11,,,,Ремонт фундаментов,357.8,"0,00000",,
1199186,69604000,4721,Томская область,11,,,,Ремонт фундаментов,369.1,"0,00000",,
1199219,69604000,4722,Томская область,11,,,,Ремонт фундаментов,364.2,"0,00000",,
1199390,69604000,4731,Томская область,11,,,,Ремонт фундаментов,429.3,"2774,77733",,
1199397,69604000,4733,Томская область,11,,,,Ремонт фундаментов,675.3,"0,00000",,
1199433,69604000,4736,Томская область,11,,,,Ремонт фундаментов,245.3,"0,00000",,
1199452,69604000,4737,Томская область,11,,,,Ремонт фундаментов,372.5,"0,00000",,
1199484,69604000,4738,Томская область,11,,,,Ремонт фундаментов,335.6,"0,00000",,
1199571,69604000,4745,Томская область,11,,,,Ремонт фундаментов,584.1,"1836,04619",,
1199625,69604000,4749,Томская область,11,,,,Ремонт фундаментов,531.4,"1254,97955",,
1199735,69604000,4753,Томская область,11,,,,Ремонт фундаментов,358.0,"51,49160",,
1199760,69604000,4754,Томская область,11,,,,Ремонт фундаментов,362.6,"52,14330",,
1199811,69604000,4758,Томская область,11,,,,Ремонт фундаментов,428.1,"0,00000",,
1199841,69604000,4761,Томская область,11,,,,Ремонт фундаментов,535.1,"0,00000",,
1199863,69604000,4762,Томская область,11,,,,Ремонт фундаментов,215.2,"0,00000",,
1199915,69604000,4765,Томская область,11,,,,Ремонт фундаментов,542.9,"0,00000",,
1199953,69604000,4766,Томская область,11,,,,Ремонт фундаментов,350.2,"0,00000",,
1199971,69604000,4767,Томская область,11,,,,Ремонт фундаментов,791.2,"0,00000",,
1199983,69604000,4768,Томская область,11,,,,Ремонт фундаментов,564.9,"0,00000",,
1200022,69604000,4769,Томская область,11,,,,Ремонт фундаментов,783.3,"0,00000",,
1200041,69604000,4770,Томская область,11,,,,Ремонт фундаментов,789.9,"0,00000",,
1200047,69608000,4443,Томская область,11,,,,Ремонт фундаментов,543.93,"0,00000",,
1200095,69608000,4526,Томская область,11,,,,Ремонт фундаментов,792.06,"4806,86749",,
1200136,69608000,4388,Томская область,11,,,,Ремонт фундаментов,915.64,"1507,83394",,
1200137,69608000,4389,Томская область,11,,,,Ремонт фундаментов,1062.2,"1835,06102",,
1200164,69608000,4390,Томская область,11,,,,Ремонт фундаментов,1075.1,"0,00000",,
1200201,69608000,4391,Томская область,11,,,,Ремонт фундаментов,1076.2,"0,00000",,
1200208,69608000,4392,Томская область,11,,,,Ремонт фундаментов,1068.2,"0,00000",,
