,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5645347,96634000,11851,Чеченская Республика,9,1693105.0,1693105.0,31.12.2014,Ремонт фундаментов,3349.0,"13037,59000",505.5553896685578,0.0
5645210,96634000,11844,Чеченская Республика,9,283492.0,283492.0,31.12.2014,Ремонт фундаментов,603.0,"4679,35000",470.13598673300163,0.0
5645233,96634000,11845,Чеченская Республика,9,288947.0,288947.0,31.12.2014,Ремонт фундаментов,619.0,"4679,44000",466.7964458804523,0.0
5640864,96610000,11628,Чеченская Республика,9,94470.06,94470.06,14.11.2016,Ремонт фундаментов,355.3,"666,34600",265.88815085842947,0.0
5646233,96628000,11892,Чеченская Республика,9,163386.64,163386.64,22.06.2016,Ремонт фундаментов,795.0,"1031,29200",205.51778616352203,0.0
5645734,96637000,11870,Чеченская Республика,9,194205.73,194205.73,16.11.2016,Ремонт фундаментов,1001.8,"638,42100",193.85678778199244,0.0
5619090,96701000,10486,Чеченская Республика,9,954197.0,954197.0,30.09.2017,Ремонт фундаментов,5799.7,,164.52523406383088,0.0
5645720,96637000,11869,Чеченская Республика,9,66900.54,66900.54,16.11.2016,Ремонт фундаментов,415.1,"307,65600",161.16728499156827,0.0
5647241,96640000,11945,Чеченская Республика,9,63671.1,63671.1,29.12.2015,Ремонт фундаментов,401.7,"234,44600",158.5041075429425,0.0
5647216,96640000,11944,Чеченская Республика,9,63443.21,63443.21,29.12.2015,Ремонт фундаментов,401.7,"686,57200",157.93679362708488,0.0
5640928,96610000,11631,Чеченская Республика,9,63206.1,63206.1,14.11.2016,Ремонт фундаментов,401.06,"831,45800",157.5976163167606,0.0
5646993,96640000,11933,Чеченская Республика,9,121583.29,121583.29,06.12.2018,Ремонт фундаментов,808.4,,150.39991340920335,0.0
5640977,96610000,11634,Чеченская Республика,9,91675.27,91675.27,14.11.2016,Ремонт фундаментов,610.94,"1305,83700",150.05609388810686,0.0
5612611,96702000,10060,Чеченская Республика,9,91741.01,91741.01,16.11.2016,Ремонт фундаментов,629.2,"391,45400",145.80580101716464,0.0
5639847,96610000,11586,Чеченская Республика,9,112393.0,112393.0,19.10.2017,Ремонт фундаментов,779.0,"1869,91200",144.2785622593068,0.0
5645655,96637000,11864,Чеченская Республика,9,140054.0,140054.0,09.11.2017,Ремонт фундаментов,1031.2,"863,00600",135.81652443754848,0.0
5645764,96637000,11871,Чеченская Республика,9,139714.03,139714.03,16.11.2016,Ремонт фундаментов,1035.9,"454,10400",134.87212086108696,0.0
5645563,96637000,11860,Чеченская Республика,9,81925.69,81925.69,06.12.2018,Ремонт фундаментов,632.0,,129.62925632911393,0.0
5645502,96637000,11858,Чеченская Республика,9,81925.69,81925.69,06.12.2018,Ремонт фундаментов,643.3,,127.35223068552776,0.0
5645402,96637000,11854,Чеченская Республика,9,81925.69,81925.69,06.12.2018,Ремонт фундаментов,652.5,,125.55661302681993,0.0
5646737,96640000,11925,Чеченская Республика,9,121583.29,121583.29,06.12.2018,Ремонт фундаментов,970.2,,125.31775922490208,0.0
5645615,96637000,11863,Чеченская Республика,9,129074.91,129074.91,16.11.2016,Ремонт фундаментов,1045.2,"428,95600",123.49302525832377,0.0
5645703,96637000,11866,Чеченская Республика,9,129244.0,129244.0,09.11.2017,Ремонт фундаментов,1049.9,"796,61600",123.10124773787979,0.0
5613812,96604000,10115,Чеченская Республика,9,54587.56,54587.56,08.12.2015,Ремонт фундаментов,457.2,"303,43600",119.39536307961505,0.0
5641273,96612000,11648,Чеченская Республика,9,74370.0,74370.0,19.10.2017,Ремонт фундаментов,624.0,"675,34400",119.1826923076923,0.0
5646667,96640000,11922,Чеченская Республика,9,95988.39,95988.39,06.12.2018,Ремонт фундаментов,808.4,,118.7387308263236,0.0
5613774,96604000,10114,Чеченская Республика,9,54039.23,54039.23,08.12.2015,Ремонт фундаментов,457.2,"1395,42500",118.19604111986003,0.0
5647286,96640000,11946,Чеченская Республика,9,45307.4,45307.4,29.12.2015,Ремонт фундаментов,402.1,"268,23900",112.67694603332504,0.0
5639824,96610000,11585,Чеченская Республика,9,77898.0,77898.0,19.10.2017,Ремонт фундаментов,699.6,"1600,51900",111.34648370497426,0.0
5645282,96634000,11848,Чеченская Республика,9,39687.0,39687.0,14.09.2017,Ремонт фундаментов,390.0,"411,64400",101.76153846153846,0.0
5644773,96625000,11822,Чеченская Республика,9,47024.0,47024.0,19.10.2017,Ремонт фундаментов,481.0,"441,95222",97.76299376299376,0.0
5645179,96634000,11843,Чеченская Республика,9,37278.0,37278.0,14.09.2017,Ремонт фундаментов,397.7,"258,28000",93.73397032939401,0.0
5613329,96602000,10093,Чеченская Республика,9,32779.0,32779.0,14.09.2017,Ремонт фундаментов,397.4,"587,18900",82.48364368394566,0.0
5639802,96610000,11584,Чеченская Республика,9,56285.0,56285.0,19.10.2017,Ремонт фундаментов,682.7,"1547,72500",82.44470484839607,0.0
5646212,96628000,11891,Чеченская Республика,9,98136.66,98136.66,22.06.2016,Ремонт фундаментов,1230.0,"3009,80700",79.7859024390244,0.0
5627621,96701000,10928,Чеченская Республика,9,272018.0,139741.0,30.09.2017,Ремонт фундаментов,2274.4,,61.44081955680619,0.48628031968472674
5638638,96607000,11524,Чеченская Республика,9,64442.34,64442.34,06.12.2018,Ремонт фундаментов,1266.0,,50.90232227488151,0.0
5638650,96607000,11525,Чеченская Республика,9,64442.34,64442.34,06.12.2018,Ремонт фундаментов,1294.4,,49.78549134734239,0.0
5628912,96701000,10986,Чеченская Республика,9,128854.68,128854.68,01.10.2018,Ремонт фундаментов,2831.3,,45.51078303252922,0.0
5629070,96701000,10993,Чеченская Республика,9,125824.0,125824.0,01.10.2018,Ремонт фундаментов,2831.3,,44.440363084095644,0.0
5628919,96701000,10987,Чеченская Республика,9,125764.09,125764.09,01.10.2018,Ремонт фундаментов,2831.3,,44.41920319287959,0.0
5626216,96701000,10850,Чеченская Республика,9,213759.0,213759.0,09.11.2018,Ремонт фундаментов,4850.7,,44.06766033768322,0.0
5621820,96701000,10619,Чеченская Республика,9,220332.21,220332.21,09.11.2018,Ремонт фундаментов,5144.5,,42.82869277869569,0.0
5623732,96701000,10711,Чеченская Республика,9,253098.48,253098.48,09.11.2018,Ремонт фундаментов,6107.0,,41.44399541509743,0.0
5630435,96701000,11054,Чеченская Республика,9,181795.0,181795.0,01.10.2018,Ремонт фундаментов,4681.8,,38.83015079670212,0.0
5630383,96701000,11052,Чеченская Республика,9,243447.0,243447.0,01.10.2018,Ремонт фундаментов,6637.2,,36.67917193997469,0.0
5626266,96701000,10852,Чеченская Республика,9,209108.65,209108.65,09.11.2018,Ремонт фундаментов,5712.1,,36.608016316240956,0.0
5634064,96701000,11236,Чеченская Республика,9,270321.78,270321.78,09.11.2018,Ремонт фундаментов,7499.7,,36.044345773830955,0.0
5634046,96701000,11235,Чеченская Республика,9,233394.71,233394.71,09.11.2018,Ремонт фундаментов,6812.5,,34.25977394495413,0.0
5618028,96701000,10431,Чеченская Республика,9,32686.0,32686.0,09.11.2018,Ремонт фундаментов,997.2,,32.77777777777778,0.0
