,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5388272,15608000,1079669,Брянская область,1,1101525.0,1749514.59,,Электроснабжение,1710.0,"0,00000",1023.1079473684212,-0.5882658950091919
5437018,15656000,8000859,Брянская область,1,536287.0,533174.24,,Электроснабжение,685.5,"0,00000",777.78882567469,0.00580428017087867
5412291,15701000,1066207,Брянская область,1,2595214.0,2537976.36,,Электроснабжение,3962.3,"0,00000",640.5310955758018,0.022055075226937018
5409482,15701000,1053495,Брянская область,1,2764578.0,2374343.17,,Электроснабжение,4285.7,"0,00000",554.0152530508435,0.14115529748120692
5437557,15656000,8000096,Брянская область,1,583273.0,579758.71,,Электроснабжение,1209.9,"0,00000",479.17903132490284,0.006025120312443808
5395694,15701000,1015482,Брянская область,1,1439468.0,1022751.11,,Электроснабжение,2315.0,"0,00000",441.79313606911444,0.28949368099881345
5403218,15701000,1046697,Брянская область,1,157346.0,365885.94,,Электроснабжение,870.34,"55,63000",420.3942597145943,-1.3253590177062016
5411596,15701000,1066878,Брянская область,1,1085157.0,1143209.15,15.08.2018,Электроснабжение,2765.1,"3398,30000",413.4422444034574,-0.05349654473960902
5422437,15616000,9000039,Брянская область,1,1595653.0,1600726.68,01.10.2018,Электроснабжение,3974.1,"4814,17000",402.7897335245716,-0.003179688817054795
5399434,15701000,1015958,Брянская область,1,1185064.0,2397279.86,,Электроснабжение,5974.3,"343,50000",401.2653967828867,-1.0229117245988402
5426692,15624000,11080867,Брянская область,1,1020312.0,1020312.74,,Электроснабжение,2554.3,"5800,36000",399.449062365423,-7.252683492801092e-07
5388691,15608000,1099703,Брянская область,1,212834.0,211544.88,,Электроснабжение,538.0,"1538,68000",393.2060966542751,0.006056926994747058
5389737,15611000,12000060,Брянская область,1,79927.0,81968.24,19.10.2016,Электроснабжение,238.7,"1014,57000",343.39438625890244,-0.025538804158794965
5430046,15634000,12000919,Брянская область,1,212722.0,414433.9,,Электроснабжение,1212.5,"0,00000",341.80115463917525,-0.9482418367634754
5400335,15701000,1046832,Брянская область,1,268169.0,262891.88,02.11.2015,Электроснабжение,911.89,"25,25000",288.293412582658,0.019678337167979877
5410740,15701000,1018120,Брянская область,1,1062889.0,1097898.89,09.08.2018,Электроснабжение,3969.5,"5388,24000",276.5836730066759,-0.03293842536708903
5411057,15701000,1053045,Брянская область,1,361374.0,362575.23,21.05.2018,Электроснабжение,1333.3,"3236,29000",271.9382209555239,-0.0033240631589433146
5438180,15658000,5015729,Брянская область,1,339204.0,336749.36,,Электроснабжение,1361.1,"0,00000",247.40971273234885,0.007236471268027541
5438132,15658000,5015722,Брянская область,1,339703.0,337210.84,,Электроснабжение,1367.6,"0,00000",246.5712489031881,0.007336290818744534
5389781,15611000,12000055,Брянская область,1,184589.0,162986.72,,Электроснабжение,666.6,"0,00000",244.5045304530453,0.11702907540536
5422454,15616000,9000041,Брянская область,1,382588.0,326927.94,27.06.2019,Электроснабжение,1338.3,"2042,10000",244.2859896884107,0.14548302612732233
5388184,15608000,1077921,Брянская область,1,200747.0,194877.81,21.10.2015,Электроснабжение,806.08,"1163,31000",241.75988735609369,0.029236750736001047
5390613,15701000,1019245,Брянская область,1,1002797.0,926885.49,,Электроснабжение,3853.1,"0,00000",240.5557836547196,0.07569977772171238
5389766,15611000,12000053,Брянская область,1,188512.0,153861.78,06.07.2015,Электроснабжение,652.88,"0,00000",235.66624800882244,0.18380909438125956
