,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
801508,45376000,94822,Москва,1,260396.1,260396.1,,Электроснабжение,89.0,"141,49391",2925.7988764044944,0.0
1022580,45328000,124589,Москва,1,6314402.54,6314402.54,,Электроснабжение,2467.0,"0,00000",2559.5470368869073,0.0
835624,45308000,137791,Москва,1,383073.53,383073.53,,Электроснабжение,160.0,"0,00000",2394.2095625,0.0
1022600,45328000,96563,Москва,1,5846016.82,5846016.82,,Электроснабжение,2474.0,"699,49447",2362.9817380759905,0.0
1105932,45381000,94475,Москва,1,2001211.12,2001211.12,,Электроснабжение,890.0,"0,00000",2248.5518202247194,0.0
943814,45393000,101009,Москва,1,480663.73,480663.73,,Электроснабжение,232.0,"154,07693",2071.826422413793,0.0
1032574,45383000,96222,Москва,1,1793882.41,1793882.41,,Электроснабжение,1089.0,"9128,86510",1647.274940312213,0.0
689944,45378000,97390,Москва,1,515505.62,515505.62,,Электроснабжение,313.0,"155,07636",1646.9828115015973,0.0
943790,45393000,101008,Москва,1,536677.45,536677.45,,Электроснабжение,330.0,"188,60095",1626.2953030303029,0.0
640615,45349000,97372,Москва,1,1497540.7,1497540.7,02.10.2017,Электроснабжение,975.0,"7003,65986",1535.9391794871794,0.0
800815,45376000,96918,Москва,1,1328708.44,1328708.44,,Электроснабжение,876.0,"401,31737",1516.7904566210045,0.0
705642,45321000,102900,Москва,1,562512.35,562512.35,,Электроснабжение,375.0,"0,00000",1500.0329333333332,0.0
721118,45946000,97222,Москва,1,724700.35,724700.35,30.05.2018,Электроснабжение,490.0,"4962,04799",1478.9803061224488,0.0
652902,45375000,95349,Москва,1,521604.9,521604.9,,Электроснабжение,353.0,"110,23129",1477.6342776203967,0.0
802539,45376000,96756,Москва,1,630740.67,630740.67,,Электроснабжение,427.0,"390,12659",1477.1444262295083,0.0
1000235,45326000,95232,Москва,1,4671447.98,4671447.98,,Электроснабжение,3298.0,"3994,15201",1416.4487507580352,0.0
834348,45341000,99404,Москва,1,26251383.33,26251383.33,,Электроснабжение,18614.0,"3424,54672",1410.3031766412378,0.0
647463,45375000,94817,Москва,1,702702.89,702702.89,07.12.2017,Электроснабжение,528.0,"854,07167",1330.8766856060606,0.0
1120996,45346000,101638,Москва,1,2106120.59,2106120.59,,Электроснабжение,1585.0,"0,00000",1328.7827066246057,0.0
680315,45914000,103062,Москва,1,5381913.73,5381913.73,,Электроснабжение,4064.0,"0,00000",1324.2897957677167,0.0
1029619,45383000,99452,Москва,1,617268.63,617268.63,,Электроснабжение,471.0,"0,00000",1310.5491082802548,0.0
886417,45331000,148537,Москва,1,34079074.65,34079074.65,28.01.2018,Электроснабжение,26058.0,"167647,39626",1307.8162042367028,0.0
733787,45380000,98647,Москва,1,722289.22,722289.22,,Электроснабжение,556.0,"0,00000",1299.0813309352518,0.0
686355,45915000,102954,Москва,1,1252536.27,1252536.27,,Электроснабжение,966.0,"0,00000",1296.6213975155279,0.0
689099,45378000,94686,Москва,1,10012167.34,10012167.34,,Электроснабжение,7817.0,"19576,56883",1280.8196673915825,0.0
1110857,45381000,96453,Москва,1,597602.93,597602.93,02.04.2018,Электроснабжение,468.0,"3850,25892",1276.9293376068376,0.0
1023722,45328000,95034,Москва,1,26844118.87,26844118.87,,Электроснабжение,21268.0,"2822,88319",1262.1835090276472,0.0
655547,45375000,101397,Москва,1,1049353.92,1049353.92,,Электроснабжение,832.0,"0,00000",1261.2426923076923,0.0
1071030,45372000,95559,Москва,1,4366076.69,4366076.69,,Электроснабжение,3571.0,"807,82415",1222.648190982918,0.0
