,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2796015,22657000,5243000103,Нижегородская область,1,152602.0,2334914.73,,Электроснабжение,785.6,"103,36098",2972.141967922607,-14.300682363271779
2636488,22721000,5247001530,Нижегородская область,1,306146.0,553242.0,,Электроснабжение,367.8,"1500,26012",1504.1924959216965,-0.807118172375272
2637765,22721000,5247001619,Нижегородская область,1,281431.0,679736.4,,Электроснабжение,480.29,"1612,51492",1415.26244560578,-1.4152861625051967
2629599,22721000,5247001295,Нижегородская область,1,59490.0,401392.8,,Электроснабжение,305.6,"50,74628",1313.458115183246,-5.747231467473525
2795745,22657000,5243000071,Нижегородская область,1,39911.0,222829.15,,Электроснабжение,176.5,"86,72979",1262.4881019830027,-4.5831512615569645
2630630,22721000,5247001329,Нижегородская область,1,438390.0,531919.2,,Электроснабжение,435.81,"582,01406",1220.5300474977628,-0.21334701977691087
2694942,22701000,5248101614,Нижегородская область,1,339255.0,339255.9,,Электроснабжение,293.94,"644,70021",1154.167176974893,-2.652871733720308e-06
2759594,22636000,5223000010,Нижегородская область,1,200400.0,489679.94,13.06.2019,Электроснабжение,425.27,"681,64725",1151.4565805253135,-1.4435126746506985
2586073,22607000,5204000046,Нижегородская область,1,494000.0,316936.85,,Электроснабжение,286.7,"195,99920",1105.4651203348446,0.35842742914979764
2796404,22657000,5243000149,Нижегородская область,1,37563.0,248101.92,,Электроснабжение,228.2,"77,21688",1087.2126205083262,-5.604954875808642
2673834,22701000,5248100066,Нижегородская область,1,559669.0,576453.6,,Электроснабжение,544.18,"1841,01045",1059.3068469991547,-0.029990226365941255
2631660,22721000,5247000786,Нижегородская область,1,890712.0,890711.2,06.10.2017,Электроснабжение,868.7,"5975,87257",1025.3380914009438,8.981578782441082e-07
2670091,22701000,5248501206,Нижегородская область,1,252729.0,371696.4,,Электроснабжение,365.9,"27,97207",1015.8414867450124,-0.4707310993198249
2636311,22721000,5247001516,Нижегородская область,1,95799.0,590667.6,,Электроснабжение,584.3,"1960,06651",1010.8978264590108,-5.16569692794288
2786548,22737000,5251000065,Нижегородская область,1,83340.0,410770.92,,Электроснабжение,416.78,"426,25500",985.5821296607323,-3.928856731461483
2679841,22701000,5248100035,Нижегородская область,1,372457.0,381404.4,,Электроснабжение,387.32,"858,79008",984.726840855107,-0.02402263885495513
2722836,22701000,5248500161,Нижегородская область,1,174421.0,267033.6,,Электроснабжение,271.3,"0,00000",984.274235164025,-0.5309716146564919
2679831,22701000,5248100034,Нижегородская область,1,372833.0,381805.2,,Электроснабжение,388.54,"1276,92046",982.6663921346579,-0.0240649298747697
2637844,22721000,5247001624,Нижегородская область,1,663326.0,1166947.2,,Электроснабжение,1192.6,"1227,20430",978.4900218011069,-0.7592363332659958
2722269,22701000,5248100144,Нижегородская область,1,333237.0,354298.8,,Электроснабжение,367.63,"1451,66900",963.7374534178385,-0.06320366585943334
2737903,22701000,5248100148,Нижегородская область,1,322726.0,343120.8,,Электроснабжение,357.61,"1492,19842",959.4832359274069,-0.06319540415088958
2793547,22654000,5240000057,Нижегородская область,1,342749.0,342748.7,19.05.2017,Электроснабжение,366.74,"2154,82209",934.5822653651088,8.752760766285488e-07
2584051,22607000,5204000010,Нижегородская область,1,130020.0,561040.0,,Электроснабжение,605.6,"2196,79788",926.4200792602378,-3.315028457160437
2625396,22721000,5247000198,Нижегородская область,1,474950.0,1305268.12,,Электроснабжение,1416.79,"497,59191",921.2855257307012,-1.7482221707548165
2694909,22701000,5248101566,Нижегородская область,1,547267.0,547267.48,,Электроснабжение,599.36,"1034,07338",913.0864255205552,-8.770855907287916e-07
2789238,22649000,5234000024,Нижегородская область,1,244766.0,208857.64,15.05.2019,Электроснабжение,231.0,"210,49931",904.1456277056278,0.14670485279818268
2701363,22701000,5248100032,Нижегородская область,1,370990.0,351031.31,,Электроснабжение,388.58,"587,50390",903.3694734674971,0.05379845817946576
2584063,22607000,5204000011,Нижегородская область,1,130400.0,534460.0,,Электроснабжение,596.6,"2111,60281",895.8431109621187,-3.0986196319018404
2584075,22607000,5204000012,Нижегородская область,1,131020.0,528150.0,,Электроснабжение,591.1,"2165,19203",893.5036372864151,-3.031063959700809
2652154,22701000,5248500127,Нижегородская область,1,194877.0,295698.0,,Электроснабжение,331.2,"93,93170",892.8079710144928,-0.5173571021721394
2765186,22637000,5224000548,Нижегородская область,1,401598.0,382735.36,06.09.2018,Электроснабжение,432.63,"3546,07928",884.6713357834639,0.04696895900876004
2765285,22637000,5224000523,Нижегородская область,1,610968.0,662369.69,,Электроснабжение,753.9,"1622,41113",878.5909139143122,-0.08413155844495938
2636928,22721000,5247001554,Нижегородская область,1,1223115.0,1859168.92,,Электроснабжение,2127.2,"2034,28818",873.9981760060174,-0.5200278959868859
2697842,22701000,5248100094,Нижегородская область,1,481844.0,528064.42,,Электроснабжение,613.46,"1674,68472",860.796824568839,-0.09592403350461984
