,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
4462935,80701000,10726,Республика Башкортостан,1,4291233.23,4291233.23,29.04.2016,Электроснабжение,2595.0,"7234,33907",1653.6544238921003,0.0
4477096,80701000,10207,Республика Башкортостан,1,11037606.03,11037606.03,22.08.2015,Электроснабжение,9121.8,"15055,84139",1210.0249983555877,0.0
4477105,80701000,10208,Республика Башкортостан,1,10950870.04,10950870.04,14.08.2015,Электроснабжение,9164.0,"10950,87004",1194.988000872981,0.0
4448427,80701000,7974,Республика Башкортостан,1,2649345.0,2649345.0,25.12.2016,Электроснабжение,2256.4,"6849,38500",1174.1468711221414,0.0
4477115,80701000,10209,Республика Башкортостан,1,9407511.86,9407511.86,01.10.2015,Электроснабжение,9240.0,"9407,51186",1018.1289891774891,0.0
4466773,80701000,10697,Республика Башкортостан,1,3761675.93,3761675.93,30.11.2017,Электроснабжение,3750.6,"3761,67593",1002.9531088359197,0.0
4466925,80701000,7663,Республика Башкортостан,1,1666322.78,1666322.78,12.12.2017,Электроснабжение,1715.9,"1666,32278",971.1071624220525,0.0
4455678,80701000,7945,Республика Башкортостан,1,2396977.78,2396977.78,31.08.2016,Электроснабжение,2519.9,"2396,97778",951.2194055319654,0.0
4453977,80701000,7870,Республика Башкортостан,1,3387991.0,3387991.0,26.01.2018,Электроснабжение,3596.5,"7877,79408",942.0244682330043,0.0
4455730,80701000,7951,Республика Башкортостан,1,2715563.97,2715563.97,30.12.2015,Электроснабжение,2977.0,"5825,67824",912.1813805844811,0.0
4455426,80701000,7924,Республика Башкортостан,1,1715268.55,1715268.55,07.06.2017,Электроснабжение,2132.4,"1715,26855",804.3840508347402,0.0
4409805,80636000,13016,Республика Башкортостан,1,787421.0,787421.0,,Электроснабжение,980.8,,802.83544045677,0.0
4398985,80619000,2332,Республика Башкортостан,1,415414.92,415414.92,,Электроснабжение,520.3,,798.4142225639055,0.0
4457607,80701000,9102,Республика Башкортостан,1,3058710.59,3058710.59,15.11.2017,Электроснабжение,3872.2,"3058,71059",789.9154459996901,0.0
4463369,80701000,16442,Республика Башкортостан,1,517831.43,517831.43,,Электроснабжение,683.7,,757.3956852420652,0.0
4412554,80723000,2623,Республика Башкортостан,1,1010719.04,1010719.04,31.03.2015,Электроснабжение,1356.2,"2446,08021",745.2581035245539,0.0
4457747,80701000,6584,Республика Башкортостан,1,356098.14,356098.14,29.08.2019,Электроснабжение,480.8,,740.6367304492512,0.0
4448424,80701000,7973,Республика Башкортостан,1,1744050.39,1744050.39,14.12.2017,Электроснабжение,2376.1,"1744,05039",733.9970497874668,0.0
4455298,80701000,6515,Республика Башкортостан,1,722578.55,722578.55,11.07.2016,Электроснабжение,1010.3,"5425,56206",715.2118677620509,0.0
4467239,80701000,8359,Республика Башкортостан,1,564993.36,564993.36,30.03.2015,Электроснабжение,791.6,"989,12026",713.7359272359778,0.0
4406659,80631000,12169,Республика Башкортостан,1,258732.07,258732.07,30.10.2017,Электроснабжение,371.0,"258,73207",697.3910242587601,0.0
4463354,80701000,16439,Республика Башкортостан,1,287064.34,287064.34,,Электроснабжение,413.3,,694.5665134285024,0.0
4410616,80638000,13137,Республика Башкортостан,1,740692.71,740692.71,26.10.2018,Электроснабжение,1070.0,"740,69271",692.2361775700934,0.0
4455308,80701000,6517,Республика Башкортостан,1,691697.37,691697.37,31.08.2016,Электроснабжение,1001.0,"691,69737",691.0063636363636,0.0
4387668,80609000,675,Республика Башкортостан,1,2423183.22,2423183.22,31.08.2016,Электроснабжение,3516.3,"2423,18322",689.1286920911185,0.0
4385142,80606000,317,Республика Башкортостан,1,460961.08,460961.08,31.05.2019,Электроснабжение,670.1,,687.8989404566482,0.0
4467233,80701000,8358,Республика Башкортостан,1,574153.73,574153.73,16.04.2015,Электроснабжение,845.4,"1098,94973",679.1503785190442,0.0
4398990,80619000,2333,Республика Башкортостан,1,286374.22,286374.22,28.04.2017,Электроснабжение,428.6,"286,37422",668.1619692020531,0.0
4461032,80701000,6712,Республика Башкортостан,1,546278.31,546278.31,10.10.2017,Электроснабжение,824.7,"1675,52753",662.3963986904329,0.0
4453727,80701000,6499,Республика Башкортостан,1,171967.16,171967.16,30.09.2016,Электроснабжение,277.7,"1952,37700",619.2551674468851,0.0
4430782,80739000,4578,Республика Башкортостан,1,2184414.94,2184414.94,15.11.2016,Электроснабжение,3537.8,"2184,41494",617.4500932783085,0.0
4459594,80701000,6637,Республика Башкортостан,1,311613.18,311613.18,31.07.2019,Электроснабжение,509.0,,612.2066404715127,0.0
4384939,80605000,260,Республика Башкортостан,1,623862.29,623862.29,01.07.2015,Электроснабжение,1026.0,"457,03063",608.0529142300195,0.0
4454747,80701000,7893,Республика Башкортостан,1,1774826.0,1774826.0,31.07.2019,Электроснабжение,2922.1,"1019,92727",607.3803086821122,0.0
4463833,80701000,6819,Республика Башкортостан,1,266247.93,266247.93,31.07.2019,Электроснабжение,445.7,,597.3702714830604,0.0
4466567,80701000,6908,Республика Башкортостан,1,219346.81,219346.81,10.06.2016,Электроснабжение,372.8,"219,34681",588.3766362660944,0.0
4384906,80605000,254,Республика Башкортостан,1,457030.63,457030.63,01.11.2015,Электроснабжение,783.0,"407,35470",583.6917369093231,0.0
4451899,80701000,9152,Республика Башкортостан,1,3821231.0,3821231.0,15.08.2019,Электроснабжение,6641.0,"4060,96179",575.3999397681072,0.0
