,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5105566,86630000,900084,Республика Карелия,1,25793.6,78468.82,31.08.2017,Электроснабжение,83.1,"308,29000",944.2697954271963,-2.042181781527201
5149552,86610000,1500085,Республика Карелия,1,50000.0,66388.0,07.12.2016,Электроснабжение,93.2,"548,30000",712.3175965665235,-0.32776
5092458,86615000,400392,Республика Карелия,1,34232.4,69356.64,19.11.2018,Электроснабжение,109.8,"655,42000",631.663387978142,-1.0260525116556245
5086502,86612000,300097,Республика Карелия,1,50000.0,256418.25,03.08.2016,Электроснабжение,406.04,"1868,43000",631.5098266180671,-4.128365
5136044,86633000,1000188,Республика Карелия,1,60000.0,148310.0,,Электроснабжение,259.3,"1071,84000",571.9629772464327,-1.4718333333333333
5135031,86633000,1000091,Республика Карелия,1,95000.0,188477.0,16.11.2016,Электроснабжение,334.1,"1589,46000",564.1334929661778,-0.9839684210526316
5096465,86618000,500191,Республика Карелия,1,60239.7,93985.85,20.08.2017,Электроснабжение,183.3,"811,24000",512.7433169667212,-0.5601978429507453
5152300,86610000,1500373,Республика Карелия,1,50000.0,205271.0,,Электроснабжение,417.8,"1583,69000",491.31402584968885,-3.10542
5087514,86612000,300204,Республика Карелия,1,30000.0,232040.0,10.10.2016,Электроснабжение,492.9,"2009,40000",470.7648610265774,-6.734666666666667
5118554,86701000,1800950,Республика Карелия,1,96211.5,135711.19,08.11.2017,Электроснабжение,300.0,"1415,26000",452.37063333333333,-0.4105506098543314
5113316,86701000,1800483,Республика Карелия,1,95000.0,202211.0,12.05.2017,Электроснабжение,469.3,"1856,17000",430.8779032601747,-1.128536842105263
5096881,86621000,600057,Республика Карелия,1,30000.0,69683.0,08.07.2016,Электроснабжение,164.2,"780,99000",424.37880633373936,-1.3227666666666666
5096473,86618000,500189,Республика Карелия,1,60000.0,199983.0,17.08.2016,Электроснабжение,476.5,"2253,32000",419.691500524659,-2.33305
5138150,86636000,1100145,Республика Карелия,1,447712.1,1187570.31,08.12.2017,Электроснабжение,2843.3,"2766,10000",417.67323532515036,-1.6525311913615919
5121537,86701000,1801213,Республика Карелия,1,95000.0,255514.0,15.01.2017,Электроснабжение,634.4,"2278,71000",402.76481715006304,-1.689621052631579
5133213,86701000,1802262,Республика Карелия,1,60000.0,116467.27,13.10.2016,Электроснабжение,291.0,"1091,49000",400.23116838487977,-0.9411211666666668
5096995,86621000,600065,Республика Карелия,1,95000.0,156311.0,14.11.2016,Электроснабжение,394.2,"1524,65000",396.5271435819381,-0.645378947368421
5104681,86627000,800175,Республика Карелия,1,95000.0,185280.0,30.10.2016,Электроснабжение,472.2,"2104,03000",392.3761118170267,-0.9503157894736842
5097208,86621000,600089,Республика Карелия,1,60000.0,128185.0,12.09.2016,Электроснабжение,329.6,"1421,35000",388.91080097087377,-1.1364166666666666
5086747,86612000,300121,Республика Карелия,1,95000.0,236458.0,,Электроснабжение,617.0,"44,91000",383.2382495948136,-1.4890315789473685
