,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5946822,87628000,8762800003154,Республика Коми,1,,795000.0,26.02.2017,Электроснабжение,5318.4,"795,00000",149.48104693140795,
5948143,87632000,8763200004994,Республика Коми,1,,2019.0,,Электроснабжение,327.2,,6.170537897310513,
5948164,87632000,8763200005041,Республика Коми,1,,2023.0,,Электроснабжение,350.6,,5.770108385624643,
5948304,87632000,8763200005136,Республика Коми,1,,2028.0,,Электроснабжение,360.0,,5.633333333333334,
5948591,87632000,8763200005139,Республика Коми,1,,2028.0,,Электроснабжение,361.3,,5.613063935787434,
5948488,87632000,8763200005133,Республика Коми,1,,2027.0,,Электроснабжение,363.7,,5.573274676931537,
5948201,87632000,8763200005042,Республика Коми,1,,2023.0,,Электроснабжение,365.0,,5.542465753424658,
5948774,87632000,8763200005125,Республика Коми,1,,2026.0,,Электроснабжение,435.8,,4.648921523634694,
5948209,87632000,8763200005043,Республика Коми,1,,2024.0,,Электроснабжение,436.2,,4.64007336084365,
5948856,87632000,8763200005046,Республика Коми,1,,2024.0,,Электроснабжение,482.1,,4.198299108068865,
5948197,87632000,8763200005038,Республика Коми,1,,2023.0,,Электроснабжение,507.6,,3.9854215918045703,
5948346,87632000,8763200005017,Республика Коми,1,,2020.0,,Электроснабжение,506.9,,3.985006904714934,
5948665,87632000,8763200005130,Республика Коми,1,,2027.0,,Электроснабжение,509.6,,3.977629513343799,
5948894,87632000,8763200005121,Республика Коми,1,,2026.0,,Электроснабжение,510.1,,3.97177024112919,
5948517,87632000,8763200005002,Республика Коми,1,,2018.0,,Электроснабжение,510.6,,3.952213082647865,
5948528,87632000,8763200004996,Республика Коми,1,,2017.0,,Электроснабжение,511.6,,3.942533229085223,
5948534,87632000,8763200005005,Республика Коми,1,,2020.0,,Электроснабжение,515.3,,3.92004657481079,
5948396,87632000,8763200005124,Республика Коми,1,,2026.0,,Электроснабжение,521.5,,3.884947267497603,
5948879,87632000,8763200005120,Республика Коми,1,,2026.0,,Электроснабжение,525.2,,3.857578065498857,
5948149,87632000,8763200004995,Республика Коми,1,,2017.0,,Электроснабжение,533.0,,3.7842401500938085,
5948864,87632000,8763200005122,Республика Коми,1,,2026.0,,Электроснабжение,570.0,,3.5543859649122806,
5948617,87632000,8763200005147,Республика Коми,1,,2029.0,,Электроснабжение,586.2,,3.4612760150119413,
5948413,87632000,8763200005137,Республика Коми,1,,2028.0,,Электроснабжение,587.5,,3.451914893617021,
5948281,87632000,8763200005142,Республика Коми,1,,2028.0,,Электроснабжение,609.2,,3.3289560078791856,
5948456,87632000,8763200005027,Республика Коми,1,,2021.0,,Электроснабжение,656.8,,3.0770401948842876,
5948426,87632000,8763200005023,Республика Коми,1,,2021.0,,Электроснабжение,721.7,,2.800332548150201,
5948446,87632000,8763200005026,Республика Коми,1,,2021.0,,Электроснабжение,731.9,,2.7613061893701327,
5948444,87632000,8763200005025,Республика Коми,1,,2021.0,,Электроснабжение,743.5,,2.7182246133154,
5948794,87632000,8763200005052,Республика Коми,1,,2022.0,,Электроснабжение,772.4,,2.6178146038322114,
5948121,87632000,8763200005008,Республика Коми,1,,2019.0,,Электроснабжение,859.6,,2.3487668683108422,
5948136,87632000,8763200005009,Республика Коми,1,,2019.0,,Электроснабжение,860.2,,2.347128574750058,
5948927,87632000,8763200005050,Республика Коми,1,,2024.0,,Электроснабжение,941.8,,2.1490762369929923,
5899376,87715000,8771500001025,Республика Коми,1,,,,Электроснабжение,,,,
5899390,87715000,8771500001026,Республика Коми,1,,,,Электроснабжение,,,,
5899404,87715000,8771500001027,Республика Коми,1,,,,Электроснабжение,,,,
5899411,87715000,8771500001028,Республика Коми,1,,,,Электроснабжение,,,,
5899420,87715000,8771500001029,Республика Коми,1,,,,Электроснабжение,,,,
5899429,87715000,8771500001030,Республика Коми,1,,,,Электроснабжение,,,,
5899433,87715000,8771500001031,Республика Коми,1,,,,Электроснабжение,,,,
5899445,87715000,8771500001032,Республика Коми,1,,,,Электроснабжение,,,,
5899452,87715000,8771500001033,Республика Коми,1,,,,Электроснабжение,,,,
5899455,87715000,8771500001035,Республика Коми,1,,,,Электроснабжение,1184.9,,,
5899468,87715000,8771500001036,Республика Коми,1,,,,Электроснабжение,636.6,,,
5899472,87715000,8771500001037,Республика Коми,1,,,,Электроснабжение,848.8,,,
5899483,87715000,8771500001034,Республика Коми,1,,,,Электроснабжение,570.3,"0,00000",,
5899495,87715000,8771500001038,Республика Коми,1,,,,Электроснабжение,,,,
5899498,87715000,8771500001048,Республика Коми,1,,,,Электроснабжение,,,,
5899509,87715000,8771500001039,Республика Коми,1,,,,Электроснабжение,,,,
5899519,87715000,8771500001040,Республика Коми,1,,,,Электроснабжение,,,,
5899525,87715000,8771500001041,Республика Коми,1,,,,Электроснабжение,,,,
5899535,87715000,8771500001042,Республика Коми,1,,,,Электроснабжение,,,,
5899548,87715000,8771500001043,Республика Коми,1,,,,Электроснабжение,,,,
5899551,87715000,8771500001044,Республика Коми,1,,,,Электроснабжение,,,,
5899559,87715000,8771500001050,Республика Коми,1,,,,Электроснабжение,,,,
5899576,87715000,8771500001051,Республика Коми,1,,,,Электроснабжение,,,,
5899581,87715000,8771500001059,Республика Коми,1,,,,Электроснабжение,,,,
5899594,87715000,8771500001055,Республика Коми,1,,,,Электроснабжение,,,,
5899603,87715000,8771500001056,Республика Коми,1,,,,Электроснабжение,,,,
5899612,87715000,8771500001061,Республика Коми,1,,,,Электроснабжение,,,,
5899618,87715000,8771500001062,Республика Коми,1,,,,Электроснабжение,,,,
5899630,87715000,8771500001073,Республика Коми,1,,,,Электроснабжение,,,,
5899637,87715000,8771500001074,Республика Коми,1,,,,Электроснабжение,,,,
5899641,87715000,8771500001077,Республика Коми,1,,,,Электроснабжение,,,,
5899652,87715000,8771500001066,Республика Коми,1,,,,Электроснабжение,,,,
5899666,87715000,8771500001078,Республика Коми,1,,,,Электроснабжение,,,,
5899674,87715000,8771500001079,Республика Коми,1,,,,Электроснабжение,,,,
5899678,87715000,8771500001067,Республика Коми,1,,,,Электроснабжение,,,,
5899687,87715000,8771500001068,Республика Коми,1,,,,Электроснабжение,,,,
5899698,87715000,8771500001070,Республика Коми,1,,,,Электроснабжение,,,,
5899708,87715000,8771500001071,Республика Коми,1,,,,Электроснабжение,,,,
5899717,87715000,8771500001085,Республика Коми,1,,,,Электроснабжение,,,,
5899728,87715000,8771500001086,Республика Коми,1,,,,Электроснабжение,,,,
5899738,87715000,8771500001087,Республика Коми,1,,,,Электроснабжение,,,,
5899742,87715000,8771500001083,Республика Коми,1,,,,Электроснабжение,,,,
5899757,87715000,8771500001093,Республика Коми,1,,,,Электроснабжение,,,,
5899761,87715000,8771500001091,Республика Коми,1,,,,Электроснабжение,,,,
5899769,87715000,8771500001095,Республика Коми,1,,,,Электроснабжение,,,,
5899782,87715000,8771500001100,Республика Коми,1,,,,Электроснабжение,459.5,"0,00000",,
5899793,87715000,8771500001101,Республика Коми,1,,,,Электроснабжение,,,,
5899794,87715000,8771500001102,Республика Коми,1,,,,Электроснабжение,,,,
5899805,87715000,8771500001105,Республика Коми,1,,,,Электроснабжение,996.6,,,
5899811,87715000,8771500001106,Республика Коми,1,,,,Электроснабжение,,,,
5899824,87715000,8771500001107,Республика Коми,1,,,,Электроснабжение,506.95,,,
5899834,87715000,8771500001108,Республика Коми,1,,,,Электроснабжение,1008.2,,,
5899841,87715000,8771500001109,Республика Коми,1,,,,Электроснабжение,,,,
5899849,87715000,8771500001110,Республика Коми,1,,,,Электроснабжение,,,,
5899855,87715000,8771500001113,Республика Коми,1,,,,Электроснабжение,671.8,"0,00000",,
5899864,87715000,8771500001114,Республика Коми,1,,,,Электроснабжение,,,,
5899873,87715000,8771500001123,Республика Коми,1,,,,Электроснабжение,,,,
5899877,87715000,8771500001124,Республика Коми,1,,,,Электроснабжение,457.6,,,
5899890,87715000,8771500001125,Республика Коми,1,,,,Электроснабжение,,,,
5899898,87715000,8771500001126,Республика Коми,1,,,,Электроснабжение,,,,
5899908,87715000,8771500001118,Республика Коми,1,,,,Электроснабжение,,,,
5899913,87715000,8771500001119,Республика Коми,1,,,,Электроснабжение,,,,
5899921,87715000,8771500001120,Республика Коми,1,,,,Электроснабжение,,,,
5899931,87715000,8771500001121,Республика Коми,1,,,,Электроснабжение,,,,
5899940,87715000,8771500001131,Республика Коми,1,,,,Электроснабжение,,,,
5899944,87715000,8771500001132,Республика Коми,1,,,,Электроснабжение,,,,
5899957,87715000,8771500001134,Республика Коми,1,,,,Электроснабжение,,,,
5899968,87715000,8771500001129,Республика Коми,1,,,,Электроснабжение,,,,
5899971,87715000,8771500001143,Республика Коми,1,,,,Электроснабжение,,,,
5899980,87715000,8771500001130,Республика Коми,1,,,,Электроснабжение,,,,
5899989,87715000,8771500001128,Республика Коми,1,,,,Электроснабжение,,,,
5899999,87715000,8771500001182,Республика Коми,1,,,,Электроснабжение,,,,
5900014,87715000,8771500001253,Республика Коми,1,,,,Электроснабжение,759.2,,,
5900015,87715000,8771500001269,Республика Коми,1,,,,Электроснабжение,653.1,"0,00000",,
5900026,87715000,8771500001270,Республика Коми,1,,,,Электроснабжение,690.5,"0,00000",,
5900031,87715000,8771500001288,Республика Коми,1,,,,Электроснабжение,562.4,,,
5900040,87715000,8771500001290,Республика Коми,1,,,,Электроснабжение,472.1,,,
5900049,87715000,8771500001287,Республика Коми,1,,,,Электроснабжение,954.3,,,
5900058,87715000,8771500001308,Республика Коми,1,,,,Электроснабжение,,"0,00000",,
5900070,87715000,8771500001310,Республика Коми,1,,,,Электроснабжение,,"0,00000",,
5900071,87715000,87415562000,Республика Коми,1,,,,Электроснабжение,,,,
5900084,87715000,8771500001316,Республика Коми,1,,,,Электроснабжение,,,,
5900092,87715000,8771500001317,Республика Коми,1,,,,Электроснабжение,,,,
5900101,87715000,8771500001313,Республика Коми,1,,,,Электроснабжение,,,,
5900109,87715000,8771500001314,Республика Коми,1,,,,Электроснабжение,,,,
5900114,87715000,8771500001323,Республика Коми,1,,,,Электроснабжение,619.1,"0,00000",,
5900119,87715000,8771500001321,Республика Коми,1,,,,Электроснабжение,752.7,"0,00000",,
5900134,87715000,8771500001322,Республика Коми,1,,,,Электроснабжение,630.7,"0,00000",,
5900136,87715000,8771500001338,Республика Коми,1,,,,Электроснабжение,,,,
5900146,87715000,8771500001348,Республика Коми,1,,,,Электроснабжение,,,,
5900149,87710000,8771000000313,Республика Коми,1,,,,Электроснабжение,438.9,,,
5900160,87710000,8771000000624,Республика Коми,1,,,,Электроснабжение,1552.9,,,
5900163,87710000,8771000000625,Республика Коми,1,,,,Электроснабжение,1679.9,,,
5900173,87710000,8771000000626,Республика Коми,1,,,,Электроснабжение,4346.7,,,
5900174,87710000,8771000000627,Республика Коми,1,,,,Электроснабжение,2505.8,,,
5900185,87710000,8771000000144,Республика Коми,1,,,,Электроснабжение,2753.6,,,
5900187,87710000,8771000000145,Республика Коми,1,,,,Электроснабжение,2418.9,,,
5900192,87710000,8771000000146,Республика Коми,1,,,,Электроснабжение,6604.7,,,
5900198,87710000,8771000000147,Республика Коми,1,,,,Электроснабжение,6015.8,,,
5900208,87710000,8771000000148,Республика Коми,1,,,,Электроснабжение,3623.1,,,
5900215,87710000,8771000000318,Республика Коми,1,,,,Электроснабжение,3674.0,,,
5900220,87710000,8771000000615,Республика Коми,1,,,,Электроснабжение,2704.1,,,
5900226,87710000,8771000000319,Республика Коми,1,,,,Электроснабжение,6980.1,,,
5900230,87710000,8771000000320,Республика Коми,1,,,,Электроснабжение,5249.1,,,
5900234,87710000,8771000000149,Республика Коми,1,,,,Электроснабжение,7643.1,,,
5900240,87710000,8771000000150,Республика Коми,1,,,,Электроснабжение,4224.7,,,
5900248,87710000,8771000000151,Республика Коми,1,,,,Электроснабжение,4238.5,,,
5900254,87710000,8771000000616,Республика Коми,1,,,,Электроснабжение,1402.8,,,
5900265,87710000,8771000000152,Республика Коми,1,,,,Электроснабжение,4244.5,,,
5900269,87710000,8771000000153,Республика Коми,1,,,,Электроснабжение,6066.9,,,
5900275,87710000,8771000000154,Республика Коми,1,,,,Электроснабжение,3874.0,,,
5900283,87710000,8771000000155,Республика Коми,1,,,,Электроснабжение,4115.8,,,
5900286,87710000,8771000000156,Республика Коми,1,,,,Электроснабжение,3591.8,,,
5900295,87710000,8771000000157,Республика Коми,1,,,,Электроснабжение,4622.7,,,
5900299,87710000,8771000000617,Республика Коми,1,,,,Электроснабжение,2818.1,,,
5900304,87710000,8771000000158,Республика Коми,1,,,,Электроснабжение,3564.9,,,
5900315,87710000,8771000000159,Республика Коми,1,,,,Электроснабжение,1855.8,,,
5900317,87710000,8771000000618,Республика Коми,1,,,,Электроснабжение,3426.8,,,
5900322,87710000,8771000000619,Республика Коми,1,,,,Электроснабжение,3475.3,,,
5900330,87710000,8771000000620,Республика Коми,1,,,,Электроснабжение,2828.9,,,
5900338,87710000,8771000000703,Республика Коми,1,,,,Электроснабжение,3887.5,,,
5900341,87710000,8771000000621,Республика Коми,1,,,,Электроснабжение,4405.0,,,
5900347,87710000,8771000000622,Республика Коми,1,,,,Электроснабжение,2758.3,,,
5900352,87710000,8771000000623,Республика Коми,1,,,,Электроснабжение,2727.0,,,
5900360,87710000,8771000000704,Республика Коми,1,,,,Электроснабжение,2437.3,,,
5900369,87710000,8771000000262,Республика Коми,1,,,,Электроснабжение,1182.9,,,
5900374,87710000,8771000000259,Республика Коми,1,,,,Электроснабжение,2500.7,,,
5900379,87710000,8771000000260,Республика Коми,1,,,,Электроснабжение,1339.9,,,
5900386,87710000,8771000000261,Республика Коми,1,,,,Электроснабжение,5024.8,,,
5900393,87710000,8771000000358,Республика Коми,1,,,,Электроснабжение,1409.4,,,
5900395,87710000,8771000000355,Республика Коми,1,,,,Электроснабжение,3736.1,,,
5900403,87710000,8771000000356,Республика Коми,1,,,,Электроснабжение,1595.2,,,
5900409,87710000,8771000000357,Республика Коми,1,,,,Электроснабжение,2388.1,,,
5900416,87710000,8771000000247,Республика Коми,1,,,,Электроснабжение,4747.5,,,
5900423,87710000,8771000000359,Республика Коми,1,,,,Электроснабжение,3779.7,,,
5900428,87710000,8771000000360,Республика Коми,1,,,,Электроснабжение,1366.1,,,
5900431,87710000,8771000000361,Республика Коми,1,,,,Электроснабжение,2455.0,,,
5900439,87710000,8771000000362,Республика Коми,1,,,,Электроснабжение,3715.0,,,
5900445,87710000,8771000000363,Республика Коми,1,,,,Электроснабжение,1356.4,,,
5900449,87710000,8771000000364,Республика Коми,1,,,,Электроснабжение,1918.9,,,
5900459,87710000,8771000000365,Республика Коми,1,,,,Электроснабжение,2518.3,,,
5900461,87710000,8771000000366,Республика Коми,1,,,,Электроснабжение,1294.2,,,
5900466,87710000,8771000000367,Республика Коми,1,,,,Электроснабжение,2478.2,,,
5900477,87710000,8771000000368,Республика Коми,1,,,,Электроснабжение,3596.5,,,
5900480,87710000,8771000000369,Республика Коми,1,,,,Электроснабжение,3575.1,,,
5900489,87710000,8771000000370,Республика Коми,1,,,,Электроснабжение,4355.9,,,
5900490,87710000,8771000000263,Республика Коми,1,,,,Электроснабжение,1208.5,,,
5900496,87710000,8771000000264,Республика Коми,1,,,,Электроснабжение,7128.1,,,
5900507,87710000,8771000000265,Республика Коми,1,,,,Электроснабжение,7235.8,,,
5900510,87710000,8771000000266,Республика Коми,1,,,,Электроснабжение,6296.2,,,
5900516,87710000,8771000000269,Республика Коми,1,,,,Электроснабжение,2269.3,,,
5900521,87710000,8771000000267,Республика Коми,1,,,,Электроснабжение,4810.6,,,
5900530,87710000,8771000000268,Республика Коми,1,,,,Электроснабжение,4824.7,,,
5900533,87710000,8771000000270,Республика Коми,1,,,,Электроснабжение,3628.0,,,
5900539,87710000,8771000000248,Республика Коми,1,,,,Электроснабжение,924.1,,,
5900548,87710000,8771000000271,Республика Коми,1,,,,Электроснабжение,3644.1,,,
5900550,87710000,8771000000251,Республика Коми,1,,,,Электроснабжение,3618.2,,,
5900557,87710000,8771000000272,Республика Коми,1,,,,Электроснабжение,2436.0,,,
5900566,87710000,8771000000273,Республика Коми,1,,,,Электроснабжение,2250.5,,,
5900572,87710000,8771000000252,Республика Коми,1,,,,Электроснабжение,1461.6,,,
5900575,87710000,8771000000249,Республика Коми,1,,,,Электроснабжение,4785.9,,,
5900580,87710000,8771000000250,Республика Коми,1,,,,Электроснабжение,934.7,,,
5900587,87710000,8771000000253,Республика Коми,1,,,,Электроснабжение,3573.6,,,
5900595,87710000,8771000000254,Республика Коми,1,,,,Электроснабжение,1428.4,,,
5900599,87710000,8771000000274,Республика Коми,1,,,,Электроснабжение,2427.8,,,
5900606,87710000,8771000000275,Республика Коми,1,,,,Электроснабжение,1528.2,,,
5900613,87710000,8771000000276,Республика Коми,1,,,,Электроснабжение,4823.8,,,
5900619,87710000,8771000000255,Республика Коми,1,,,,Электроснабжение,4787.3,,,
5900625,87710000,8771000000256,Республика Коми,1,,,,Электроснабжение,4818.9,,,
5900629,87710000,8771000000277,Республика Коми,1,,,,Электроснабжение,3614.0,,,
5900637,87710000,8771000000278,Республика Коми,1,,,,Электроснабжение,1371.3,,,
5900644,87710000,8771000000279,Республика Коми,1,,,,Электроснабжение,2412.0,,,
5900647,87710000,8771000000257,Республика Коми,1,,,,Электроснабжение,4780.0,,,
5900652,87710000,8771000000258,Республика Коми,1,,,,Электроснабжение,4782.3,,,
5900661,87710000,8771000000280,Республика Коми,1,,,,Электроснабжение,3697.5,,,
5900668,87710000,8771000000374,Республика Коми,1,,,,Электроснабжение,5708.3,,,
5900674,87710000,8771000000160,Республика Коми,1,,,,Электроснабжение,1721.0,,,
5900677,87710000,8771000000323,Республика Коми,1,,,,Электроснабжение,6082.4,,,
5900684,87710000,8771000000324,Республика Коми,1,,,,Электроснабжение,8111.7,,,
5900690,87710000,8771000000754,Республика Коми,1,,,,Электроснабжение,2179.1,,,
5900695,87710000,8771000000755,Республика Коми,1,,,,Электроснабжение,3049.8,,,
5900702,87710000,8771000000756,Республика Коми,1,,,,Электроснабжение,3398.2,,,
5900709,87710000,8771000000757,Республика Коми,1,,,,Электроснабжение,3908.2,,,
5900712,87710000,8771000000343,Республика Коми,1,,,,Электроснабжение,5949.3,,,
5900721,87710000,8771000000344,Республика Коми,1,,,,Электроснабжение,5309.7,,,
5900728,87710000,8771000000390,Республика Коми,1,,,,Электроснабжение,2154.3,,,
5900735,87710000,8771000000345,Республика Коми,1,,,,Электроснабжение,4039.5,,,
5900741,87710000,8771000000346,Республика Коми,1,,,,Электроснабжение,6105.0,,,
5900747,87710000,8771000000391,Республика Коми,1,,,,Электроснабжение,4202.6,,,
5900750,87710000,8771000000392,Республика Коми,1,,,,Электроснабжение,3591.6,,,
5900754,87710000,8771000000393,Республика Коми,1,,,,Электроснабжение,4096.1,,,
5900765,87710000,8771000000384,Республика Коми,1,,,,Электроснабжение,6070.3,,,
5900770,87710000,8771000000192,Республика Коми,1,,,,Электроснабжение,2576.9,,,
5900773,87710000,8771000000342,Республика Коми,1,,,,Электроснабжение,6248.2,,,
5900779,87710000,8771000000385,Республика Коми,1,,,,Электроснабжение,7344.6,,,
5900785,87710000,8771000000386,Республика Коми,1,,,,Электроснабжение,5620.1,,,
5900793,87710000,8771000000193,Республика Коми,1,,,,Электроснабжение,1217.4,,,
5900798,87710000,8771000000194,Республика Коми,1,,,,Электроснабжение,3530.0,,,
5900804,87710000,8771000000387,Республика Коми,1,,,,Электроснабжение,6218.9,,,
5900809,87710000,8771000000388,Республика Коми,1,,,,Электроснабжение,2408.2,,,
5900819,87710000,8771000000389,Республика Коми,1,,,,Электроснабжение,2619.8,,,
5900824,87710000,8771000000464,Республика Коми,1,,,,Электроснабжение,856.9,,,
5900825,87710000,8771000000465,Республика Коми,1,,,,Электроснабжение,862.8,,,
5900831,87710000,8771000000466,Республика Коми,1,,,,Электроснабжение,560.8,,,
5900839,87710000,8771000000172,Республика Коми,1,,,,Электроснабжение,696.6,,,
5900847,87710000,8771000000375,Республика Коми,1,,,,Электроснабжение,5574.3,,,
5900852,87710000,8771000000180,Республика Коми,1,,,,Электроснабжение,5668.9,,,
5900855,87710000,8771000000322,Республика Коми,1,,,,Электроснабжение,5637.3,,,
5900861,87710000,8771000000173,Республика Коми,1,,,,Электроснабжение,5633.3,,,
5900869,87710000,8771000000174,Республика Коми,1,,,,Электроснабжение,5671.4,,,
5900873,87710000,8771000000175,Республика Коми,1,,,,Электроснабжение,5702.8,,,
5900883,87710000,8771000000176,Республика Коми,1,,,,Электроснабжение,4286.1,,,
5900887,87710000,8771000000177,Республика Коми,1,,,,Электроснабжение,2539.4,,,
5900893,87710000,8771000000178,Республика Коми,1,,,,Электроснабжение,2838.1,,,
5900896,87710000,8771000000179,Республика Коми,1,,,,Электроснабжение,2408.6,,,
5900907,87710000,8771000000796,Республика Коми,1,,,,Электроснабжение,470.8,,,
5900909,87710000,8771000000353,Республика Коми,1,,,,Электроснабжение,7653.5,,,
5900915,87710000,8771000000398,Республика Коми,1,,,,Электроснабжение,5100.9,,,
5900923,87710000,8771000000350,Республика Коми,1,,,,Электроснабжение,4263.0,,,
5900931,87710000,8771000000399,Республика Коми,1,,,,Электроснабжение,4997.0,,,
5900935,87710000,8771000000400,Республика Коми,1,,,,Электроснабжение,6034.3,,,
5900941,87710000,8771000000401,Республика Коми,1,,,,Электроснабжение,4354.3,,,
5900944,87710000,8771000000201,Республика Коми,1,,,,Электроснабжение,8572.5,,,
5900955,87710000,8771000000202,Республика Коми,1,,,,Электроснабжение,4218.8,,,
5900957,87710000,8771000000203,Республика Коми,1,,,,Электроснабжение,1500.2,,,
5900962,87710000,8771000000204,Республика Коми,1,,,,Электроснабжение,3566.1,,,
5900971,87710000,8771000000351,Республика Коми,1,,,,Электроснабжение,3940.9,,,
5900975,87710000,8771000000200,Республика Коми,1,,,,Электроснабжение,6116.2,,,
5900984,87710000,8771000000376,Республика Коми,1,,,,Электроснабжение,10041.5,,,
5900989,87710000,8771000000352,Республика Коми,1,,,,Электроснабжение,6097.3,,,
5900998,87710000,8771000000394,Республика Коми,1,,,,Электроснабжение,6063.7,,,
5901003,87710000,8771000000395,Республика Коми,1,,,,Электроснабжение,5487.5,,,
5901008,87710000,8771000000396,Республика Коми,1,,,,Электроснабжение,5692.0,,,
5901016,87710000,8771000000349,Республика Коми,1,,,,Электроснабжение,2547.0,,,
