,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2971528,90630000,1000003098,Республика Северная Осетия-Алания,1,182931.0,182931.0,12.03.2019,Электроснабжение,275.4,"0,00000",664.2374727668846,0.0
2959405,90701000,1000000978,Республика Северная Осетия-Алания,1,526323.01,526324.0,21.09.2015,Электроснабжение,1484.0,"0,00000",354.6657681940701,0.00018809741948455638
2970187,90630000,1000002936,Республика Северная Осетия-Алания,1,566417.0,566417.0,29.01.2018,Электроснабжение,2387.0,"0,00000",237.2924172601592,0.0
2953176,90701000,1000000202,Республика Северная Осетия-Алания,1,488936.0,478448.0,11.12.2015,Электроснабжение,2524.2,"0,00000",189.54441011013392,-2.145066020910713
2972692,90630000,1000003308,Республика Северная Осетия-Алания,1,51474.0,58218.0,14.12.2016,Электроснабжение,759.59,"0,00000",76.64397898866494,13.10176011190116
2951558,90701000,1000000026,Республика Северная Осетия-Алания,1,85135.0,77400.0,28.12.2015,Электроснабжение,2461.7,"0,00000",31.441686639314298,-9.085569977095197
2959374,90701000,1000000929,Республика Северная Осетия-Алания,1,140296.7,32014.0,,Электроснабжение,1967.6,"0,00000",16.270583451921123,-77.18121666439767
2949312,90605000,1000002266,Республика Северная Осетия-Алания,1,451392.24,0.0,,Электроснабжение,3409.4,"0,00000",0.0,-100.0
2967334,90701000,1000002057,Республика Северная Осетия-Алания,1,378126.3,0.0,,Электроснабжение,3002.7,"0,00000",0.0,-100.0
2967342,90701000,1000002058,Республика Северная Осетия-Алания,1,469507.5,0.0,,Электроснабжение,3706.1,"0,00000",0.0,-100.0
2967355,90701000,1000002059,Республика Северная Осетия-Алания,1,277130.0,0.0,,Электроснабжение,1936.0,"0,00000",0.0,-100.0
2967370,90701000,1000002060,Республика Северная Осетия-Алания,1,305864.15,0.0,,Электроснабжение,2463.9,"0,00000",0.0,-100.0
2967387,90701000,1000002063,Республика Северная Осетия-Алания,1,152166.84,0.0,,Электроснабжение,1112.3,"0,00000",0.0,-100.0
2967374,90701000,1000002061,Республика Северная Осетия-Алания,1,415158.45,0.0,,Электроснабжение,2878.2,"0,00000",0.0,-100.0
2967313,90701000,1000002054,Республика Северная Осетия-Алания,1,217509.6,0.0,,Электроснабжение,1537.5,"0,00000",0.0,-100.0
2967403,90701000,1000002064,Республика Северная Осетия-Алания,1,166172.79,0.0,,Электроснабжение,1156.5,"0,00000",0.0,-100.0
2967407,90701000,1000002065,Республика Северная Осетия-Алания,1,109174.24,0.0,,Электроснабжение,685.7,"0,00000",0.0,-100.0
2967422,90701000,1000002066,Республика Северная Осетия-Алания,1,224700.0,0.0,,Электроснабжение,1500.0,"0,00000",0.0,-100.0
2967427,90701000,1000002067,Республика Северная Осетия-Алания,1,108821.57,0.0,,Электроснабжение,650.6,"0,00000",0.0,-100.0
2967437,90701000,1000002068,Республика Северная Осетия-Алания,1,110903.36,0.0,,Электроснабжение,647.8,"0,00000",0.0,-100.0
2967453,90701000,1000002070,Республика Северная Осетия-Алания,1,174002.1,0.0,,Электроснабжение,1181.0,"0,00000",0.0,-100.0
2967459,90701000,1000002071,Республика Северная Осетия-Алания,1,712602.5,0.0,,Электроснабжение,5525.9,"0,00000",0.0,-100.0
2967328,90701000,1000002055,Республика Северная Осетия-Алания,1,242016.88,0.0,,Электроснабжение,1575.4,"0,00000",0.0,-100.0
2967279,90701000,1000002051,Республика Северная Осетия-Алания,1,395389.0,0.0,,Электроснабжение,2987.1,"0,00000",0.0,-100.0
2967303,90701000,1000002053,Республика Северная Осетия-Алания,1,335172.8,0.0,,Электроснабжение,2727.9,"0,00000",0.0,-100.0
2967293,90701000,1000002052,Республика Северная Осетия-Алания,1,351568.3,0.0,,Электроснабжение,2600.2,"0,00000",0.0,-100.0
2967129,90701000,1000002017,Республика Северная Осетия-Алания,1,262942.44,0.0,,Электроснабжение,1843.0,"0,00000",0.0,-100.0
2967141,90701000,1000002011,Республика Северная Осетия-Алания,1,242990.58,0.0,,Электроснабжение,1703.2,"0,00000",0.0,-100.0
2967154,90701000,1000002018,Республика Северная Осетия-Алания,1,188364.73,0.0,,Электроснабжение,1282.9,"0,00000",0.0,-100.0
2967161,90701000,1000002019,Республика Северная Осетия-Алания,1,402716.84,0.0,,Электроснабжение,3157.4,"0,00000",0.0,-100.0
2967177,90701000,1000002020,Республика Северная Осетия-Алания,1,263352.89,0.0,,Электроснабжение,1780.3,"0,00000",0.0,-100.0
2967186,90701000,1000002021,Республика Северная Осетия-Алания,1,51360.0,0.0,,Электроснабжение,310.0,"0,00000",0.0,-100.0
2967196,90701000,1000002030,Республика Северная Осетия-Алания,1,104244.36,0.0,,Электроснабжение,728.5,"0,00000",0.0,-100.0
2967200,90701000,1000002039,Республика Северная Осетия-Алания,1,108724.84,0.0,,Электроснабжение,750.0,"0,00000",0.0,-100.0
2967213,90701000,1000002045,Республика Северная Осетия-Алания,1,337875.4,0.0,,Электроснабжение,2332.54,"0,00000",0.0,-100.0
2967224,90701000,1000002046,Республика Северная Осетия-Алания,1,263513.18,0.0,,Электроснабжение,1962.4,"0,00000",0.0,-100.0
2967233,90701000,1000002047,Республика Северная Осетия-Алания,1,427055.35,0.0,,Электроснабжение,3309.29,"0,00000",0.0,-100.0
2967249,90701000,1000002048,Республика Северная Осетия-Алания,1,186830.56,0.0,,Электроснабжение,2637.84,"0,00000",0.0,-100.0
2967258,90701000,1000002049,Республика Северная Осетия-Алания,1,649078.88,0.0,,Электроснабжение,4845.91,"0,00000",0.0,-100.0
2967268,90701000,1000002050,Республика Северная Осетия-Алания,1,1695855.0,0.0,,Электроснабжение,2649.6,"0,00000",0.0,-100.0
2967482,90701000,1000002074,Республика Северная Осетия-Алания,1,20141.32,0.0,,Электроснабжение,1799.5,"0,00000",0.0,-100.0
2967465,90701000,1000002073,Республика Северная Осетия-Алания,1,41366.4,0.0,,Электроснабжение,3640.8,"0,00000",0.0,-100.0
2967496,90701000,1000002075,Республика Северная Осетия-Алания,1,411418.65,0.0,,Электроснабжение,3272.1,"0,00000",0.0,-100.0
2967487,90701000,1000002040,Республика Северная Осетия-Алания,1,200866.82,0.0,,Электроснабжение,1571.2,"0,00000",0.0,-100.0
2967676,90701000,1000002105,Республика Северная Осетия-Алания,1,207025.1,0.0,,Электроснабжение,1668.6,"0,00000",0.0,-100.0
2967693,90701000,1000002098,Республика Северная Осетия-Алания,1,275709.9,0.0,,Электроснабжение,1970.8,"0,00000",0.0,-100.0
