,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5203746,93610000,344,Республика Тыва,1,,,,Электроснабжение,979.7,"0,00000",,
5203748,93610000,345,Республика Тыва,1,24743.25,,,Электроснабжение,942.6,"0,00000",,
5203765,93610000,346,Республика Тыва,1,200000.0,,,Электроснабжение,1019.5,"0,00000",,
5203773,93610000,347,Республика Тыва,1,89206.25,,,Электроснабжение,1019.5,"0,00000",,
5203782,93610000,342,Республика Тыва,1,,,,Электроснабжение,894.6,"0,00000",,
5203784,93610000,343,Республика Тыва,1,,,,Электроснабжение,996.8,"0,00000",,
5203793,93703000,1,Республика Тыва,1,,,,Электроснабжение,2675.0,"0,00000",,
5203802,93703000,2,Республика Тыва,1,,,,Электроснабжение,2673.0,"0,00000",,
5203811,93703000,3,Республика Тыва,1,,,,Электроснабжение,2034.0,"2161,60600",,
5203824,93703000,4,Республика Тыва,1,,,,Электроснабжение,2034.0,"0,00000",,
5203836,93703000,5,Республика Тыва,1,,,,Электроснабжение,2034.0,"0,00000",,
5203841,93703000,6,Республика Тыва,1,,,,Электроснабжение,2034.0,"0,00000",,
5203848,93703000,7,Республика Тыва,1,,,,Электроснабжение,2034.0,"0,00000",,
5203857,93703000,8,Республика Тыва,1,,,,Электроснабжение,2034.0,"0,00000",,
5203872,93703000,9,Республика Тыва,1,200000.0,,,Электроснабжение,3256.0,"0,00000",,
5203878,93703000,10,Республика Тыва,1,,,,Электроснабжение,2034.0,"0,00000",,
5203883,93703000,11,Республика Тыва,1,,,,Электроснабжение,3225.7,"0,00000",,
5203897,93703000,12,Республика Тыва,1,,,,Электроснабжение,2034.0,"0,00000",,
5203909,93703000,13,Республика Тыва,1,300000.0,,,Электроснабжение,5827.0,"0,00000",,
5203917,93703000,20,Республика Тыва,1,,,,Электроснабжение,2755.0,"0,00000",,
5203925,93703000,14,Республика Тыва,1,,,,Электроснабжение,802.0,"0,00000",,
5203937,93703000,15,Республика Тыва,1,,,,Электроснабжение,802.0,"1092,02000",,
5203946,93703000,16,Республика Тыва,1,,,,Электроснабжение,802.0,"0,00000",,
5203957,93703000,17,Республика Тыва,1,,,,Электроснабжение,802.0,"0,00000",,
5203966,93703000,18,Республика Тыва,1,,,,Электроснабжение,2755.0,"0,00000",,
5203972,93703000,19,Республика Тыва,1,,,,Электроснабжение,1313.0,"0,00000",,
5203980,93703000,21,Республика Тыва,1,,,,Электроснабжение,3470.4,"0,00000",,
5203994,93703000,22,Республика Тыва,1,,,,Электроснабжение,2034.0,"0,00000",,
5204004,93703000,23,Республика Тыва,1,,,,Электроснабжение,2034.0,"0,00000",,
5204009,93703000,24,Республика Тыва,1,200000.0,,,Электроснабжение,3380.0,"0,00000",,
5204022,93703000,25,Республика Тыва,1,200000.0,,,Электроснабжение,3134.0,"0,00000",,
5204032,93703000,29,Республика Тыва,1,,,,Электроснабжение,1376.0,"0,00000",,
5204037,93703000,30,Республика Тыва,1,,,,Электроснабжение,802.0,"0,00000",,
5204051,93703000,31,Республика Тыва,1,,,,Электроснабжение,1262.0,"0,00000",,
5204058,93703000,32,Республика Тыва,1,,,,Электроснабжение,941.0,"0,00000",,
5204064,93703000,33,Республика Тыва,1,,,,Электроснабжение,1377.0,"0,00000",,
5204075,93703000,34,Республика Тыва,1,,,,Электроснабжение,1255.0,"0,00000",,
5204087,93703000,35,Республика Тыва,1,,,,Электроснабжение,802.0,"0,00000",,
5204098,93703000,26,Республика Тыва,1,,,,Электроснабжение,802.0,"0,00000",,
5204106,93703000,27,Республика Тыва,1,,,,Электроснабжение,1625.0,"0,00000",,
5204113,93703000,28,Республика Тыва,1,,,,Электроснабжение,2662.0,"0,00000",,
5204125,93703000,41,Республика Тыва,1,200000.0,,,Электроснабжение,3759.0,"0,00000",,
5204131,93703000,42,Республика Тыва,1,200000.0,,,Электроснабжение,3283.0,"0,00000",,
5204142,93703000,43,Республика Тыва,1,,,,Электроснабжение,1851.72,"0,00000",,
5204150,93703000,44,Республика Тыва,1,200000.0,,,Электроснабжение,3550.0,"0,00000",,
5204162,93703000,45,Республика Тыва,1,,,,Электроснабжение,3550.0,"0,00000",,
5204170,93703000,46,Республика Тыва,1,200000.0,,,Электроснабжение,3550.0,"0,00000",,
5204178,93703000,36,Республика Тыва,1,,,,Электроснабжение,3550.0,"0,00000",,
5204188,93703000,37,Республика Тыва,1,,,,Электроснабжение,2824.0,"0,00000",,
5204200,93703000,38,Республика Тыва,1,200000.0,,,Электроснабжение,3343.0,"0,00000",,
5204201,93703000,39,Республика Тыва,1,200000.0,,,Электроснабжение,4183.0,"0,00000",,
5204214,93703000,40,Республика Тыва,1,200000.0,,,Электроснабжение,3328.0,"0,00000",,
5204222,93701000,308,Республика Тыва,1,,,,Электроснабжение,3185.95,"0,00000",,
5204233,93701000,47,Республика Тыва,1,66972.5,,,Электроснабжение,765.4,"0,00000",,
5204240,93701000,51,Республика Тыва,1,51011.63,,,Электроснабжение,1943.3,"0,00000",,
5204257,93701000,52,Республика Тыва,1,238152.25,,,Электроснабжение,2405.8,"0,00000",,
5204267,93701000,53,Республика Тыва,1,121467.5,,,Электроснабжение,1388.2,"0,00000",,
5204273,93701000,48,Республика Тыва,1,139860.0,,,Электроснабжение,1598.4,"0,00000",,
