,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
11042,94720000,1267,Удмуртская Республика,1,204046.0,1356710.0,23.12.0015,Электроснабжение,961.8,"158,19000",1410.5947182366397,564.9039922370446
2968,94710000,1048,Удмуртская Республика,1,378624.0,378624.0,,Электроснабжение,705.94,"1534,31000",536.3401988837578,0.0
11250,94720000,1319,Удмуртская Республика,1,60228.38,60787.2,12.12.0018,Электроснабжение,128.5,"567,68000",473.052140077821,0.9278350173124394
8759,94720000,1039,Удмуртская Республика,1,458072.46,710246.4,24.12.0018,Электроснабжение,1823.23,"3584,40000",389.5539235313153,55.051102613765515
5755,94710000,7695,Удмуртская Республика,1,316903.0,316903.0,18.11.0015,Электроснабжение,824.9,"0,00000",384.1714147169354,0.0
14386,94701000,5062,Удмуртская Республика,1,500000.0,1319810.0,15.06.0015,Электроснабжение,3494.17,"761,32000",377.71774126616623,163.962
443,94604000,475,Удмуртская Республика,1,111571.2,111571.2,,Электроснабжение,300.3,"808,58000",371.53246753246754,0.0
8739,94720000,1167,Удмуртская Республика,1,487563.02,716947.2,11.01.0019,Электроснабжение,2015.4,"3161,07000",355.73444477523066,47.04708326730766
11372,94720000,1324,Удмуртская Республика,1,157240.9,224419.2,24.12.0018,Электроснабжение,635.45,"1733,95000",353.1657880242348,42.723171897388035
8271,94720000,8629,Удмуртская Республика,1,147935.42,153043.2,24.12.0018,Электроснабжение,434.22,"2218,66000",352.4554373359127,3.452709297070311
12082,94720000,55,Удмуртская Республика,1,330258.4,441381.12,24.12.0018,Электроснабжение,1267.4,"1720,67000",348.2571563831466,33.647204734232325
9445,94720000,4090,Удмуртская Республика,1,787491.88,840345.6,12.12.0018,Электроснабжение,2471.82,"2721,14000",339.97038619316936,6.711652696660186
23685,94701000,2776,Удмуртская Республика,1,102400.64,266749.3,30.05.0016,Электроснабжение,796.07,"2217,37000",335.0827188563819,160.4957351829051
4130,94710000,8273,Удмуртская Республика,1,82014.0,201945.6,25.09.0018,Электроснабжение,602.75,"1502,81000",335.0403981750311,146.23308215670497
8843,94720000,1046,Удмуртская Республика,1,789602.9,806323.2,12.12.0018,Электроснабжение,2455.18,"3621,38000",328.4171425313012,2.1175580788773685
52527,94650000,2283,Удмуртская Республика,1,86400.0,86400.0,,Электроснабжение,268.9,"13,12000",321.3090368166605,0.0
11662,94720000,7829,Удмуртская Республика,1,94016.5,115603.2,12.12.0018,Электроснабжение,361.3,"856,12000",319.9645723775256,22.96054415980173
4687,94710000,842,Удмуртская Республика,1,194841.6,194841.6,,Электроснабжение,613.23,"0,00000",317.7300523457757,0.0
36097,94730000,4256,Удмуртская Республика,1,157560.96,157560.96,,Электроснабжение,500.62,"1840,27000",314.73165275058926,0.0
44864,94616000,869,Удмуртская Республика,1,36745.15,62468.5,17.06.0016,Электроснабжение,199.19,"888,93000",313.61263115618254,70.00474892604873
48274,94628000,8168,Удмуртская Республика,1,105600.0,105600.0,,Электроснабжение,344.65,"2,64000",306.39779486435515,0.0
11379,94720000,19,Удмуртская Республика,1,154458.48,154487.04,24.12.0018,Электроснабжение,506.6,"1461,35000",304.9487564153178,0.01849040596539897
52536,94650000,2284,Удмуртская Республика,1,200934.95,208721.36,10.01.0017,Электроснабжение,689.85,"455,74000",302.56049865912877,3.875089923380659
28904,94701000,3413,Удмуртская Республика,1,327422.0,306473.1,08.06.0015,Электроснабжение,1027.59,"392,26000",298.2445333255481,-6.398134517533949
6496,94710000,7712,Удмуртская Республика,1,173415.0,183763.2,22.12.0017,Электроснабжение,622.9,"2580,64000",295.0123615347568,5.967303866447549
9712,94720000,4050,Удмуртская Республика,1,120579.56,161000.42,01.06.0016,Электроснабжение,561.7,"237,92000",286.6306213281111,33.52214919344541
48273,94628000,8167,Удмуртская Республика,1,105600.0,105600.0,18.07.0019,Электроснабжение,369.81,"94,36000",285.5520402368784,0.0
30513,94701000,3067,Удмуртская Республика,1,102152.73,115131.0,13.06.0015,Электроснабжение,405.9,"0,00000",283.6437546193644,12.704770592034098
10202,94720000,1404,Удмуртская Республика,1,118493.22,122709.81,01.06.0016,Электроснабжение,441.32,"1121,11000",278.0517764887157,3.5585073981448057
35480,94730000,359,Удмуртская Республика,1,55468.8,55468.8,,Электроснабжение,200.73,"623,13000",276.33537587804517,0.0
35416,94730000,315,Удмуртская Республика,1,37546.69,62930.1,10.11.0016,Электроснабжение,231.0,"773,51000",272.4246753246753,67.60492070006703
38718,94740000,340,Удмуртская Республика,1,313344.0,313344.0,,Электроснабжение,1153.37,"1571,69000",271.6769120056877,0.0
47696,94624000,1947,Удмуртская Республика,1,91344.2,91344.2,15.11.0016,Электроснабжение,336.93,"93,17000",271.1073516754222,0.0
52654,94650000,2277,Удмуртская Республика,1,101144.09,103296.0,09.01.0018,Электроснабжение,382.7,"105,58000",269.9137705774758,2.127568699268534
34722,94701000,5458,Удмуртская Республика,1,357050.0,425364.77,10.02.0017,Электроснабжение,1583.34,"3634,36000",268.65030252504204,19.133110208654248
7157,94710000,4030,Удмуртская Республика,1,225200.0,225200.0,18.09.0015,Электроснабжение,843.7,"1168,76000",266.91952115680925,0.0
44778,94616000,1717,Удмуртская Республика,1,820032.0,820032.0,18.12.0018,Электроснабжение,3081.24,"0,00000",266.1370097752853,0.0
9450,94720000,7803,Удмуртская Республика,1,531091.2,531091.2,01.02.0019,Электроснабжение,1996.0,"2761,60000",266.077755511022,0.0
23014,94701000,2715,Удмуртская Республика,1,673574.85,673574.85,19.07.0019,Электроснабжение,2533.2,"0,00000",265.898803884415,0.0
6720,94710000,3988,Удмуртская Республика,1,71052.08,71053.44,16.06.0017,Электроснабжение,268.14,"189,89000",264.9863504139629,0.0019140889330859778
39132,94740000,7045,Удмуртская Республика,1,248448.0,248448.0,,Электроснабжение,941.1,"335,14000",263.99744979279563,0.0
48262,94628000,8171,Удмуртская Республика,1,105600.0,105600.0,18.07.0019,Электроснабжение,402.37,"94,82000",262.4450132962199,0.0
24482,94701000,5861,Удмуртская Республика,1,796884.68,865728.0,26.12.0018,Электроснабжение,3348.8,"3409,17000",258.5188724319159,8.63905678297141
25438,94701000,5929,Удмуртская Республика,1,650135.24,876576.0,26.07.0018,Электроснабжение,3401.33,"4880,92000",257.7156582866114,34.829793259630115
6310,94710000,7709,Удмуртская Республика,1,178878.28,245030.4,24.11.0017,Электроснабжение,951.2,"425,38000",257.6013456686291,36.981639134723345
25430,94701000,5928,Удмуртская Республика,1,512862.22,874156.8,04.10.0017,Электроснабжение,3403.47,"4823,76000",256.8428104258301,70.44671373921831
11465,94720000,1114,Удмуртская Республика,1,77498.26,109046.83,21.06.0016,Электроснабжение,424.76,"209,37000",256.7257510123364,40.70874623507677
31288,94701000,6356,Удмуртская Республика,1,146294.0,146294.0,01.06.0015,Электроснабжение,570.86,"166,17000",256.2694881407,0.0
18436,94701000,2548,Удмуртская Республика,1,361327.0,361327.0,30.05.0018,Электроснабжение,1417.09,"361,33000",254.97815946764146,0.0
36719,94730000,7952,Удмуртская Республика,1,80085.5,99600.54,30.04.0016,Электроснабжение,390.89,"718,16000",254.80452301158894,24.367756959749265
17163,94701000,5282,Удмуртская Республика,1,1688187.0,1688187.0,31.05.0018,Электроснабжение,6638.4,"1705,07000",254.3063087490962,0.0
38655,94740000,7007,Удмуртская Республика,1,45177.6,45177.6,,Электроснабжение,177.9,"0,00000",253.9494097807757,0.0
31265,94701000,3132,Удмуртская Республика,1,118001.78,146416.58,28.06.0016,Электроснабжение,577.67,"209,91000",253.4605916872955,24.07997574273879
1851,94608000,285,Удмуртская Республика,1,95732.03,95732.04,24.11.0016,Электроснабжение,382.9,"1229,79000",250.018386001567,1.0445824649707447e-05
785,94604000,655,Удмуртская Республика,1,118938.13,119090.29,30.11.0016,Электроснабжение,478.03,"1188,77000",249.1272305085455,0.1279320601391465
25629,94701000,5958,Удмуртская Республика,1,281719.0,281719.0,01.06.0015,Электроснабжение,1139.37,"392,43000",247.25857272001195,0.0
44469,94616000,1697,Удмуртская Республика,1,89123.65,94414.08,25.12.0017,Электроснабжение,382.94,"243,75000",246.5505823366585,5.936056254428546
753,94604000,659,Удмуртская Республика,1,46425.05,47113.72,30.06.0016,Электроснабжение,191.1,"480,95000",246.5396127681842,1.483401741085899
8853,94720000,303,Удмуртская Республика,1,759118.78,826675.2,24.12.0018,Электроснабжение,3360.14,"766,71000",246.02403471283935,8.899321394736127
34026,94701000,1337,Удмуртская Республика,1,63384.35,79001.12,24.05.0016,Электроснабжение,321.8,"1183,67000",245.49757613424484,24.63821116726763
28781,94701000,3397,Удмуртская Республика,1,384508.9,384576.0,02.10.0017,Электроснабжение,1573.55,"582,53000",244.4002414921674,0.0174508314371824
23665,94701000,2772,Удмуртская Республика,1,207208.0,320582.4,10.10.0018,Электроснабжение,1311.9,"4271,30000",244.3649668419849,54.71526195899774
2094,94608000,510,Удмуртская Республика,1,334519.96,334519.96,31.10.0018,Электроснабжение,1371.13,"487,00000",243.97391932201907,0.0
23197,94701000,2726,Удмуртская Республика,1,986088.45,986088.45,,Электроснабжение,4054.56,"0,00000",243.20479904107967,0.0
1845,94608000,272,Удмуртская Республика,1,87124.27,87124.27,24.11.0016,Электроснабжение,359.0,"1056,41000",242.68598885793872,0.0
18555,94701000,2560,Удмуртская Республика,1,1707580.0,1221991.0,02.07.0015,Электроснабжение,5039.69,"780,52000",242.47344578734013,-28.437262090209536
48992,94633000,7870,Удмуртская Республика,1,47573.86,84085.13,26.04.0016,Электроснабжение,347.55,"77,01000",241.9367860739462,76.74649481879334
19829,94701000,2639,Удмуртская Республика,1,1024658.0,1024658.0,01.07.0015,Электроснабжение,4236.03,"736,94000",241.8911103084728,0.0
44835,94616000,1703,Удмуртская Республика,1,67379.06,90493.44,22.11.0017,Электроснабжение,374.93,"198,88000",241.36089403355294,34.30499030410932
52026,94646000,2245,Удмуртская Республика,1,80526.74,80640.0,12.09.0018,Электроснабжение,335.78,"770,54000",240.15724581571268,0.14064893226770625
44821,94616000,872,Удмуртская Республика,1,80802.93,83485.44,22.11.0017,Электроснабжение,347.93,"235,70000",239.9489552496192,3.3198177343321644
37642,94730000,4390,Удмуртская Республика,1,42659.0,86152.29,12.01.0017,Электроснабжение,359.7,"120,24000",239.5115095913261,101.95571860568693
38183,94740000,6916,Удмуртская Республика,1,101738.76,102236.76,28.04.0016,Электроснабжение,427.1,"1286,40000",239.37429173495667,0.48948896172904544
51039,94644000,2213,Удмуртская Республика,1,96008.0,156331.87,10.06.0016,Электроснабжение,656.45,"1284,37000",238.1474141214106,62.83212857261895
50801,94641000,4911,Удмуртская Республика,1,118868.48,124473.6,22.01.0019,Электроснабжение,522.9,"407,79000",238.04475043029262,4.7153963775762975
47509,94624000,1959,Удмуртская Республика,1,85610.0,87738.59,30.04.0016,Электроснабжение,369.1,"1024,87000",237.70953671091843,2.4863800957831916
11887,94720000,7833,Удмуртская Республика,1,116345.29,120439.79,01.06.0016,Электроснабжение,507.45,"203,36000",237.34316681446447,3.519265799242932
37659,94730000,4392,Удмуртская Республика,1,88087.0,133683.86,12.01.0017,Электроснабжение,565.05,"1577,12000",236.58766480842402,51.763438418835904
4395,94710000,837,Удмуртская Республика,1,82368.0,82368.0,22.08.0017,Электроснабжение,348.2,"198,56000",236.55370476737508,0.0
16271,94701000,2460,Удмуртская Республика,1,82848.0,82848.0,04.12.0018,Электроснабжение,350.28,"1169,22000",236.5193559438164,0.0
52018,94646000,2242,Удмуртская Республика,1,82425.6,82425.6,,Электроснабжение,348.59,"0,00000",236.45428727157983,0.0
4319,94710000,8287,Удмуртская Республика,1,109207.0,114143.68,30.04.0016,Электроснабжение,482.77,"1057,12000",236.4349068914804,4.520479456445092
48970,94633000,7883,Удмуртская Республика,1,89123.04,89301.12,03.12.0018,Электроснабжение,377.8,"143,61000",236.37141344626784,0.19981365088084235
8026,94720000,1036,Удмуртская Республика,1,335780.0,347570.73,21.06.0016,Электроснабжение,1471.48,"2345,81000",236.20486177182156,3.5114449937458936
10155,94720000,1080,Удмуртская Республика,1,126548.72,128427.7,01.06.0016,Электроснабжение,544.4,"228,49000",235.90686994856725,1.4847878350725319
52035,94646000,2258,Удмуртская Республика,1,84939.94,85056.0,12.09.0018,Электроснабжение,360.75,"87,92000",235.77546777546777,0.13663772307821453
4816,94710000,8301,Удмуртская Республика,1,114694.0,184750.01,05.05.0016,Электроснабжение,784.4,"322,36000",235.5303544110148,61.08079760057197
31205,94701000,3136,Удмуртская Республика,1,71933.4,98060.77,28.06.0016,Электроснабжение,417.25,"135,26000",235.0168244457759,36.321611379414875
35485,94730000,349,Удмуртская Республика,1,57066.24,57066.24,,Электроснабжение,243.7,"1012,70000",234.16594173163728,0.0
1772,94606000,1496,Удмуртская Республика,1,71591.11,72000.0,16.02.0018,Электроснабжение,307.58,"187,37000",234.0854411860329,0.5711463336718792
23985,94701000,2785,Удмуртская Республика,1,299449.78,368217.6,29.11.0018,Электроснабжение,1573.15,"849,72000",234.0638845628198,22.964725504223082
50308,94637000,8096,Удмуртская Республика,1,37898.0,40046.66,04.02.0016,Электроснабжение,171.55,"72,55000",233.4401632177208,5.669586785582359
17387,94701000,5303,Удмуртская Республика,1,470382.22,596678.4,06.09.0018,Электроснабжение,2556.9,"1427,86000",233.36008447729674,26.849692575539976
30408,94701000,3074,Удмуртская Республика,1,265926.0,265926.0,01.06.0015,Электроснабжение,1140.3,"0,00000",233.20705077611157,0.0
52033,94646000,2257,Удмуртская Республика,1,94238.34,99667.2,12.09.0018,Электроснабжение,428.3,"97,67000",232.70417931356525,5.760776346442431
19833,94701000,2640,Удмуртская Республика,1,486181.0,486181.0,01.07.0015,Электроснабжение,2094.43,"821,03000",232.13046031617196,0.0
25013,94701000,5895,Удмуртская Республика,1,298643.0,363072.0,21.08.0018,Электроснабжение,1566.33,"1981,96000",231.79789699488614,21.57391936191373
