,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3432993,97638000,167214,Чувашская Республика,1,118369.0,118369.0,31.12.2015,Электроснабжение,23.1,"118,37000",5124.199134199134,0.0
3432998,97638000,5800,Чувашская Республика,1,154029.0,154029.0,31.12.2015,Электроснабжение,66.4,"154,03000",2319.7138554216867,0.0
3427103,97629000,5577,Чувашская Республика,1,153606.0,153606.0,04.06.2015,Электроснабжение,249.1,"246,55000",616.6439181051786,0.0
3450310,97713000,2781,Чувашская Республика,1,341170.73,341170.73,26.09.2016,Электроснабжение,649.25,"2175,16000",525.4843742780131,0.0
3435060,97644000,4767,Чувашская Республика,1,270726.95,259818.28,,Электроснабжение,516.0,,503.5237984496124,-4.029399363454589
3436992,97701000,2180,Чувашская Республика,1,735813.26,735813.26,14.07.2015,Электроснабжение,1501.7,"1738,86000",489.9868548977825,0.0
3439975,97701000,447,Чувашская Республика,1,129653.3,129653.3,12.01.2017,Электроснабжение,268.4,"129,65000",483.0599850968704,0.0
3444782,97701000,365,Чувашская Республика,1,939969.02,939969.02,14.07.2016,Электроснабжение,1965.62,"939,97000",478.2048513954885,0.0
3433333,97641000,7527,Чувашская Республика,1,155571.71,155571.71,11.07.2016,Электроснабжение,325.7,"155,57000",477.65339269266195,0.0
3422311,97607000,4782,Чувашская Республика,1,279432.85,266636.06,,Электроснабжение,559.3,,476.73173609869485,-4.579558201550027
3446172,97701000,221,Чувашская Республика,1,1980339.28,1980339.28,20.01.2017,Электроснабжение,4161.46,"3894,86000",475.8760819520072,0.0
3433180,97641000,251945,Чувашская Республика,1,186152.9,186152.9,19.01.2017,Электроснабжение,395.2,"186,15000",471.03466599190284,0.0
3442632,97701000,772,Чувашская Республика,1,502198.23,481818.27,23.10.2017,Электроснабжение,1024.8,,470.1583430913349,-4.058150503636771
3436951,97701000,2187,Чувашская Республика,1,1088625.24,1088625.24,14.07.2015,Электроснабжение,2315.7,"2758,68000",470.10633501748936,0.0
3434631,97644000,4109,Чувашская Республика,1,145889.7,139297.72,,Электроснабжение,296.9,,469.17386325362077,-4.5184684045549535
3437087,97701000,2179,Чувашская Республика,1,1547470.2,1478929.57,,Электроснабжение,3157.9,"527,66000",468.32691662180565,-4.429205163369209
3432997,97638000,151804,Чувашская Республика,1,121342.0,121342.0,31.12.2015,Электроснабжение,259.5,"121,34000",467.59922928709057,0.0
3433432,97641000,44559,Чувашская Республика,1,282018.0,268725.85,,Электроснабжение,582.1,,461.6489434805016,-4.713227524484265
3427326,97629000,5936,Чувашская Республика,1,124415.15,184330.53,,Электроснабжение,399.3,"449,66000",461.634184823441,48.15762389065963
3422543,97607000,4774,Чувашская Республика,1,178936.88,178936.88,31.01.2017,Электроснабжение,388.4,"918,36000",460.7025746652935,0.0
3451778,97658000,3676,Чувашская Республика,1,208368.0,208368.0,31.12.2015,Электроснабжение,453.84,"208,37000",459.1221575885775,0.0
3434303,97644000,4073,Чувашская Республика,1,447166.43,427161.94,,Электроснабжение,930.6,,459.0177734794756,-4.473611760167239
3426897,97626000,7349,Чувашская Республика,1,165804.0,165804.0,31.12.2015,Электроснабжение,361.42,"165,80000",458.7571246748935,0.0
3450581,97713000,2797,Чувашская Республика,1,133314.43,133314.43,08.07.2015,Электроснабжение,292.13,"133,31000",456.3530962242837,0.0
3448644,97701000,2146,Чувашская Республика,1,1295744.51,1295744.51,14.07.2015,Электроснабжение,2840.0,"2333,99000",456.24806690140844,0.0
3422515,97607000,4770,Чувашская Республика,1,278628.02,278628.02,31.01.2017,Электроснабжение,613.99,"1319,62000",453.79895438036453,0.0
3451448,97653000,7659,Чувашская Республика,1,183897.38,183897.38,08.07.2016,Электроснабжение,406.28,"183,90000",452.6370483410456,0.0
3450933,97653000,3746,Чувашская Республика,1,183288.0,183288.0,12.06.2015,Электроснабжение,406.27,"294,07000",451.14825116301967,0.0
3450489,97713000,2786,Чувашская Республика,1,127976.66,118754.38,,Электроснабжение,264.05,"408,34000",449.74201855709146,-7.206220259225393
3433063,97641000,98454,Чувашская Республика,1,129038.57,129038.57,11.07.2016,Электроснабжение,288.1,"129,04000",447.89507115584865,0.0
3433519,97641000,108967,Чувашская Республика,1,434873.0,403101.16,05.10.2017,Электроснабжение,903.2,"1000,32000",446.30332152347205,-7.306004281709844
3422554,97607000,4924,Чувашская Республика,1,132133.06,132133.06,06.07.2016,Электроснабжение,297.48,"132,13000",444.1745999731074,0.0
3446223,97701000,213,Чувашская Республика,1,575008.33,575008.33,19.01.2017,Электроснабжение,1299.51,"1566,55000",442.4808812552423,0.0
3434307,97644000,4074,Чувашская Республика,1,461808.16,415620.48,,Электроснабжение,944.85,,439.87985394507064,-10.001486331467158
3422528,97607000,4923,Чувашская Республика,1,174811.29,174811.29,06.07.2016,Электроснабжение,399.0,"1094,75000",438.1235338345865,0.0
3451348,97653000,7556,Чувашская Республика,1,208009.56,208009.56,08.07.2016,Электроснабжение,476.0,"208,01000",436.9948739495798,0.0
3449566,97713000,2915,Чувашская Республика,1,134719.58,134719.58,20.06.2016,Электроснабжение,310.93,"669,52000",433.27945196668054,0.0
3433534,97641000,9270,Чувашская Республика,1,151940.0,151940.0,31.12.2015,Электроснабжение,350.7,"151,94000",433.2477901340177,0.0
3426190,97619000,4937,Чувашская Республика,1,196859.0,174980.45,09.10.2017,Электроснабжение,403.9,"825,60000",433.22716018816544,-11.113817503898726
3433342,97641000,117841,Чувашская Республика,1,112450.0,112450.0,31.12.2015,Электроснабжение,260.0,"112,45000",432.5,0.0
3433057,97641000,159114,Чувашская Республика,1,242078.0,242078.0,31.12.2015,Электроснабжение,559.9,"242,08000",432.35934988390784,0.0
3432674,97638000,5259,Чувашская Республика,1,464609.87,420871.71,,Электроснабжение,977.63,,430.5020406493254,-9.41395412026007
3426917,97629000,5879,Чувашская Республика,1,469221.36,434635.41,,Электроснабжение,1019.2,,426.44761577708005,-7.3709240346603195
3433060,97641000,103434,Чувашская Республика,1,121683.0,121683.0,31.12.2015,Электроснабжение,285.9,"603,88000",425.6138509968521,0.0
3422536,97607000,4773,Чувашская Республика,1,162506.33,162506.33,06.07.2016,Электроснабжение,382.5,"1067,31000",424.85315032679733,0.0
3450619,97713000,2694,Чувашская Республика,1,503087.96,503087.96,30.11.2016,Электроснабжение,1196.82,"2679,02000",420.3539045136278,0.0
