,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
4213865,18602000,100001,Волгоградская область,21,42331.09,0.0,,ИРД,240.6,"0,00000",0.0,1.0
4295438,18605000,300172,Волгоградская область,20,344185.32,0.0,,ИРД,2634.2,"0,00000",0.0,1.0
4295437,18605000,300172,Волгоградская область,21,184139.14,0.0,,ИРД,2634.2,"0,00000",0.0,1.0
4295433,18605000,300171,Волгоградская область,20,360000.69,0.0,,ИРД,2610.9,"0,00000",0.0,1.0
4295432,18605000,300171,Волгоградская область,21,192600.37,0.0,,ИРД,2610.9,"0,00000",0.0,1.0
4295414,18605000,300170,Волгоградская область,20,266389.57,0.0,,ИРД,1613.3,"0,00000",0.0,1.0
4295413,18605000,300170,Волгоградская область,21,142518.42,0.0,,ИРД,1613.3,"0,00000",0.0,1.0
4295411,18605000,300169,Волгоградская область,20,351088.11,0.0,,ИРД,2662.9,"0,00000",0.0,1.0
4295406,18605000,300169,Волгоградская область,21,187832.14,0.0,,ИРД,2662.9,"0,00000",0.0,1.0
4295399,18605000,300168,Волгоградская область,20,215661.16,0.0,,ИРД,1645.7,"0,00000",0.0,1.0
4295388,18605000,300168,Волгоградская область,21,115378.72,0.0,,ИРД,1645.7,"0,00000",0.0,1.0
4295385,18605000,300159,Волгоградская область,21,189848.36,0.0,,ИРД,2661.0,"0,00000",0.0,1.0
4295384,18605000,300159,Волгоградская область,20,354856.75,0.0,,ИРД,2661.0,"0,00000",0.0,1.0
4295370,18605000,300155,Волгоградская область,21,180131.78,0.0,,ИРД,2635.6,"0,00000",0.0,1.0
4295369,18605000,300155,Волгоградская область,20,336694.91,0.0,,ИРД,2635.6,"0,00000",0.0,1.0
4295357,18605000,300154,Волгоградская область,21,188573.7,0.0,,ИРД,2662.3,"0,00000",0.0,1.0
4295353,18605000,300154,Волгоградская область,20,352474.2,0.0,,ИРД,2662.3,"0,00000",0.0,1.0
4295346,18605000,300153,Волгоградская область,20,270154.6,0.0,,ИРД,2157.8,"0,00000",0.0,1.0
4295345,18605000,300153,Волгоградская область,21,144532.71,0.0,,ИРД,2157.8,"0,00000",0.0,1.0
