,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5992574,47730000,51594534,Мурманская область,21,41762.27,176822.84,,ИРД,2653.6,,66.6350768766958,-3.234033255376205
6003616,47703000,51583206,Мурманская область,21,5047.94,15900.0,01.04.2016,ИРД,1171.2,,13.575819672131146,-2.149799720281937
6019799,47701000,51585763,Мурманская область,21,88855.7,266567.1,,ИРД,4494.6,,59.308303297290074,-1.9999999999999998
6031630,47717000,51594187,Мурманская область,21,1760.17,3531.27,,ИРД,1128.9,,3.12806271591815,-1.0062096274791639
5993551,47730000,51591840,Мурманская область,21,6339.25,10772.59,16.04.2018,ИРД,3956.7,,2.7226198599843308,-0.699347714635012
5993172,47730000,51594492,Мурманская область,21,12755.67,16634.23,11.04.2018,ИРД,4396.8,,3.78325827874818,-0.30406556456854084
6020912,47701000,51582392,Мурманская область,21,9302.88,12106.01,,ИРД,6348.4,,1.9069387562220403,-0.3013185164164217
6020910,47701000,51582392,Мурманская область,21,14096.8,18338.71,,ИРД,6348.4,,2.8887136916388383,-0.30091297315702853
5993556,47730000,51591840,Мурманская область,21,15324.78,19379.4,16.04.2018,ИРД,3956.7,,4.897869436651756,-0.26457932838187564
6028693,47701000,51593261,Мурманская область,21,2631.5,3307.26,,ИРД,1139.8,,2.9016143183014567,-0.25679650389511693
6031640,47717000,51594187,Мурманская область,21,1863.52,2331.14,,ИРД,1128.9,,2.0649658960049604,-0.25093371683695365
6020917,47701000,51582392,Мурманская область,21,14989.34,18504.18,,ИРД,6348.4,,2.914778526872913,-0.23448931040325993
5995124,47730000,51593107,Мурманская область,21,21104.4,24765.36,,ИРД,3839.4,,6.450320362556649,-0.17346903963154597
6014663,47701000,51591754,Мурманская область,20,802600.0,902799.34,27.03.2017,ИРД,3120.3,,289.3309425375765,-0.12484343384001989
6028709,47701000,51593260,Мурманская область,21,2227.76,2490.14,,ИРД,1022.7,,2.4348684853818323,-0.11777749847380312
5995221,47730000,51592453,Мурманская область,21,16106.68,17552.81,18.04.2018,ИРД,3029.2,,5.794536511290111,-0.08978448693337181
5990999,47737000,51594603,Мурманская область,21,38441.68,40567.57,,ИРД,4032.8,,10.059405375917477,-0.055301693370320947
6035118,47615000,51594467,Мурманская область,21,9615.78,10045.07,25.06.2018,ИРД,4081.6,,2.461061838494708,-0.04464432422538775
6005116,47605000,51587062,Мурманская область,21,1908.94,1982.96,,ИРД,516.11,,3.8421266784212667,-0.03877544605906942
6014735,47701000,51591758,Мурманская область,20,622898.4,622899.4,27.03.2017,ИРД,1221.1,,510.1133404307592,-1.605398247932568e-06
6007787,47605000,51587330,Мурманская область,21,64575.38,64575.38,15.09.2015,ИРД,3922.4,,16.463231694880683,0.0
6031743,47717000,51592648,Мурманская область,21,37628.3,37628.3,,ИРД,10121.4,,3.7176971565198493,0.0
6031489,47717000,51594145,Мурманская область,21,23207.02,23207.02,31.01.2017,ИРД,1292.8,,17.95097462871287,0.0
6008072,47605000,51593064,Мурманская область,21,16559.08,16559.08,30.09.2016,ИРД,4906.8,,3.374720795630554,0.0
6007311,47605000,51587048,Мурманская область,21,48314.0,48314.0,03.11.2016,ИРД,2083.3,,23.191091057456916,0.0
6007537,47605000,51586370,Мурманская область,21,10948.0,10948.0,29.06.2017,ИРД,351.9,,31.111111111111114,0.0
6008070,47605000,51593064,Мурманская область,21,21390.92,21390.92,08.08.2016,ИРД,4906.8,,4.359444036846824,0.0
6007591,47605000,51587130,Мурманская область,21,22372.0,22372.0,04.08.2016,ИРД,2245.5,,9.963037185482076,0.0
6007645,47605000,51586940,Мурманская область,21,40068.12,40068.12,05.09.2016,ИРД,3016.4,,13.283423949078372,0.0
6008068,47605000,51593063,Мурманская область,21,17913.91,17913.91,30.09.2016,ИРД,5273.8,,3.396774621714892,0.0
6008066,47605000,51593063,Мурманская область,21,23141.09,23141.09,08.08.2016,ИРД,5273.8,,4.3879346960445975,0.0
6031585,47717000,51594192,Мурманская область,20,33921.16,33921.16,18.02.2016,ИРД,696.2,,48.723297902901464,0.0
6007843,47605000,51587333,Мурманская область,20,79718.2,79718.2,13.04.2018,ИРД,1351.1,,59.0024424542965,0.0
6006970,47605000,51586544,Мурманская область,21,39270.0,39270.0,18.11.2016,ИРД,2797.61,,14.03698156640847,0.0
6007759,47605000,51587410,Мурманская область,21,67455.0,67455.0,03.09.2015,ИРД,4089.2,,16.49589161694219,0.0
6007632,47605000,51586786,Мурманская область,20,117872.56,117872.56,13.04.2018,ИРД,5355.1,,22.011271498197978,0.0
6031582,47717000,51594192,Мурманская область,20,106078.84,106078.84,18.02.2016,ИРД,696.2,,152.3683424303361,0.0
5986001,47705000,51593574,Мурманская область,21,53769.6,53769.6,10.11.2015,ИРД,3472.3,,15.485297929326382,0.0
6006830,47605000,51586586,Мурманская область,21,3250.63,3250.63,28.03.2016,ИРД,1079.3,,3.011794681738164,0.0
6005351,47605000,51586921,Мурманская область,21,3123.28,3123.28,14.10.2016,ИРД,508.0,,6.148188976377953,0.0
6005352,47605000,51586921,Мурманская область,21,7617.57,7617.57,06.06.2016,ИРД,508.0,,14.99521653543307,0.0
6005361,47605000,51586921,Мурманская область,21,112.4,112.4,06.06.2016,ИРД,508.0,,0.22125984251968506,0.0
6005362,47605000,51586921,Мурманская область,21,1282.56,1282.56,14.10.2016,ИРД,508.0,,2.524724409448819,0.0
6005367,47605000,51586921,Мурманская область,21,871.8,871.8,14.10.2016,ИРД,508.0,,1.7161417322834644,0.0
6005369,47605000,51593319,Мурманская область,21,10429.51,10429.51,07.07.2016,ИРД,4520.0,,2.3074137168141595,0.0
6005373,47605000,51593319,Мурманская область,21,13608.49,13608.49,07.07.2016,ИРД,4520.0,,3.010727876106195,0.0
6032890,47717000,51592460,Мурманская область,21,44427.85,44427.85,02.03.2018,ИРД,4296.2,,10.34119687165402,0.0
6032797,47717000,51592482,Мурманская область,21,44427.85,44427.85,15.02.2018,ИРД,4788.5,,9.278030698548605,0.0
6005450,47605000,51587440,Мурманская область,20,113898.32,113898.32,,ИРД,4972.5,,22.905645047762697,0.0
6005491,47605000,51586550,Мурманская область,21,47000.08,47000.08,06.06.2016,ИРД,3519.25,,13.355141010158414,0.0
6006884,47605000,51587522,Мурманская область,21,14544.44,14544.44,23.12.2016,ИРД,4051.2,,3.590156003159558,0.0
6005492,47605000,51586550,Мурманская область,21,24135.65,24135.65,06.06.2016,ИРД,3519.25,,6.858180009945301,0.0
6005627,47605000,52390505,Мурманская область,20,36464.08,36464.08,29.06.2017,ИРД,1018.3,,35.808779338112544,0.0
6032793,47717000,51592467,Мурманская область,21,44427.85,44427.85,15.02.2018,ИРД,4668.4,,9.516718790163655,0.0
6005787,47605000,51587137,Мурманская область,20,88501.18,88501.18,22.03.2018,ИРД,1931.8,,45.812806708769024,0.0
6005789,47605000,51587137,Мурманская область,20,100940.36,100940.36,22.03.2018,ИРД,1931.8,,52.25197225385651,0.0
6005968,47605000,51594085,Мурманская область,21,30464.0,30464.0,27.07.2016,ИРД,1753.0,,17.378208784940103,0.0
6005970,47605000,51594084,Мурманская область,20,79395.02,79395.02,,ИРД,1809.8,,43.86949939219804,0.0
6006029,47605000,51594099,Мурманская область,20,87145.05,87145.05,,ИРД,1708.8,,50.99780547752809,0.0
6006151,47605000,51587458,Мурманская область,21,15718.89,15718.89,18.05.2016,ИРД,1952.1,,8.052297525741508,0.0
6006630,47605000,51587036,Мурманская область,21,22967.0,22967.0,19.05.2016,ИРД,2538.7,,9.046756213810218,0.0
6008244,47605000,51591334,Мурманская область,20,77061.08,77061.08,,ИРД,2753.9,,27.982526598641925,0.0
6006829,47605000,51586586,Мурманская область,21,18213.07,18213.07,28.03.2016,ИРД,1079.3,,16.87489113314185,0.0
6005495,47605000,51586550,Мурманская область,21,39864.26,39864.26,06.06.2016,ИРД,3519.25,,11.327487390779286,0.0
6006826,47605000,51587213,Мурманская область,20,108390.49,108390.49,22.03.2018,ИРД,1126.5,,96.21881047492234,0.0
6008409,47610000,51584535,Мурманская область,21,11465.09,11465.09,,ИРД,1145.4,,10.009682207089226,0.0
6008402,47610000,51584535,Мурманская область,21,18051.85,18051.85,,ИРД,1145.4,,15.760302077876721,0.0
6008905,47610000,51584427,Мурманская область,21,3349.99,3349.99,17.05.2016,ИРД,1900.8,,1.7624105639730638,0.0
