,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
515085,12701000,631,Астраханская область,6,56330.0,56330.0,28.09.2016,Лифтовое оборудование,4022.8,"56,33000",14.002684697225812,0.0
526723,12701000,925,Астраханская область,7,622473.06,622473.06,15.02.2015,Лифтовое оборудование,5398.7,"4673,07134",115.30054642784376,0.0
526724,12701000,925,Астраханская область,6,1281225.47,1281225.47,28.02.2015,Лифтовое оборудование,5398.7,"4673,07134",237.32110878544836,0.0
534097,12701000,2562,Астраханская область,7,1398639.12,1398639.12,28.02.2015,Лифтовое оборудование,5063.4,"6318,39000",276.22528735632187,0.0
534096,12701000,2562,Астраханская область,7,4263080.0,4263080.0,,Лифтовое оборудование,5063.4,"6318,39000",841.9401982857369,0.0
530403,12701000,2950,Астраханская область,7,2815269.04,2815269.04,28.02.2015,Лифтовое оборудование,3172.9,"3239,88100",887.2857764190488,0.0
520094,12701000,2975,Астраханская область,7,6953760.0,6953760.0,26.12.2016,Лифтовое оборудование,7704.0,"13355,95407",902.6168224299065,0.0
544251,12701000,1674,Астраханская область,6,5676720.8,5676720.8,28.02.2015,Лифтовое оборудование,6247.0,"7350,00000",908.7115095245717,0.0
526906,12701000,939,Астраханская область,6,5676720.8,5676720.8,28.02.2015,Лифтовое оборудование,5533.8,"7350,00000",1025.8268820701867,0.0
542367,12701000,2642,Астраханская область,7,17052320.0,17052320.0,08.02.2017,Лифтовое оборудование,9678.2,"23537,14500",1761.9309375710359,0.0
534047,12701000,2561,Астраханская область,7,12789240.0,12789240.0,,Лифтовое оборудование,6770.3,"15071,42000",1889.0211659749198,0.0
534109,12701000,2563,Астраханская область,7,6394620.0,6394620.0,15.12.2016,Лифтовое оборудование,2055.0,"8054,25700",3111.7372262773724,0.0
510807,12605000,3721,Астраханская область,7,7600000.0,,,Лифтовое оборудование,7839.3,"1026,37812",,
510831,12605000,3722,Астраханская область,7,7600000.0,,,Лифтовое оборудование,7821.2,,,
510856,12605000,3723,Астраханская область,7,7600000.0,,,Лифтовое оборудование,7984.9,,,
510868,12605000,3724,Астраханская область,7,7600000.0,,,Лифтовое оборудование,8003.1,,,
510878,12605000,3725,Астраханская область,7,3800000.0,,,Лифтовое оборудование,3763.4,,,
510890,12605000,3726,Астраханская область,7,3800000.0,,,Лифтовое оборудование,3768.4,,,
510901,12605000,3727,Астраханская область,7,7520497.82,,,Лифтовое оборудование,8043.1,,,
510908,12605000,3727,Астраханская область,7,79502.18,,,Лифтовое оборудование,8043.1,,,
510916,12605000,3728,Астраханская область,7,97150.0,,,Лифтовое оборудование,7977.0,,,
510919,12605000,3728,Астраханская область,7,3702850.0,,,Лифтовое оборудование,7977.0,,,
511437,12605000,3895,Астраханская область,7,5400000.0,,,Лифтовое оборудование,6089.2,,,
511502,12605000,3877,Астраханская область,7,5400000.0,,,Лифтовое оборудование,5473.9,,,
511549,12605000,3890,Астраханская область,7,5400000.0,,,Лифтовое оборудование,6051.0,,,
511579,12605000,3892,Астраханская область,7,5400000.0,,,Лифтовое оборудование,6056.7,,,
511641,12605000,3885,Астраханская область,7,1600000.0,,,Лифтовое оборудование,3421.0,,,
511663,12605000,3767,Астраханская область,7,2000000.0,,,Лифтовое оборудование,3816.9,,,
511745,12605000,3851,Астраханская область,7,1800000.0,,,Лифтовое оборудование,3137.9,,,
511766,12605000,3953,Астраханская область,7,1000000.0,,,Лифтовое оборудование,3677.4,,,
512337,12605000,3862,Астраханская область,7,3900000.0,,,Лифтовое оборудование,4246.6,,,
512347,12605000,3793,Астраханская область,7,3600000.0,,,Лифтовое оборудование,4195.2,,,
512357,12605000,3957,Астраханская область,7,1000000.0,,,Лифтовое оборудование,3828.8,,,
