,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2409287,14740000,280194,Белгородская область,6,1747057.25,1747057.25,27.02.2018,Лифтовое оборудование,48168.63,"29189,68186",36.2696063807503,0.0
2409294,14740000,280194,Белгородская область,6,1747057.25,1747057.25,07.03.2018,Лифтовое оборудование,48168.63,"29189,68186",36.2696063807503,0.0
2409292,14740000,280194,Белгородская область,6,1747057.25,1747057.25,07.03.2018,Лифтовое оборудование,48168.63,"29189,68186",36.2696063807503,0.0
2409291,14740000,280194,Белгородская область,6,1747057.25,1747057.25,07.03.2018,Лифтовое оборудование,48168.63,"29189,68186",36.2696063807503,0.0
2409290,14740000,280194,Белгородская область,6,1747057.25,1747057.25,07.03.2018,Лифтовое оборудование,48168.63,"29189,68186",36.2696063807503,0.0
2409302,14740000,280194,Белгородская область,6,1747057.25,1747057.25,07.03.2018,Лифтовое оборудование,48168.63,"29189,68186",36.2696063807503,0.0
2409303,14740000,280194,Белгородская область,6,1747057.25,1747057.25,07.03.2018,Лифтовое оборудование,48168.63,"29189,68186",36.2696063807503,0.0
2409289,14740000,280194,Белгородская область,6,1747057.25,1747057.25,07.03.2018,Лифтовое оборудование,48168.63,"29189,68186",36.2696063807503,0.0
2409316,14740000,280194,Белгородская область,6,1747057.25,1747057.25,07.03.2018,Лифтовое оборудование,48168.63,"29189,68186",36.2696063807503,0.0
2409317,14740000,280194,Белгородская область,6,1747057.25,1747057.25,07.03.2018,Лифтовое оборудование,48168.63,"29189,68186",36.2696063807503,0.0
2409318,14740000,280194,Белгородская область,6,1747057.25,1747057.25,07.03.2018,Лифтовое оборудование,48168.63,"29189,68186",36.2696063807503,0.0
2409319,14740000,280194,Белгородская область,6,1747057.25,1747057.25,07.03.2018,Лифтовое оборудование,48168.63,"29189,68186",36.2696063807503,0.0
2409320,14740000,280194,Белгородская область,6,1747057.25,1747057.25,07.03.2018,Лифтовое оборудование,48168.63,"29189,68186",36.2696063807503,0.0
2409304,14740000,280194,Белгородская область,6,1747057.25,1747057.25,07.03.2018,Лифтовое оборудование,48168.63,"29189,68186",36.2696063807503,0.0
2409288,14740000,280194,Белгородская область,6,1747057.25,1747057.25,07.03.2018,Лифтовое оборудование,48168.63,"29189,68186",36.2696063807503,0.0
2409301,14740000,280194,Белгородская область,6,2109341.2,2109341.2,,Лифтовое оборудование,48168.63,"29189,68186",43.79076589888482,0.0
2409295,14740000,280194,Белгородская область,6,2109341.2,2109341.2,26.03.2019,Лифтовое оборудование,48168.63,"29189,68186",43.79076589888482,0.0
2409296,14740000,280194,Белгородская область,6,2109341.2,2109341.2,,Лифтовое оборудование,48168.63,"29189,68186",43.79076589888482,0.0
2409297,14740000,280194,Белгородская область,6,2109341.2,2109341.2,,Лифтовое оборудование,48168.63,"29189,68186",43.79076589888482,0.0
2409298,14740000,280194,Белгородская область,6,2109341.2,2109341.2,,Лифтовое оборудование,48168.63,"29189,68186",43.79076589888482,0.0
2405557,14740000,280138,Белгородская область,6,1300000.0,1300000.0,15.06.2015,Лифтовое оборудование,28171.29,"33529,34803",46.14627161198511,0.0
