,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2174549,20701000,3388,Воронежская область,8,759009.93,3799326.24,29.12.2017,Ремонт кровли ,3720.9,,1021.077223252439,-4.005634432213554
2169817,20701000,9078,Воронежская область,8,1105953.82,4253233.96,10.11.2017,Ремонт кровли ,15023.0,,283.11482127404645,-2.8457609016622407
2192126,20701000,5026,Воронежская область,8,4604160.0,15632272.46,,Ремонт кровли ,6864.7,,2277.196739842965,-2.3952496133931054
2146009,20710000,810,Воронежская область,22,460832.6,1264928.63,29.12.2017,Ремонт кровли ,191.2,,6615.735512552301,-1.74487662114182
2196985,20727000,9257,Воронежская область,8,989408.32,2577928.0,29.04.2016,Ремонт кровли ,2843.6,,906.5719510479674,-1.6055248858226705
2152358,20701000,9049,Воронежская область,8,2431120.31,6253981.12,04.12.2017,Ремонт кровли ,7096.2,,881.3141005044954,-1.5724687890909026
2147670,20608000,9401,Воронежская область,8,466695.77,1162631.13,30.10.2014,Ремонт кровли ,245.1,,4743.4970624235,-1.4911970597033692
2223050,20649000,9196,Воронежская область,8,1589255.52,3846545.25,09.11.2017,Ремонт кровли ,5621.1,,684.3047179377702,-1.4203441181063194
2156928,20701000,1802,Воронежская область,8,3218380.0,6970813.19,,Ремонт кровли ,4043.4,,1723.9979200672701,-1.165938512543578
2174856,20701000,3418,Воронежская область,8,1357808.3,2872432.7,19.10.2018,Ремонт кровли ,3352.3,,856.854308981893,-1.115492076458805
2166618,20701000,2713,Воронежская область,8,1058926.1,2129917.94,28.12.2016,Ремонт кровли ,4135.2,,515.0701151093054,-1.0113943173182716
2155983,20701000,1711,Воронежская область,8,1803030.56,3546369.64,28.12.2018,Ремонт кровли ,6618.5,,535.8267945909195,-0.9668938057267316
2170636,20701000,9083,Воронежская область,8,636797.62,1252370.58,06.09.2016,Ремонт кровли ,4459.3,,280.84465723319806,-0.9666696932692683
2147351,20608000,949,Воронежская область,8,558152.98,1082668.63,19.11.2018,Ремонт кровли ,253.8,,4265.833845547675,-0.939734568827349
2172857,20701000,3249,Воронежская область,8,1920166.8,3707935.78,14.09.2018,Ремонт кровли ,688.3,,5387.092517797472,-0.9310487922195091
2225561,20651000,9236,Воронежская область,8,433870.66,818252.7,07.11.2015,Ремонт кровли ,409.5,,1998.1750915750915,-0.8859369287612119
2219183,20647000,9185,Воронежская область,8,1260489.11,2200051.28,05.12.2017,Ремонт кровли ,371.1,,5928.459390999729,-0.7453949126145164
2147368,20608000,951,Воронежская область,8,546795.48,946196.46,30.11.2018,Ремонт кровли ,250.1,,3783.272530987605,-0.7304394323084017
2218839,20643000,7725,Воронежская область,8,1671402.74,2841659.48,21.11.2018,Ремонт кровли ,1348.3,,2107.586946525254,-0.7001644259599574
2225399,20651000,8375,Воронежская область,8,1212152.03,2055788.2,31.07.2018,Ремонт кровли ,683.2,,3009.057669789227,-0.6959821450779569
2194927,20701000,5277,Воронежская область,8,3055868.42,5072407.0,19.12.2018,Ремонт кровли ,6223.21,,815.0788740858817,-0.6598905132178433
2222232,20647000,9184,Воронежская область,8,713058.39,1163923.28,01.12.2017,Ремонт кровли ,255.8,,4550.1301016419075,-0.6322972933534938
2222904,20649000,9195,Воронежская область,8,650637.0,1058274.0,29.03.2016,Ремонт кровли ,1372.1,,771.2805189126158,-0.6265198566942858
2195303,20701000,5309,Воронежская область,8,3478860.66,5627853.06,12.10.2018,Ремонт кровли ,7987.8,,704.5560805227972,-0.6177287940011944
2217235,20641000,7577,Воронежская область,8,2110770.84,3333876.09,20.01.2017,Ремонт кровли ,3377.7,,987.0255173638867,-0.5794590425552781
2141435,20602000,9378,Воронежская область,8,571333.08,900331.0,08.12.2017,Ремонт кровли ,544.2,,1654.4119808893788,-0.5758425890550571
2222815,20649000,9193,Воронежская область,8,377061.85,593774.36,02.10.2015,Ремонт кровли ,1018.4,,583.0463079340142,-0.5747399531403138
2199068,20613000,5596,Воронежская область,8,1837343.02,2888300.38,04.08.2017,Ремонт кровли ,650.3,,4441.489128094726,-0.5719984502403911
2205776,20621000,9147,Воронежская область,8,356090.96,556609.0,19.09.2015,Ремонт кровли ,355.9,,1563.947738128688,-0.5631090438240836
2225554,20651000,9235,Воронежская область,8,365159.26,559605.81,07.11.2015,Ремонт кровли ,482.7,,1159.3242386575514,-0.5324979298073943
2222234,20647000,9183,Воронежская область,8,753019.49,1153992.23,17.11.2017,Ремонт кровли ,241.6,,4776.4579056291395,-0.5324865363046579
2222314,20647000,8055,Воронежская область,8,1045914.24,1565030.69,10.08.2017,Ремонт кровли ,391.1,,4001.612605471746,-0.4963279302899633
2187893,20701000,4632,Воронежская область,8,581828.5,868539.18,24.05.2016,Ремонт кровли ,324.9,,2673.2507848568794,-0.4927752421890644
2154920,20701000,1617,Воронежская область,8,1794867.32,2623923.3,31.07.2018,Ремонт кровли ,4599.4,,570.4925207635779,-0.4619037690206537
2197143,20727000,5454,Воронежская область,8,1385757.73,2024948.94,31.05.2017,Ремонт кровли ,2652.6,,763.382696222574,-0.4612575460791404
2180003,20701000,9111,Воронежская область,8,1956509.62,2850410.02,16.11.2015,Ремонт кровли ,3146.7,,905.8410461753583,-0.45688525671547675
2144631,20710000,665,Воронежская область,8,960115.24,1395137.94,16.06.2017,Ремонт кровли ,506.3,,2755.5558759628675,-0.45309425564372874
2147359,20608000,950,Воронежская область,8,676366.56,980908.17,15.10.2018,Ремонт кровли ,136.9,,7165.143681519357,-0.45026118677422483
2147408,20608000,9294,Воронежская область,8,653005.1,946196.46,30.10.2014,Ремонт кровли ,691.0,,1369.3147033285093,-0.44898785629698756
2222419,20647000,8063,Воронежская область,8,1170521.73,1694342.17,17.08.2017,Ремонт кровли ,360.9,,4694.76910501524,-0.4475102226423425
2227185,20658000,8588,Воронежская область,8,1200726.7,1737310.56,04.04.2017,Ремонт кровли ,418.0,,4156.245358851675,-0.4468825920169845
2211922,20631000,9161,Воронежская область,8,268499.56,385412.9,08.04.2016,Ремонт кровли ,680.1,,566.700338185561,-0.43543214744932923
2197454,20727000,5474,Воронежская область,8,1180119.12,1692184.21,31.05.2017,Ремонт кровли ,3134.8,,539.8061152226617,-0.4339096632889058
2144617,20710000,664,Воронежская область,8,977577.47,1395137.94,16.06.2017,Ремонт кровли ,551.5,,2529.7152130553036,-0.4271379842663518
2210326,20627000,6803,Воронежская область,8,472631.26,671911.55,23.06.2017,Ремонт кровли ,400.2,,1678.9394052973514,-0.42164009634064414
2227198,20658000,8589,Воронежская область,8,1236022.86,1737310.56,04.04.2017,Ремонт кровли ,405.6,,4283.3100591715975,-0.4055650718304675
2147641,20608000,983,Воронежская область,8,1675831.28,2298232.65,24.12.2018,Ремонт кровли ,576.4,,3987.21833795975,-0.3713985873327295
2141583,20602000,329,Воронежская область,8,1811658.42,2453925.0,14.11.2017,Ремонт кровли ,1092.5,,2246.1556064073225,-0.3545185852419134
2222305,20647000,8054,Воронежская область,8,1276077.96,1726289.29,11.12.2017,Ремонт кровли ,407.7,,4234.214594064263,-0.35280864031222675
2222461,20647000,8069,Воронежская область,8,2312471.63,3120963.59,01.07.2017,Ремонт кровли ,788.0,,3960.6136928934006,-0.34962243407068305
2147874,20610000,1011,Воронежская область,22,1615810.58,2178045.91,30.11.2018,Ремонт кровли ,923.3,,2358.979649084805,-0.34795868832595467
2225747,20651000,9239,Воронежская область,8,481698.42,648355.11,07.11.2015,Ремонт кровли ,1184.7,,547.2736642187896,-0.3459772402824157
2223826,20649000,8209,Воронежская область,22,3417511.03,4597476.01,29.12.2017,Ремонт кровли ,2390.0,,1923.630129707113,-0.3452702770062457
2166272,20701000,9070,Воронежская область,8,353745.12,473182.26,08.04.2016,Ремонт кровли ,614.5,,770.0280878763223,-0.33763614887464743
2180064,20701000,3923,Воронежская область,8,2456774.16,3253986.52,29.06.2017,Ремонт кровли ,3034.9,,1072.1890408250683,-0.3244955816370194
2221104,20647000,9188,Воронежская область,8,193344.2,255842.72,22.12.2015,Ремонт кровли ,311.7,,820.7979467436638,-0.3232500380151046
2153363,20701000,1484,Воронежская область,8,4475004.86,5880682.22,21.11.2018,Ремонт кровли ,4218.1,,1394.1542922168746,-0.31411750466791655
2216429,20639000,7471,Воронежская область,22,2920659.37,3828160.11,29.09.2017,Ремонт кровли ,1617.1,,2367.2995547585183,-0.31071776096916076
2219271,20647000,7769,Воронежская область,22,1325248.58,1736022.54,04.09.2017,Ремонт кровли ,543.8,,3192.391577785951,-0.3099599321962676
2165801,20701000,9069,Воронежская область,8,1252475.6,1634322.42,01.04.2016,Ремонт кровли ,4485.4,,364.3649217461096,-0.304873659814211
2147634,20608000,982,Воронежская область,8,1421924.78,1855397.1,30.11.2018,Ремонт кровли ,673.9,,2753.2231785131326,-0.3048489808300549
2146300,20710000,842,Воронежская область,8,1373675.57,1792170.53,15.06.2017,Ремонт кровли ,557.0,,3217.5413464991025,-0.30465341972995846
2221198,20647000,7937,Воронежская область,8,856411.46,1115735.17,10.12.2017,Ремонт кровли ,3916.5,,284.8806766245372,-0.3028027088754744
2147658,20608000,985,Воронежская область,22,1104802.14,1423014.7,30.11.2018,Ремонт кровли ,502.5,,2831.8700497512436,-0.2880267411502299
2211924,20631000,9161,Воронежская область,8,89572.62,115362.23,29.12.2017,Ремонт кровли ,680.1,,169.6253933245111,-0.2879184509730764
2199035,20613000,5594,Воронежская область,22,3581819.2,4611884.86,30.10.2018,Ремонт кровли ,903.8,,5102.771475990264,-0.28758170149961787
2164634,20701000,9068,Воронежская область,8,1206756.5,1550000.0,20.02.2016,Ремонт кровли ,3711.2,,417.654666954085,-0.28443476376551524
2145630,20710000,772,Воронежская область,8,2190751.14,2810394.06,15.06.2017,Ремонт кровли ,1276.25,,2202.0717414299706,-0.2828449606558232
2222296,20647000,8052,Воронежская область,8,1076947.06,1378292.95,19.06.2017,Ремонт кровли ,327.7,,4205.959566676838,-0.2798149520924454
2214778,20633000,7292,Воронежская область,8,669560.58,856526.61,19.09.2017,Ремонт кровли ,268.0,,3195.9948134328356,-0.2792369138577424
