,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6500153,99701000,6790000352,Еврейская автономная область,8,3469217.56,3508946.5,,Ремонт кровли ,794.1,,4418.771565294043,-0.011451844490260203
6499757,99701000,6790000313,Еврейская автономная область,8,1522190.76,1522190.76,29.01.2018,Ремонт кровли ,3913.5,,388.95892679187426,0.0
6497750,99701000,6790000083,Еврейская автономная область,8,948752.0,948752.0,10.12.2015,Ремонт кровли ,3399.5,,279.0857479041035,0.0
6505017,99630000,6791700038,Еврейская автономная область,8,516191.0,516191.0,08.09.2017,Ремонт кровли ,298.2,,1731.0228034875922,0.0
6501197,99701000,6790000459,Еврейская автономная область,8,1123699.16,1123699.16,22.12.2015,Ремонт кровли ,1368.2,,821.2974418944598,0.0
6497805,99701000,6790000080,Еврейская автономная область,8,3810390.0,3810390.0,30.10.2018,Ремонт кровли ,4358.4,,874.2634911894274,0.0
6501309,99701000,6790000472,Еврейская автономная область,8,1061775.73,1061775.73,22.12.2015,Ремонт кровли ,1681.2,,631.5582500594813,0.0
6503796,99620000,6791000177,Еврейская автономная область,8,1049830.0,1049830.0,11.07.2018,Ремонт кровли ,1042.0,,1007.514395393474,0.0
6501389,99701000,6790000481,Еврейская автономная область,8,1004974.52,1004974.52,20.11.2015,Ремонт кровли ,960.6,,1046.1945867166355,0.0
6501246,99701000,6790000465,Еврейская автономная область,8,1727426.4,1727426.4,01.03.2018,Ремонт кровли ,3363.5,,513.5800208116545,0.0
6501266,99701000,6790000467,Еврейская автономная область,8,974048.31,974048.31,15.02.2016,Ремонт кровли ,1631.7,,596.9530612244898,0.0
6502364,99620000,6791000002,Еврейская автономная область,8,465483.0,465483.0,30.05.2017,Ремонт кровли ,319.9,,1455.0890903407317,0.0
6497099,99701000,6790000010,Еврейская автономная область,8,1516122.42,1516122.42,30.10.2018,Ремонт кровли ,1627.5,,931.5652350230414,0.0
6501334,99701000,6790000475,Еврейская автономная область,8,795206.8,795206.8,03.12.2015,Ремонт кровли ,976.1,,814.6775945087594,0.0
6504268,99625000,6792300017,Еврейская автономная область,8,989681.14,989681.14,11.01.2018,Ремонт кровли ,708.1,,1397.6573082897896,0.0
6503094,99620000,6791000096,Еврейская автономная область,8,1205490.69,1205490.69,19.10.2017,Ремонт кровли ,1829.7,,658.8460895228726,0.0
6498101,99701000,6790000140,Еврейская автономная область,8,1194002.5,1194002.5,30.10.2018,Ремонт кровли ,1884.1,,633.7256515046972,0.0
6504823,99630000,6791700007,Еврейская автономная область,8,450821.0,450821.0,13.11.2017,Ремонт кровли ,290.1,,1554.0193036883832,0.0
6505106,99630000,6791620004,Еврейская автономная область,8,304785.99,304602.3,10.12.2015,Ремонт кровли ,419.1,,726.8010021474588,0.0006026851824783756
6505633,99630000,6791500044,Еврейская автономная область,8,1074177.47,1073271.47,30.10.2017,Ремонт кровли ,639.9,,1677.2487419909362,0.0008434360478627429
6501224,99701000,6790000462,Еврейская автономная область,8,1884769.26,1874345.36,19.06.2017,Ремонт кровли ,1882.8,,995.5095389844913,0.005530597416470972
6497958,99701000,6790000105,Еврейская автономная область,8,4271852.23,4239109.5,,Ремонт кровли ,1574.9,,2691.668994856816,0.007664761849686089
6497622,99701000,6790000067,Еврейская автономная область,8,2859548.99,2780393.4,,Ремонт кровли ,1375.7,,2021.0753798066437,0.027681144920689158
6504600,99630000,6791610006,Еврейская автономная область,8,747632.0,718905.0,29.09.2017,Ремонт кровли ,371.2,,1936.705280172414,0.03842398399212447
6500729,99701000,6790000416,Еврейская автономная область,8,763807.11,729599.9,02.11.2016,Ремонт кровли ,722.8,,1009.407719977864,0.04478514215454209
6497054,99701000,6790000005,Еврейская автономная область,8,1262853.64,1197156.72,10.01.2018,Ремонт кровли ,2118.8,,565.0163866339436,0.052022592261760384
6505013,99630000,6791700037,Еврейская автономная область,8,521368.72,494173.0,14.10.2016,Ремонт кровли ,291.8,,1693.5332419465387,0.0521621627012836
6501676,99701000,6790000509,Еврейская автономная область,8,1355830.41,1281800.52,26.10.2017,Ремонт кровли ,2277.9,,562.7114974318451,0.054601142926127395
6503182,99620000,6791000107,Еврейская автономная область,8,782402.46,736252.57,27.01.2017,Ремонт кровли ,458.4,,1606.1356239092495,0.0589848477725901
6503049,99620000,6791000091,Еврейская автономная область,8,1417362.08,1333685.0,,Ремонт кровли ,297.7,,4479.963050050386,0.0590371939398859
6505011,99630000,6791700036,Еврейская автономная область,8,521368.72,486124.0,11.10.2016,Ремонт кровли ,291.1,,1669.955341806939,0.06760037311022413
6497833,99701000,6790000088,Еврейская автономная область,8,969993.7,901291.0,11.05.2016,Ремонт кровли ,1102.5,,817.4975056689342,0.07082798579001076
6501002,99701000,6790000447,Еврейская автономная область,8,1468994.21,1360728.0,02.11.2016,Ремонт кровли ,1939.1,,701.7317312155124,0.07370090995797728
6502839,99620000,6791000066,Еврейская автономная область,8,887144.0,811568.0,10.11.2015,Ремонт кровли ,788.9,,1028.7336798073268,0.08519022841838529
6501034,99701000,6790000514,Еврейская автономная область,8,982176.36,897598.91,31.01.2017,Ремонт кровли ,887.6,,1011.2651081568274,0.08611228435593782
6504347,99625000,6792300026,Еврейская автономная область,8,449800.0,397059.76,27.01.2016,Ремонт кровли ,350.2,,1133.8085665334095,0.11725264562027565
6501162,99701000,6790000455,Еврейская автономная область,8,1247131.05,1097740.95,28.10.2016,Ремонт кровли ,2029.5,,540.8923133776792,0.11978701035468572
6498206,99701000,6790000139,Еврейская автономная область,8,2800094.57,2458194.28,,Ремонт кровли ,1752.4,,1402.7586624058433,0.12210312239561254
6501563,99701000,6790000498,Еврейская автономная область,8,8310580.55,7281861.63,,Ремонт кровли ,7494.9,,971.5755553776569,0.12378424272658063
6502983,99620000,6791000084,Еврейская автономная область,8,2605303.12,2271230.0,,Ремонт кровли ,1201.1,,1890.958288235784,0.12822811957481559
6497606,99701000,6790000065,Еврейская автономная область,8,2547674.05,2208852.98,,Ремонт кровли ,908.0,,2432.6574669603524,0.13299231508834494
6503553,99620000,6791000183,Еврейская автономная область,8,622454.0,538201.0,10.11.2015,Ремонт кровли ,414.9,,1297.182453603278,0.13535618696321336
6497933,99701000,6790000112,Еврейская автономная область,8,5480237.24,4679342.8,,Ремонт кровли ,4103.7,,1140.2740941101933,0.1461422936500465
6498320,99701000,6790000156,Еврейская автономная область,8,2041412.8,1731593.41,22.03.2017,Ремонт кровли ,4026.4,,430.05995678521754,0.15176714381334344
6503187,99620000,6791000108,Еврейская автономная область,8,833568.81,697404.68,27.01.2017,Ремонт кровли ,471.5,,1479.1191516436904,0.1633507976384097
6502324,99610000,6793700021,Еврейская автономная область,8,1598074.7,1285330.52,09.12.2016,Ремонт кровли ,2346.7,,547.7182937742363,0.1957006014800184
6501049,99701000,6790000516,Еврейская автономная область,8,982176.36,781649.0,23.03.2017,Ремонт кровли ,885.1,,883.1194215342899,0.20416634747755483
6503180,99620000,6791000106,Еврейская автономная область,8,1370563.06,1087036.52,21.02.2017,Ремонт кровли ,750.8,,1447.8376664890784,0.20686865732394685
6501084,99701000,6790000520,Еврейская автономная область,8,1211692.0,944702.18,17.12.2015,Ремонт кровли ,2859.9,,330.3269974474632,0.22034462553190082
6498161,99701000,6790000134,Еврейская автономная область,8,598926.0,449108.0,10.03.2016,Ремонт кровли ,429.2,,1046.3839701770737,0.25014442518775276
6499754,99701000,6790000312,Еврейская автономная область,8,1366506.24,977396.02,25.11.2016,Ремонт кровли ,2672.0,,365.7919236526946,0.2847482203959786
6503962,99620000,6791000200,Еврейская автономная область,8,1011773.2,713246.0,10.11.2015,Ремонт кровли ,634.9,,1123.3989604662152,0.295053476411512
6496623,99605000,6795100019,Еврейская автономная область,8,817826.81,568210.08,26.10.2016,Ремонт кровли ,367.1,,1547.8345954780712,0.30521954886756536
6505111,99630000,6791800018,Еврейская автономная область,8,684388.0,448143.0,10.12.2015,Ремонт кровли ,486.0,,922.104938271605,0.3451916164514866
6505108,99630000,6791800001,Еврейская автономная область,8,684388.0,448142.0,10.12.2015,Ремонт кровли ,462.9,,968.1183841002377,0.34519307761094586
6499702,99701000,6790000307,Еврейская автономная область,8,2511731.64,1593333.61,11.11.2016,Ремонт кровли ,3952.5,,403.12045793801394,0.36564337342981434
6498185,99701000,6790000137,Еврейская автономная область,8,997518.0,542902.88,17.03.2016,Ремонт кровли ,711.1,,763.4691042047532,0.4557462822726006
6505927,99630000,6791500081,Еврейская автономная область,8,1114639.0,593743.76,31.03.2016,Ремонт кровли ,778.4,,762.7746145940391,0.4673219221649341
6505369,99630000,6791500001,Еврейская автономная область,8,713971.0,379624.37,03.12.2015,Ремонт кровли ,485.7,,781.602573605106,0.4682916112839317
6496628,99605000,6795100017,Еврейская автономная область,8,756010.0,394077.0,23.11.2015,Ремонт кровли ,595.1,,662.2029910939337,0.4787410219441542
6502662,99620000,6791000042,Еврейская автономная область,8,1498180.0,771394.0,10.11.2015,Ремонт кровли ,896.2,,860.738674403035,0.4851126032919943
6505008,99630000,6791700034,Еврейская автономная область,8,729195.0,346626.56,03.12.2015,Ремонт кровли ,501.8,,690.7663611000398,0.5246449029409143
6496293,99605000,6795200004,Еврейская автономная область,8,1895240.02,698850.0,30.08.2019,Ремонт кровли ,403.9,,1730.2550136172322,0.6312604247350159
6496292,99605000,6795200004,Еврейская автономная область,78,340696.8,20770.0,,Ремонт кровли ,403.9,,51.42361970784848,0.9390367036027342
6503006,99620000,6791000080,Еврейская автономная область,78,859407.68,0.0,,Ремонт кровли ,1295.9,,0.0,1.0
6503005,99620000,6791000080,Еврейская автономная область,8,3237136.71,0.0,,Ремонт кровли ,1295.9,,0.0,1.0
6502769,99620000,6791000057,Еврейская автономная область,8,4948798.17,0.0,,Ремонт кровли ,1651.5,,0.0,1.0
6502996,99620000,6791000079,Еврейская автономная область,78,1198779.55,0.0,,Ремонт кровли ,1473.5,,0.0,1.0
6502988,99620000,6791000085,Еврейская автономная область,78,785779.31,0.0,,Ремонт кровли ,1207.6,,0.0,1.0
6502987,99620000,6791000085,Еврейская автономная область,8,2570099.84,0.0,,Ремонт кровли ,1207.6,,0.0,1.0
6502705,99620000,6791000048,Еврейская автономная область,8,3475788.84,0.0,,Ремонт кровли ,877.2,,0.0,1.0
6502979,99620000,6791000084,Еврейская автономная область,78,788713.09,0.0,,Ремонт кровли ,1201.1,,0.0,1.0
6502712,99620000,6791000049,Еврейская автономная область,78,716693.57,0.0,,Ремонт кровли ,834.7,,0.0,1.0
6502972,99620000,6791000083,Еврейская автономная область,8,2671276.66,0.0,,Ремонт кровли ,1192.4,,0.0,1.0
6502997,99620000,6791000079,Еврейская автономная область,8,2906278.08,0.0,,Ремонт кровли ,1473.5,,0.0,1.0
6503013,99620000,6791000081,Еврейская автономная область,8,3213772.17,0.0,,Ремонт кровли ,1304.3,,0.0,1.0
6503044,99620000,6791000087,Еврейская автономная область,78,786725.69,0.0,,Ремонт кровли ,1027.7,,0.0,1.0
6503021,99620000,6791000082,Еврейская автономная область,8,3040989.28,0.0,,Ремонт кровли ,1723.2,,0.0,1.0
6503134,99620000,6791000101,Еврейская автономная область,78,832530.49,0.0,,Ремонт кровли ,1391.2,,0.0,1.0
6503132,99620000,6791000101,Еврейская автономная область,8,2953320.08,0.0,,Ремонт кровли ,1391.2,,0.0,1.0
6503128,99620000,6791000100,Еврейская автономная область,78,818240.15,0.0,,Ремонт кровли ,1271.3,,0.0,1.0
6503127,99620000,6791000100,Еврейская автономная область,8,2872795.85,0.0,,Ремонт кровли ,1271.3,,0.0,1.0
6503115,99620000,6791000099,Еврейская автономная область,78,1046980.19,0.0,,Ремонт кровли ,1656.6,,0.0,1.0
6503114,99620000,6791000099,Еврейская автономная область,8,3061120.34,0.0,,Ремонт кровли ,1656.6,,0.0,1.0
6503110,99620000,6791000098,Еврейская автономная область,78,388772.9,0.0,,Ремонт кровли ,460.8,,0.0,1.0
6502699,99620000,6791000047,Еврейская автономная область,78,650446.97,0.0,,Ремонт кровли ,720.6,,0.0,1.0
6503109,99620000,6791000098,Еврейская автономная область,8,2179995.4,0.0,,Ремонт кровли ,460.8,,0.0,1.0
6503098,99620000,6791000097,Еврейская автономная область,8,3120105.38,0.0,,Ремонт кровли ,1857.3,,0.0,1.0
