,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6404571,27603000,612901,Калининградская область,8,0.0,0.0,,Ремонт кровли ,110.0,,0.0,
6461601,27621000,629294,Калининградская область,8,0.0,0.0,,Ремонт кровли ,869.2,,0.0,
6461605,27621000,629295,Калининградская область,8,0.0,0.0,,Ремонт кровли ,851.4,,0.0,
6461608,27621000,629296,Калининградская область,8,0.0,0.0,,Ремонт кровли ,1076.1,,0.0,
6461611,27621000,629300,Калининградская область,8,0.0,0.0,,Ремонт кровли ,329.5,,0.0,
6461617,27621000,629301,Калининградская область,8,0.0,0.0,,Ремонт кровли ,392.7,,0.0,
6461622,27621000,629302,Калининградская область,8,0.0,0.0,,Ремонт кровли ,338.6,,0.0,
6461626,27621000,629303,Калининградская область,8,0.0,0.0,,Ремонт кровли ,353.6,,0.0,
6461629,27621000,629304,Калининградская область,8,0.0,0.0,,Ремонт кровли ,340.1,,0.0,
6461637,27621000,629305,Калининградская область,8,0.0,0.0,,Ремонт кровли ,377.7,,0.0,
6461642,27621000,629306,Калининградская область,8,0.0,0.0,,Ремонт кровли ,344.5,,0.0,
6461645,27621000,629307,Калининградская область,8,0.0,0.0,,Ремонт кровли ,375.9,,0.0,
6461650,27621000,629299,Калининградская область,8,0.0,0.0,,Ремонт кровли ,137.6,,0.0,
6461655,27621000,629316,Калининградская область,8,0.0,0.0,,Ремонт кровли ,120.6,,0.0,
6461659,27621000,629395,Калининградская область,8,0.0,0.0,,Ремонт кровли ,968.2,,0.0,
6461666,27621000,629399,Калининградская область,8,0.0,0.0,,Ремонт кровли ,234.3,,0.0,
6461674,27621000,629400,Калининградская область,8,0.0,0.0,,Ремонт кровли ,968.2,,0.0,
6461677,27621000,617037,Калининградская область,8,0.0,0.0,,Ремонт кровли ,179.4,,0.0,
6461689,27621000,629403,Калининградская область,8,0.0,0.0,,Ремонт кровли ,378.5,,0.0,
6461690,27621000,629404,Калининградская область,8,0.0,0.0,,Ремонт кровли ,135.7,,0.0,
6461698,27621000,629396,Калининградская область,8,0.0,0.0,,Ремонт кровли ,3651.9,,0.0,
6461704,27621000,629405,Калининградская область,8,0.0,0.0,,Ремонт кровли ,356.1,,0.0,
6461714,27621000,617036,Калининградская область,8,0.0,0.0,,Ремонт кровли ,784.2,,0.0,
6461715,27621000,629397,Калининградская область,8,0.0,0.0,,Ремонт кровли ,192.2,,0.0,
6461594,27621000,629293,Калининградская область,8,0.0,0.0,,Ремонт кровли ,1089.8,,0.0,
6461592,27621000,629298,Калининградская область,8,0.0,0.0,,Ремонт кровли ,851.4,,0.0,
6461588,27621000,629297,Калининградская область,8,0.0,0.0,,Ремонт кровли ,872.5,,0.0,
6461582,27621000,629292,Калининградская область,8,0.0,0.0,,Ремонт кровли ,1080.8,,0.0,
6461463,27621000,617019,Калининградская область,8,0.0,0.0,,Ремонт кровли ,1101.5,,0.0,
6461468,27621000,617020,Калининградская область,8,0.0,0.0,,Ремонт кровли ,236.2,,0.0,
6461471,27621000,629288,Калининградская область,8,0.0,0.0,,Ремонт кровли ,4081.1,,0.0,
6461478,27621000,629289,Калининградская область,8,0.0,0.0,,Ремонт кровли ,3457.5,,0.0,
6461484,27621000,617021,Калининградская область,8,0.0,0.0,,Ремонт кровли ,1037.8,,0.0,
6461485,27621000,617023,Калининградская область,8,0.0,0.0,,Ремонт кровли ,279.8,,0.0,
6461493,27621000,617024,Калининградская область,8,0.0,0.0,,Ремонт кровли ,469.2,,0.0,
6461498,27621000,617025,Калининградская область,8,0.0,0.0,,Ремонт кровли ,283.2,,0.0,
6461500,27621000,616996,Калининградская область,8,0.0,0.0,,Ремонт кровли ,6044.8,,0.0,
6461505,27621000,616997,Калининградская область,8,0.0,0.0,,Ремонт кровли ,3603.9,,0.0,
6461509,27621000,616998,Калининградская область,8,0.0,0.0,,Ремонт кровли ,2154.0,,0.0,
6461734,27621000,629314,Калининградская область,8,0.0,0.0,,Ремонт кровли ,187.6,,0.0,
6461519,27621000,617000,Калининградская область,8,0.0,0.0,,Ремонт кровли ,5562.3,,0.0,
6461528,27621000,629291,Калининградская область,8,0.0,0.0,,Ремонт кровли ,276.3,,0.0,
6461533,27621000,617030,Калининградская область,8,0.0,0.0,,Ремонт кровли ,294.3,,0.0,
6461536,27621000,617031,Калининградская область,8,0.0,0.0,,Ремонт кровли ,294.3,,0.0,
6461542,27621000,617032,Калининградская область,8,0.0,0.0,,Ремонт кровли ,293.2,,0.0,
6461549,27621000,617033,Калининградская область,8,0.0,0.0,,Ремонт кровли ,294.3,,0.0,
6461550,27621000,617026,Калининградская область,8,0.0,0.0,,Ремонт кровли ,597.7,,0.0,
6461556,27621000,617027,Калининградская область,8,0.0,0.0,,Ремонт кровли ,249.3,,0.0,
6461561,27621000,617034,Калининградская область,8,0.0,0.0,,Ремонт кровли ,289.3,,0.0,
6461570,27621000,617035,Калининградская область,8,0.0,0.0,,Ремонт кровли ,294.3,,0.0,
6461571,27621000,617028,Калининградская область,8,0.0,0.0,,Ремонт кровли ,641.0,,0.0,
6461580,27621000,617029,Калининградская область,8,0.0,0.0,,Ремонт кровли ,659.4,,0.0,
6461524,27621000,629290,Калининградская область,8,0.0,0.0,,Ремонт кровли ,392.4,,0.0,
6461738,27621000,629309,Калининградская область,8,0.0,0.0,,Ремонт кровли ,222.5,,0.0,
6461749,27621000,629311,Калининградская область,8,0.0,0.0,,Ремонт кровли ,268.6,,0.0,
6461759,27621000,629313,Калининградская область,8,0.0,0.0,,Ремонт кровли ,236.5,,0.0,
6461928,27621000,617065,Калининградская область,8,0.0,0.0,,Ремонт кровли ,1347.7,,0.0,
