,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5055287,37701000,45010000215,Курганская область,8,593400.0,772345.0,,Ремонт кровли ,266.2,"10,12887",2901.3711495116454,-0.3015588136164476
5076477,37705000,45020000449,Курганская область,8,2343112.42,2981040.0,21.09.2018,Ремонт кровли ,4095.7,"2493,63897",727.8462778035502,-0.2722564971935918
5055299,37701000,45010000216,Курганская область,8,593400.0,714909.0,,Ремонт кровли ,268.1,"10,06057",2666.5759045132413,-0.2047674418604651
5079916,37642000,45240100047,Курганская область,8,588267.0,668103.7,04.07.2017,Ремонт кровли ,273.0,"625,48049",2447.2663003663,-0.1357150749574597
5062335,37701000,45010000363,Курганская область,8,1943753.43,2205249.3,22.12.2017,Ремонт кровли ,3640.5,"4355,64943",605.7545117428924,-0.13453139990086083
5075367,37705000,45020000327,Курганская область,8,432689.0,472771.0,09.09.2016,Ремонт кровли ,386.6,"478,06400",1222.8944645628555,-0.09263466369609581
5072008,37705000,45020000004,Курганская область,8,3679500.0,3981278.0,,Ремонт кровли ,3394.9,"27,46373",1172.7232024507348,-0.08201603478733524
5074560,37705000,45020000230,Курганская область,8,294233.0,317000.0,13.07.2016,Ремонт кровли ,297.2,"329,80200",1066.6218034993271,-0.07737745256310476
5038089,37604000,45040100006,Курганская область,8,438782.0,471859.0,25.08.2016,Ремонт кровли ,402.3,"487,40500",1172.9033059905544,-0.07538367572051725
5058337,37701000,45010000318,Курганская область,8,2896677.0,3113801.0,23.07.2019,Ремонт кровли ,5559.3,"6206,06531",560.1066681056967,-0.07495623433334127
5041610,37610000,45080500002,Курганская область,8,1152208.91,1230970.83,09.10.2017,Ремонт кровли ,753.1,"1219,03079",1634.538348160935,-0.06835732592972238
5075890,37705000,45020000382,Курганская область,8,1427839.0,1523484.0,08.12.2016,Ремонт кровли ,4447.6,"3701,43100",342.5406961057649,-0.06698584364203528
5072599,37705000,45020000048,Курганская область,8,745516.27,793697.34,28.09.2017,Ремонт кровли ,565.8,"818,32845",1402.7878048780487,-0.06462779142298256
5056969,37701000,45010000220,Курганская область,8,1336987.0,1414742.0,28.10.2016,Ремонт кровли ,1515.0,"1441,02500",933.823102310231,-0.058156885594250356
5075619,37705000,45020000355,Курганская область,8,261276.0,276000.0,13.07.2016,Ремонт кровли ,331.2,"298,84900",833.3333333333334,-0.056354200156156706
5056804,37701000,45010000304,Курганская область,8,1806871.9,1905603.38,27.12.2017,Ремонт кровли ,2463.1,"3424,89559",773.6605821931712,-0.054642213429740086
5056911,37701000,45010001731,Курганская область,8,2290460.0,2411520.0,06.07.2017,Ремонт кровли ,2900.2,"3784,91000",831.5012757740845,-0.05285401185788008
5060054,37701000,45010000496,Курганская область,8,3612602.0,3786427.0,07.08.2019,Ремонт кровли ,3164.8,"5927,00636",1196.419047017189,-0.04811628848126641
5062845,37701000,45010000459,Курганская область,8,3630875.0,3784068.0,14.08.2019,Ремонт кровли ,3554.9,"7956,68640",1064.4653858055078,-0.0421917581850105
5071217,37632000,45190100001,Курганская область,8,340466.76,352903.15,25.11.2016,Ремонт кровли ,319.5,"375,15276",1104.5482003129891,-0.03652747187420004
5061106,37701000,45010000278,Курганская область,8,1150423.47,1192359.48,24.08.2017,Ремонт кровли ,1251.1,"1268,64947",953.0489009671489,-0.03645267251023661
5058664,37701000,45010000189,Курганская область,8,2050417.0,2116788.0,16.11.2016,Ремонт кровли ,1434.5,"2186,97700",1475.6277448588357,-0.03236951312830512
5062668,37701000,45010000244,Курганская область,8,2202901.0,2274057.0,26.05.2017,Ремонт кровли ,2482.5,"3682,57200",916.0350453172206,-0.03230104303370873
5071357,37634000,45200100016,Курганская область,8,617221.0,637017.0,21.04.2017,Ремонт кровли ,373.0,"663,02200",1707.8203753351206,-0.03207279078320407
5061565,37701000,45010000111,Курганская область,8,469084.0,484000.0,04.08.2016,Ремонт кровли ,406.0,"517,56700",1192.1182266009853,-0.03179814276334303
5044866,37614000,45100600005,Курганская область,8,395522.64,407563.0,08.07.2016,Ремонт кровли ,360.9,"433,74364",1129.296203934608,-0.03044164551490652
5067437,37616000,45110100013,Курганская область,8,422265.83,434932.0,26.09.2016,Ремонт кровли ,375.3,"467,87483",1158.8915534239275,-0.02999572567830076
5043241,37612000,45090100047,Курганская область,8,975695.0,1004820.0,26.08.2016,Ремонт кровли ,996.4,"1063,71200",1008.4504215174629,-0.02985051681109363
5061639,37701000,45010000114,Курганская область,8,420960.0,433000.0,04.08.2016,Ремонт кровли ,362.1,"464,83000",1195.8022645677988,-0.028601292284302547
5058771,37701000,45010000449,Курганская область,8,3523592.0,3624112.0,30.08.2019,Ремонт кровли ,3634.9,"2659,06470",997.0321054224326,-0.028527706953585998
5061587,37701000,45010000113,Курганская область,8,458567.0,471000.0,07.07.2016,Ремонт кровли ,396.5,"506,05200",1187.8940731399748,-0.027112722895454754
