,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3149086,41636000,41636000149851,Ленинградская область,8,255.0,4117017.07,,Ремонт кровли ,3160.7,"513,00692",1302.564960293606,-16144.164980392155
3149085,41636000,41636000149851,Ленинградская область,8,255.0,256503.46,16.07.2018,Ремонт кровли ,3160.7,"513,00692",81.15400385990445,-1004.8959215686274
3151792,41639000,41639000234614,Ленинградская область,8,1747158.0,7756690.47,27.10.2017,Ремонт кровли ,4773.41,"7293,80635",1624.9788872106105,-3.439604471948158
3090541,41615000,41615000205178,Ленинградская область,8,2151800.0,9524566.58,20.11.2018,Ремонт кровли ,2011.54,"40151,96918",4734.962556051582,-3.4263252068036065
3091794,41615000,41615000351024,Ленинградская область,8,2581000.0,10858970.27,21.02.2019,Ремонт кровли ,134.92,"32763,57045",80484.51134005337,-3.207272479659047
3091952,41615000,41615000160920,Ленинградская область,8,5750250.0,22355383.39,,Ремонт кровли ,5898.98,"40653,23744",3789.7032012314,-2.8877237320116516
3140695,41630000,41630000350722,Ленинградская область,8,484245.0,1803491.75,,Ремонт кровли ,563.6,"2114,25839",3199.9498757984384,-2.7243373705459013
3140643,41630000,41630000350723,Ленинградская область,8,484245.0,1803491.75,,Ремонт кровли ,563.3,"2175,30819",3201.6540919581043,-2.7243373705459013
3139567,41630000,41630000351566,Ленинградская область,8,1335160.0,4870226.54,23.06.2017,Ремонт кровли ,622.6,"3541,79281",7822.400481850305,-2.647672593546841
3068950,41609000,41609000352469,Ленинградская область,8,1606245.0,5752918.45,31.12.2015,Ремонт кровли ,993.42,"5949,06567",5791.023383865838,-2.581594619749789
3091909,41615000,41615000132107,Ленинградская область,8,4845000.0,14952500.95,,Ремонт кровли ,5516.04,"67494,06987",2710.73105887557,-2.086171506707946
3091890,41615000,41615000132090,Ленинградская область,8,2888400.0,8670804.5,07.09.2018,Ремонт кровли ,1484.87,"30035,48222",5839.436785711881,-2.001940347597286
3112349,41618000,41618000319087,Ленинградская область,8,522000.0,1561338.81,13.07.2018,Ремонт кровли ,389.7,"1561,33881",4006.514780600462,-1.9910705172413794
3118370,41618000,4161800086684,Ленинградская область,8,1247000.0,3656346.0,,Ремонт кровли ,526.6,"846,88052",6943.308013672617,-1.9321138732959102
3129509,41625000,41625000351590,Ленинградская область,8,1200600.0,3383938.84,03.09.2018,Ремонт кровли ,716.18,"5603,52086",4724.983719176744,-1.8185397634516074
3094802,41615000,41615000202792,Ленинградская область,8,4016600.0,10912062.73,,Ремонт кровли ,2559.76,"9234,42500",4262.924153045597,-1.7167412064930538
3140282,41630000,41630000349525,Ленинградская область,8,721620.0,1954769.23,29.12.2017,Ремонт кровли ,328.6,"6909,02723",5948.780371272062,-1.7088623236606524
3125690,41624000,41624000224647,Ленинградская область,8,1899750.0,5022422.4,,Ремонт кровли ,2532.0,"241,69253",1983.5791469194314,-1.643728069482827
3116670,41618000,41618000168170,Ленинградская область,8,400809.0,1044408.3,,Ремонт кровли ,305.53,"696,74195",3418.3494255883224,-1.6057506193723197
3124687,41624000,41624000225295,Ленинградская область,8,2330700.0,6038539.2,,Ремонт кровли ,3282.0,"319,94393",1839.8961608775137,-1.5908693525550264
3059109,41603000,41603000209108,Ленинградская область,8,2218500.0,5500398.61,,Ремонт кровли ,2131.84,"815,51190",2580.1179309891922,-1.4793322560288484
3125313,41624000,41624000225532,Ленинградская область,8,2044500.0,5058912.0,,Ремонт кровли ,2081.08,"1010,60838",2430.9070290426125,-1.4744005869405723
3147806,41633000,41633000208042,Ленинградская область,8,1073000.0,2522780.99,,Ремонт кровли ,447.1,"396,42508",5642.543032878551,-1.3511472413793106
3138898,41630000,41630000349829,Ленинградская область,8,1305000.0,3061158.51,09.01.2018,Ремонт кровли ,869.7,"3061,15851",3519.786719558468,-1.3457153333333332
3167144,41645000,41645000142053,Ленинградская область,8,777200.0,1795298.4,,Ремонт кровли ,342.5,"242,88707",5241.747153284671,-1.3099567678847142
3129277,41625000,41625000298718,Ленинградская область,8,640900.0,1476477.0,13.04.2016,Ремонт кровли ,1368.4,"2554,47631",1078.9805612394036,-1.3037556561085972
3064392,41606000,41606000118680,Ленинградская область,8,1912500.0,4363456.28,,Ремонт кровли ,2329.25,"184,94322",1873.3310207148224,-1.2815457673202615
3090517,41615000,41615000205176,Ленинградская область,8,11020000.0,24955504.81,11.12.2018,Ремонт кровли ,7064.24,"81549,52493",3532.652459429464,-1.2645648647912884
3064068,41606000,41606000119992,Ленинградская область,8,1247000.0,2759994.28,,Ремонт кровли ,679.38,"100,31309",4062.5191792516703,-1.213307361668003
3072881,41609000,41609000349549,Ленинградская область,8,1439850.0,3147200.02,15.11.2017,Ремонт кровли ,719.15,"3444,94100",4376.2775776958915,-1.1857832552001946
3148695,41636000,41636000344731,Ленинградская область,8,841000.0,1829084.4,,Ремонт кровли ,219.4,"741,20499",8336.756608933454,-1.1748922711058263
3058335,41603000,41603000353411,Ленинградская область,8,3047900.0,6608361.08,10.10.2018,Ремонт кровли ,2818.81,"15443,63298",2344.379748901132,-1.1681686013320647
3140158,41630000,41630000349522,Ленинградская область,8,683820.0,1480959.83,,Ремонт кровли ,330.3,"0,00000",4483.680986981532,-1.1657158755227985
3059324,41603000,41603000204366,Ленинградская область,8,2626500.0,5628898.15,,Ремонт кровли ,3848.32,"894,00853",1462.689732142857,-1.1431175138016374
3145026,41633000,41633000165673,Ленинградская область,8,1548600.0,3292354.45,17.08.2018,Ремонт кровли ,644.1,"12984,59053",5111.5579102623815,-1.1260199212191657
3156235,41639000,41639000216207,Ленинградская область,8,1394900.0,2937498.94,27.10.2017,Ремонт кровли ,651.43,"3030,58487",4509.3086594108345,-1.105884966664277
3133227,41625000,41625000110300,Ленинградская область,8,1009200.0,2119299.86,,Ремонт кровли ,502.52,"1645,25862",4217.34430470429,-1.09998004359889
3066827,41609000,41609000329031,Ленинградская область,8,1893700.0,3969365.93,25.10.2017,Ремонт кровли ,1514.51,"3969,36593",2620.891199133713,-1.0960901568358241
3064612,41606000,41606000131694,Ленинградская область,8,1160000.0,2373167.74,,Ремонт кровли ,448.72,"428,90964",5288.749643430202,-1.04583425862069
3124158,41624000,41624000224698,Ленинградская область,8,2422500.0,4950495.6,,Ремонт кровли ,3133.0,"325,76783",1580.1135014363228,-1.0435482352941174
3059070,41603000,41603000209105,Ленинградская область,8,3622100.0,7316994.38,,Ремонт кровли ,2260.35,"1095,60102",3237.1068108921186,-1.020097286104746
3064599,41606000,41606000350455,Ленинградская область,8,1160000.0,2340542.63,,Ремонт кровли ,443.5,"549,26072",5277.435467869222,-1.0177091637931033
