,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1692417,49701000,5100,Новгородская область,8,197377.0,197377.0,20.11.2015,Ремонт кровли ,3324.0,"0,00000",59.37936221419976,0.0
1689247,49701000,4688,Новгородская область,8,399820.03,399820.03,31.10.2018,Ремонт кровли ,6453.5,"7345,39000",61.953983109940346,0.0
1691355,49701000,4946,Новгородская область,8,,806714.71,12.12.2016,Ремонт кровли ,6804.8,"806,71471",118.55083323536327,
1691610,49701000,5007,Новгородская область,8,212626.56,192426.98,18.08.2016,Ремонт кровли ,1517.6,"192,43000",126.79690300474435,0.09500026713501826
1694862,49701000,5424,Новгородская область,8,574270.13,574270.13,16.07.2018,Ремонт кровли ,4398.8,"175,93000",130.55154360280076,0.0
1707559,49639000,3346,Новгородская область,8,1446480.0,556764.0,29.07.2019,Ремонт кровли ,3698.6,"0,00000",150.53371545990376,0.6150904264144682
1678161,49606000,378,Новгородская область,8,1456308.79,1150000.0,25.07.2016,Ремонт кровли ,7152.9,"1150,00000",160.77395182373584,0.21033230871318165
1709135,49639000,3523,Новгородская область,8,1174813.0,474856.0,27.08.2018,Ремонт кровли ,2928.2,"0,00000",162.16651868041802,0.5958029065051204
1699781,49625000,1946,Новгородская область,8,1017016.0,1017016.0,08.12.2014,Ремонт кровли ,6077.5,"1017,02000",167.34117647058824,0.0
1707635,49639000,3541,Новгородская область,8,1537696.0,581447.0,09.08.2018,Ремонт кровли ,3409.0,"0,00000",170.56233499559988,0.6218712931554742
1694825,49701000,5416,Новгородская область,8,2216380.0,2216380.0,22.06.2015,Ремонт кровли ,12118.7,"0,00000",182.8892537978496,0.0
1689975,49701000,4751,Новгородская область,8,1728422.0,1717748.0,14.09.2017,Ремонт кровли ,9341.8,"1717,48000",183.87762529705196,0.006175575177821157
1691531,49701000,4987,Новгородская область,8,492488.25,452316.13,01.06.2016,Ремонт кровли ,2450.1,"1834,63000",184.61129341659526,0.08156970242437254
1692568,49701000,5130,Новгородская область,8,1754107.76,1416436.0,15.04.2016,Ремонт кровли ,7182.7,"5149,92000",197.20105252899327,0.1925034297778832
1708777,49639000,3497,Новгородская область,8,1466325.0,571140.0,09.06.2017,Ремонт кровли ,2842.9,"571,14000",200.9004889373527,0.6104956268221574
1712528,49650000,3955,Новгородская область,8,1363746.36,1363746.36,07.08.2015,Ремонт кровли ,6733.48,"1363,75000",202.53217652684796,0.0
1692668,49701000,5142,Новгородская область,8,1274830.31,1141700.0,28.04.2016,Ремонт кровли ,5603.1,"6023,33000",203.7622030661598,0.10442982799804944
1689248,49701000,4688,Новгородская область,8,1401870.68,1376759.48,26.09.2016,Ремонт кровли ,6453.5,"7345,39000",213.33531881924537,0.01791263656359512
1686666,49701000,4383,Новгородская область,8,1890000.0,1365741.44,15.11.2017,Ремонт кровли ,6190.4,"1502,32000",220.62248643060224,0.2773854814814815
1707763,49639000,3418,Новгородская область,8,743382.0,743382.0,24.07.2015,Ремонт кровли ,3350.6,"743,38200",221.86533755148332,0.0
1678732,49606000,486,Новгородская область,8,1203838.36,1035180.0,21.10.2016,Ремонт кровли ,4553.35,"1035,18000",227.34470225218794,0.14010050319380093
1695114,49701000,5608,Новгородская область,8,803667.6,411000.0,30.06.2019,Ремонт кровли ,1782.5,"0,00000",230.5750350631136,0.4885945383389849
