,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
339591,57701000,10008773,Пермский край,24,4316.95,1689494.5,,Ремонт кровли ,1705.0,,990.9058651026393,-390.3629993398117
339950,57701000,10010586,Пермский край,24,3023.77,1001473.48,,Ремонт кровли ,2880.0,,347.7338472222222,-330.2002830903144
341109,57646000,10001877,Пермский край,8,20978.19,1640072.8,08.12.2015,Ремонт кровли ,1629.0,,1006.797298956415,-77.1799001725125
341113,57646000,10001877,Пермский край,8,20978.19,1524096.0,,Ремонт кровли ,1629.0,,935.6022099447514,-71.65145372408202
339513,57701000,10015174,Пермский край,8,313741.62,2790093.92,29.06.2018,Ремонт кровли ,3110.0,,897.136308681672,-7.892967149210232
341214,57651000,10003184,Пермский край,8,946019.05,2258066.46,16.01.2019,Ремонт кровли ,734.0,,3076.3848228882835,-1.3869143649908529
338832,57722000,10015397,Пермский край,8,334372.78,548255.39,,Ремонт кровли ,276.0,,1986.432572463768,-0.6396531739216331
340281,57730000,10002089,Пермский край,8,1294063.54,1894563.34,31.01.2017,Ремонт кровли ,1883.0,,1006.1409134360064,-0.46404197432221916
340873,57640000,10007591,Пермский край,8,389361.89,490568.4,30.12.2016,Ремонт кровли ,382.0,,1284.2104712041885,-0.2599291625587702
340889,57640000,10006618,Пермский край,8,540000.0,668653.81,,Ремонт кровли ,322.0,,2076.5646273291927,-0.2382477962962964
339381,57701000,10008767,Пермский край,8,3556601.07,4106469.4,30.05.2019,Ремонт кровли ,2538.0,,1617.9942474389281,-0.15460500606552427
340116,57701000,10008688,Пермский край,8,8301904.65,9414824.08,18.05.2018,Ремонт кровли ,13112.0,,718.0311226357535,-0.13405591571086037
339182,57701000,10008020,Пермский край,8,4785549.12,5050226.12,13.06.2018,Ремонт кровли ,5169.0,,977.0218843103115,-0.055307550578438114
340374,57615000,10007535,Пермский край,8,2043718.9,2103211.39,05.06.2018,Ремонт кровли ,1366.0,,1539.6862298682286,-0.029109918198633004
