,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2033482,3645000,48401531,Краснодарский край,10,832006.0,0.0,22.06.2018,Ремонт фасада,6336.64,"0,00000",0.0,1.0
2009085,3619000,99993032,Краснодарский край,10,,0.0,,Ремонт фасада,451.0,"0,00000",0.0,
2008976,3619000,99993009,Краснодарский край,10,,0.0,,Ремонт фасада,1488.0,"0,00000",0.0,
2024213,3634000,99994685,Краснодарский край,10,426870.0,0.0,,Ремонт фасада,542.0,"0,00000",0.0,1.0
1999553,3613000,99991576,Краснодарский край,10,180339.0,0.0,,Ремонт фасада,400.0,"0,00000",0.0,1.0
1997912,3613000,99994173,Краснодарский край,10,1141782.0,0.0,,Ремонт фасада,3060.0,"0,00000",0.0,1.0
1999673,3613000,48401330,Краснодарский край,10,308057.0,0.0,,Ремонт фасада,387.8,"0,00000",0.0,1.0
1986677,3726000,99995510,Краснодарский край,10,,0.0,,Ремонт фасада,5616.0,"0,00000",0.0,
2024863,3634000,99994793,Краснодарский край,10,525555.0,0.0,,Ремонт фасада,730.7,"0,00000",0.0,1.0
2008975,3619000,78919144,Краснодарский край,10,,0.0,,Ремонт фасада,1488.0,"0,00000",0.0,
2033552,3645000,737630226,Краснодарский край,10,913689.3,0.0,12.04.2018,Ремонт фасада,3621.5,"0,00000",0.0,1.0
2033485,3645000,78918865,Краснодарский край,10,133045.0,132000.6,11.01.2019,Ремонт фасада,4058.0,"0,00000",32.52848693937901,0.007849975572174784
1934778,3610000,99986987,Краснодарский край,10,223789.0,223789.0,05.10.2017,Ремонт фасада,6109.4,"0,00000",36.63027465872263,0.0
1963878,3701000,724019747,Краснодарский край,10,398998.25,398998.25,17.02.2017,Ремонт фасада,8538.6,"398,99825",46.72876701098541,0.0
1941502,3709000,99993075,Краснодарский край,10,127500.0,191240.04,20.02.2018,Ремонт фасада,3661.0,"0,00000",52.237104616225075,-0.4999218823529412
1959925,3701000,730948511,Краснодарский край,10,128876.47,110157.42,13.10.2017,Ремонт фасада,2004.6,"0,00000",54.952319664771025,0.1452480037667078
1963854,3701000,48400772,Краснодарский край,10,609458.8,497093.06,23.11.2017,Ремонт фасада,8864.1,"459,42589",56.07936056678061,0.184369706368995
2028659,3641000,99992200,Краснодарский край,10,191869.0,191869.0,08.06.2017,Ремонт фасада,3102.0,"0,00000",61.85332043842682,0.0
2033994,3645000,737724389,Краснодарский край,10,764878.0,764878.0,30.12.2016,Ремонт фасада,11582.6,"0,00000",66.03681384145183,0.0
1960085,3701000,201541886,Краснодарский край,10,715642.35,639807.69,27.11.2017,Ремонт фасада,8020.86,"0,00000",79.7679662779303,0.10596726144001964
2019516,3628000,207695597,Краснодарский край,10,67434.64,67434.64,01.10.2018,Ремонт фасада,804.9,"0,00000",83.78014660206237,0.0
2011151,3621000,99987261,Краснодарский край,10,66402.14,66402.14,08.06.2017,Ремонт фасада,724.6,"0,00000",91.63971846536019,0.0
1950892,3701000,48398117,Краснодарский край,10,2926406.77,2194805.11,16.11.2017,Ремонт фасада,22316.6,"0,00000",98.34854368496994,0.24999998889423022
1951301,3701000,722469315,Краснодарский край,10,498925.74,498925.74,25.05.2017,Ремонт фасада,4612.1,"0,00000",108.17756336592875,0.0
2006877,3618000,99987603,Краснодарский край,10,172503.34,172000.0,06.06.2017,Ремонт фасада,1509.8,"0,00000",113.9223738243476,0.0029178565470094463
1965209,3701000,48398066,Краснодарский край,10,791350.66,560200.94,30.11.2017,Ремонт фасада,4371.9,"0,00000",128.1367231638418,0.292095188244362
1940046,3705000,725969923,Краснодарский край,10,443700.0,443700.0,,Ремонт фасада,3437.7,"0,00000",129.06885417575705,0.0
1943118,3701000,737245327,Краснодарский край,10,706517.81,706517.81,26.05.2017,Ремонт фасада,5397.7,"0,00000",130.89238194045615,0.0
1998799,3613000,99994935,Краснодарский край,10,132591.0,124863.0,04.08.2017,Ремонт фасада,928.7,"0,00000",134.44923010660062,0.058284498947892394
2029686,3643000,78918475,Краснодарский край,10,339222.0,339222.0,12.06.2017,Ремонт фасада,2503.7,"0,00000",135.48827734952272,0.0
2036493,3649000,99988360,Краснодарский край,10,768058.0,764217.71,10.06.2017,Ремонт фасада,5584.1,"0,00000",136.85602156121845,0.005000000000000049
2000533,3613000,99991516,Краснодарский край,10,172905.0,172040.48,16.06.2017,Ремонт фасада,1213.5,"0,00000",141.77213020189535,0.004999971082386221
2020618,3630000,99989970,Краснодарский край,10,68134.57,68134.57,02.11.2017,Ремонт фасада,469.8,"0,00000",145.02888463175822,0.0
1959171,3701000,249290029,Краснодарский край,10,505972.86,505972.86,22.05.2017,Ремонт фасада,3444.34,"0,00000",146.8998008326704,0.0
2019214,3628000,99993562,Краснодарский край,10,846600.0,514599.0,11.02.2019,Ремонт фасада,3472.0,"0,00000",148.21399769585253,0.39215804394046777
2019514,3628000,407402758,Краснодарский край,10,73321.66,73322.66,01.10.2018,Ремонт фасада,465.5,"0,00000",157.5137701396348,-1.363853464310546e-05
1954476,3701000,721613787,Краснодарский край,10,785041.83,551736.2,21.11.2017,Ремонт фасада,3467.8,"0,00000",159.10265874617912,0.29718878801655707
2044671,3654000,583335280,Краснодарский край,10,229720.0,229720.0,09.04.2018,Ремонт фасада,1383.7,"0,00000",166.01864566018645,0.0
2012383,3621000,99986465,Краснодарский край,10,169138.84,169138.84,19.12.2017,Ремонт фасада,1008.0,"0,00000",167.79646825396824,0.0
1997986,3613000,99991513,Краснодарский край,10,587366.0,531566.23,10.06.2017,Ремонт фасада,3060.0,"0,00000",173.714454248366,0.09500000000000003
1998229,3613000,99994980,Краснодарский край,10,564975.0,539551.08,09.06.2017,Ремонт фасада,3060.0,"0,00000",176.32388235294115,0.04500007964954209
2047356,3655000,719684266,Краснодарский край,10,,96605.0,22.11.2017,Ремонт фасада,543.17,"0,00000",177.8540788335144,
2033599,3645000,48401549,Краснодарский край,10,977392.0,965000.39,30.12.2016,Ремонт фасада,5296.5,"0,00000",182.19586330595678,0.012678239641822305
1957880,3701000,731364645,Краснодарский край,10,1238249.33,928686.83,30.11.2017,Ремонт фасада,5081.3,"0,00000",182.76559738649556,0.25000013527162585
1956353,3701000,721217745,Краснодарский край,10,1248504.31,986318.47,30.11.2017,Ремонт фасада,5374.4,"0,00000",183.5215968294135,0.20999994785760898
2036309,3647000,99993373,Краснодарский край,10,267342.26,205466.69,08.09.2017,Ремонт фасада,1083.6,"0,00000",189.61488556662977,0.2314470222552918
2000532,3613000,99991517,Краснодарский край,10,233935.0,232765.32,16.06.2017,Ремонт фасада,1212.8,"0,00000",191.9239116094987,0.0050000213734584095
