,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1715234,4601000,1801001001,Красноярский край,10,1435389.77,0.0,,Ремонт фасада,322.96,"0,00000",0.0,1.0
1799197,4729000,1101052030,Красноярский край,10,8210110.35,0.0,,Ремонт фасада,8417.2,"0,00000",0.0,1.0
1799207,4729000,1101052031,Красноярский край,10,25071889.04,0.0,,Ремонт фасада,6546.0,"0,00000",0.0,1.0
1799219,4729000,1101052032,Красноярский край,10,2552216.85,0.0,,Ремонт фасада,3150.9,"0,00000",0.0,1.0
1799222,4729000,1101052033,Красноярский край,10,12530619.14,0.0,,Ремонт фасада,3726.0,"0,00000",0.0,1.0
1799233,4729000,1101052034,Красноярский край,10,16785597.76,0.0,,Ремонт фасада,5224.0,"0,00000",0.0,1.0
1799249,4729000,1101052036,Красноярский край,10,15621539.85,0.0,,Ремонт фасада,18922.4,"0,00000",0.0,1.0
1799253,4729000,1101052037,Красноярский край,10,17701563.12,0.0,,Ремонт фасада,5297.51,"0,00000",0.0,1.0
1799264,4729000,1101052038,Красноярский край,10,12695705.92,0.0,,Ремонт фасада,3268.21,"0,00000",0.0,1.0
1799269,4729000,1101052039,Красноярский край,10,4770165.9,0.0,,Ремонт фасада,4260.3,"0,00000",0.0,1.0
1799282,4729000,1101052040,Красноярский край,10,11371954.95,0.0,,Ремонт фасада,14760.93,"0,00000",0.0,1.0
1799293,4729000,1101052041,Красноярский край,10,10970282.8,0.0,,Ремонт фасада,2807.07,"1930,40000",0.0,1.0
1799304,4729000,1101052042,Красноярский край,10,2111640.93,0.0,,Ремонт фасада,3087.79,"0,00000",0.0,1.0
1799308,4729000,1101052043,Красноярский край,10,20950044.92,0.0,,Ремонт фасада,4702.98,"0,00000",0.0,1.0
1799315,4729000,1101052044,Красноярский край,10,7809399.98,0.0,,Ремонт фасада,6518.4,"0,00000",0.0,1.0
1799326,4729000,1101052045,Красноярский край,10,6396296.55,0.0,,Ремонт фасада,6726.44,"0,00000",0.0,1.0
1799335,4729000,1101052046,Красноярский край,10,8223809.85,0.0,,Ремонт фасада,9112.06,"0,00000",0.0,1.0
1799345,4729000,1101052047,Красноярский край,10,13057831.76,0.0,,Ремонт фасада,2812.22,"0,00000",0.0,1.0
1799349,4729000,1101052048,Красноярский край,10,8067635.55,0.0,,Ремонт фасада,8023.88,"2347,61000",0.0,1.0
1799361,4729000,1101052049,Красноярский край,10,13121736.32,0.0,,Ремонт фасада,3000.27,"0,00000",0.0,1.0
1799371,4729000,1101052050,Красноярский край,10,6989484.9,0.0,,Ремонт фасада,13942.7,"0,00000",0.0,1.0
1799381,4729000,1101052051,Красноярский край,10,10810521.4,0.0,,Ремонт фасада,2816.95,"0,00000",0.0,1.0
1799386,4729000,1101052052,Красноярский край,10,10810521.4,0.0,,Ремонт фасада,2732.84,"0,00000",0.0,1.0
1799406,4729000,1101053001,Красноярский край,10,3123486.0,0.0,,Ремонт фасада,2552.6,"4190,36000",0.0,1.0
1799193,4729000,1101052029,Красноярский край,10,4353701.1,0.0,,Ремонт фасада,4237.7,"0,00000",0.0,1.0
1799417,4729000,1101053002,Красноярский край,10,4274244.0,0.0,,Ремонт фасада,4373.1,"0,00000",0.0,1.0
1799178,4729000,1101052028,Красноярский край,10,25007984.48,0.0,,Ремонт фасада,6633.42,"0,00000",0.0,1.0
1799162,4729000,1101052026,Красноярский край,10,2433031.2,0.0,,Ремонт фасада,3087.7,"0,00000",0.0,1.0
1798954,4729000,1101052003,Красноярский край,10,10911651.75,0.0,,Ремонт фасада,10175.8,"0,00000",0.0,1.0
1798966,4729000,1101052004,Красноярский край,10,4118069.7,0.0,,Ремонт фасада,4242.9,"0,00000",0.0,1.0
1798978,4729000,1101052005,Красноярский край,10,4897571.25,0.0,,Ремонт фасада,5559.4,"0,00000",0.0,1.0
1798984,4729000,1101052006,Красноярский край,10,28907314.95,0.0,,Ремонт фасада,27404.75,"27865,67000",0.0,1.0
1798992,4729000,1101052007,Красноярский край,10,6022300.2,0.0,,Ремонт фасада,8130.7,"0,00000",0.0,1.0
1799008,4729000,1101052008,Красноярский край,10,16453099.5,0.0,,Ремонт фасада,15697.99,"0,00000",0.0,1.0
1799015,4729000,1101052009,Красноярский край,10,7257995.1,0.0,,Ремонт фасада,9034.4,"10418,28000",0.0,1.0
1799021,4729000,1101052010,Красноярский край,10,4118069.7,0.0,,Ремонт фасада,4249.5,"0,00000",0.0,1.0
1799036,4729000,1101052011,Красноярский край,10,14192137.7,0.0,,Ремонт фасада,3776.02,"0,00000",0.0,1.0
1799041,4729000,1101052012,Красноярский край,10,7479927.0,0.0,,Ремонт фасада,8932.7,"0,00000",0.0,1.0
1799051,4729000,1101052013,Красноярский край,10,16998612.96,0.0,,Ремонт фасада,5078.39,"0,00000",0.0,1.0
1799055,4729000,1101052014,Красноярский край,10,20741043.0,0.0,,Ремонт фасада,18992.19,"0,00000",0.0,1.0
1799066,4729000,1101052015,Красноярский край,10,13206942.4,0.0,,Ремонт фасада,3714.27,"0,00000",0.0,1.0
1799073,4729000,1101052016,Красноярский край,10,6005860.8,0.0,,Ремонт фасада,6620.25,"0,00000",0.0,1.0
1799084,4729000,1101052017,Красноярский край,10,16998612.96,0.0,,Ремонт фасада,5239.64,"0,00000",0.0,1.0
1799092,4729000,1101052018,Красноярский край,10,16806899.28,0.0,,Ремонт фасада,5231.0,"0,00000",0.0,1.0
1799105,4729000,1101052019,Красноярский край,10,6005860.8,0.0,,Ремонт фасада,6092.35,"0,00000",0.0,1.0
1799116,4729000,1101052020,Красноярский край,10,13206942.4,0.0,,Ремонт фасада,3789.2,"0,00000",0.0,1.0
1799120,4729000,1101052021,Красноярский край,10,12818189.66,0.0,,Ремонт фасада,3726.9,"0,00000",0.0,1.0
1799131,4729000,1101052022,Красноярский край,10,12770261.24,0.0,,Ремонт фасада,3585.27,"0,00000",0.0,1.0
1799136,4729000,1101052023,Красноярский край,10,8206000.5,0.0,,Ремонт фасада,8410.0,"0,00000",0.0,1.0
1799146,4729000,1101052024,Красноярский край,10,12509317.62,0.0,,Ремонт фасада,3677.4,"0,00000",0.0,1.0
1799153,4729000,1101052025,Красноярский край,10,4357810.95,0.0,,Ремонт фасада,4042.0,"0,00000",0.0,1.0
1799176,4729000,1101052027,Красноярский край,10,4838663.4,0.0,,Ремонт фасада,5431.0,"0,00000",0.0,1.0
1799425,4729000,1101053003,Красноярский край,10,6444244.8,0.0,,Ремонт фасада,6229.8,"12289,33000",0.0,1.0
