,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
2796791,52601000,26901,Омская область,10,,,,Ремонт фасада,802.0,"839,03184",,
2796833,52601000,26904,Омская область,10,,,,Ремонт фасада,794.0,"1092,76445",,
2796845,52601000,26905,Омская область,10,,,,Ремонт фасада,801.0,"1081,90430",,
2796879,52601000,26896,Омская область,10,,,,Ремонт фасада,803.6,"1837,30892",,
2796897,52601000,26897,Омская область,10,,,,Ремонт фасада,801.0,"1837,31315",,
2796919,52601000,26898,Омская область,10,,,,Ремонт фасада,803.0,"1073,81180",,
2796932,52601000,26900,Омская область,10,,,,Ремонт фасада,805.0,"1032,87911",,
2796956,52601000,26869,Омская область,10,,,,Ремонт фасада,2939.0,"0,00000",,
2796972,52601000,26870,Омская область,10,,,,Ремонт фасада,2581.2,"0,00000",,
2796998,52601000,26871,Омская область,10,,,,Ремонт фасада,1910.4,"0,00000",,
2797006,52601000,26872,Омская область,10,,,,Ремонт фасада,2538.6,"0,00000",,
2797028,52601000,36904,Омская область,10,,,,Ремонт фасада,1536.4,"0,00000",,
2797037,52601000,26873,Омская область,10,,,,Ремонт фасада,927.3,"0,00000",,
2797064,52601000,26874,Омская область,10,,,,Ремонт фасада,1388.7,"0,00000",,
2797080,52601000,26289,Омская область,10,,,,Ремонт фасада,915.7,"0,00000",,
2797110,52601000,26876,Омская область,10,,,,Ремонт фасада,919.2,"0,00000",,
2797126,52601000,26877,Омская область,10,,,,Ремонт фасада,3340.1,"0,00000",,
2797142,52601000,26882,Омская область,10,,,,Ремонт фасада,931.3,"0,00000",,
2797159,52601000,26881,Омская область,10,,,,Ремонт фасада,1013.1,"0,00000",,
2797190,52601000,26878,Омская область,10,,,,Ремонт фасада,1022.3,"0,00000",,
2797196,52601000,26883,Омская область,10,,,,Ремонт фасада,1039.2,"0,00000",,
2797225,52601000,26879,Омская область,10,,,,Ремонт фасада,1403.2,"0,00000",,
2797236,52601000,26880,Омская область,10,,,,Ремонт фасада,1033.1,"0,00000",,
2797264,52601000,33550,Омская область,10,,,,Ремонт фасада,1038.8,"0,00000",,
2797279,52601000,36416,Омская область,10,,,,Ремонт фасада,1039.2,"0,00000",,
2797304,52601000,26888,Омская область,10,,,,Ремонт фасада,3856.0,"0,00000",,
2797320,52601000,26891,Омская область,10,,,,Ремонт фасада,348.8,"0,00000",,
2797334,52601000,32998,Омская область,10,,,,Ремонт фасада,359.3,"0,00000",,
2797362,52601000,26907,Омская область,10,,,,Ремонт фасада,734.0,"498,00000",,
2797372,52601000,26908,Омская область,10,,,,Ремонт фасада,632.5,"0,00000",,
2797384,52601000,26918,Омская область,10,,,,Ремонт фасада,575.1,"0,00000",,
2797412,52601000,32999,Омская область,10,,,,Ремонт фасада,591.93,"0,00000",,
2797433,52601000,26909,Омская область,10,,,,Ремонт фасада,575.3,"0,00000",,
2797458,52601000,26912,Омская область,10,,,,Ремонт фасада,579.2,"0,00000",,
2797482,52601000,26913,Омская область,10,,,,Ремонт фасада,623.4,"1545,44676",,
