,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1670833,79701000,385000000256,Республика Адыгея,10,878468.79,3264829.3,02.10.2017,Ремонт фасада,3488.7,"7461,41000",935.8297646687878,-2.716500047770621
1671981,79701000,385000000456,Республика Адыгея,10,225268.2,798924.0,07.12.2017,Ремонт фасада,1568.2,"798,92000",509.4528759086851,-2.5465458506793235
1671204,79701000,385000000319,Республика Адыгея,10,23396.7,77989.0,03.11.2017,Ремонт фасада,7645.4,"7336,71000",10.200774321814425,-2.3333333333333335
1671862,79701000,385000000434,Республика Адыгея,10,290740.8,967595.0,27.12.2017,Ремонт фасада,1927.3,"1060,60000",502.0469049966274,-2.32803307963657
1670179,79701000,385000000152,Республика Адыгея,23,1481510.55,4443853.5,22.10.2017,Ремонт фасада,5913.35,"5071,18000",751.4950916147361,-1.9995422577314756
1670481,79701000,385000000201,Республика Адыгея,10,534198.0,912966.0,22.03.2019,Ремонт фасада,6547.6,"0,00000",139.4352129024375,-0.7090404681410264
1670926,79701000,385000000274,Республика Адыгея,10,2592028.53,2951168.16,06.05.2019,Ремонт фасада,2008.8,"0,00000",1469.119952210275,-0.13855543094658776
1671402,79701000,385000000353,Республика Адыгея,23,2042881.37,2214547.37,28.12.2018,Ремонт фасада,1558.8,"149,19000",1420.674473954324,-0.08403131112796823
1671199,79701000,385000000319,Республика Адыгея,23,4950000.0,4950000.0,04.12.2015,Ремонт фасада,7645.4,"7336,71000",647.4481387500981,0.0
1671099,79701000,385000000327,Республика Адыгея,10,1296201.0,1296201.0,30.08.2018,Ремонт фасада,1554.9,"1296,20000",833.6233841404592,0.0
1671218,79701000,385000000321,Республика Адыгея,23,4300000.0,4300000.0,19.11.2015,Ремонт фасада,6226.7,"4826,88000",690.574461592818,0.0
1671838,79701000,385000000429,Республика Адыгея,10,3009748.5,3009748.5,29.08.2016,Ремонт фасада,2791.2,"3205,70000",1078.2991186586414,0.0
