,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
583201,61701000,622600853,Рязанская область,10,285966.56,5408126.56,,Ремонт фасада,4610.0,"2879,84316",1173.129405639913,-17.911744645947415
585959,61701000,622600916,Рязанская область,10,145044.95,1518956.55,,Ремонт фасада,3821.0,"6506,77221",397.5285396493065,-9.472315995834395
577135,61701000,622600466,Рязанская область,10,675907.45,1163195.4,,Ремонт фасада,2717.9,"926,97294",427.97579013208724,-0.7209388652248174
574503,61701000,622601985,Рязанская область,10,126753.78,215967.78,,Ремонт фасада,4201.6,"3068,58585",51.401318545316066,-0.7038369979972195
583164,61701000,622603068,Рязанская область,10,14409068.14,18318109.51,,Ремонт фасада,17989.0,"8131,70821",1018.2950419700929,-0.27129036604028445
578548,61701000,622600893,Рязанская область,10,1122095.05,1407560.05,,Ремонт фасада,749.2,"1851,94901",1878.7507341163907,-0.25440358194254575
575811,61701000,622603028,Рязанская область,10,5560185.65,6392124.22,19.08.2019,Ремонт фасада,5775.3,"6846,29872",1106.8038404931344,-0.14962424321209478
584721,61701000,622600044,Рязанская область,10,979737.36,1126007.94,14.08.2019,Ремонт фасада,587.6,"1102,41623",1916.2830837304286,-0.14929570512652487
584790,61701000,622600047,Рязанская область,10,1079067.72,1239294.14,06.08.2019,Ремонт фасада,706.1,"1213,32890",1755.125534626823,-0.14848597268760846
585924,61701000,622600115,Рязанская область,10,3289412.4,3751029.08,25.07.2019,Ремонт фасада,4605.9,"4368,69058",814.3965522482034,-0.14033408520014096
576985,61701000,622600897,Рязанская область,10,1225270.5,1391071.18,30.08.2019,Ремонт фасада,619.4,"3935,55516",2245.8365837907654,-0.13531761353921434
584784,61701000,622602904,Рязанская область,10,871128.26,988783.87,,Ремонт фасада,386.5,"73,36805",2558.3023803363517,-0.13506117916551116
582077,61701000,622600744,Рязанская область,10,3577764.16,4019851.78,31.07.2019,Ремонт фасада,3239.3,"6515,30119",1240.963103139567,-0.12356533304867127
583718,61701000,622601944,Рязанская область,10,1285587.77,1414444.51,02.07.2019,Ремонт фасада,640.0,"3309,87477",2210.069546875,-0.10023177180660328
584095,61701000,622601170,Рязанская область,10,4925204.23,5415330.65,28.08.2019,Ремонт фасада,4594.7,"8771,88121",1178.603749972795,-0.09951392817674078
572812,61701000,622601425,Рязанская область,10,1830566.15,1992936.19,22.07.2019,Ремонт фасада,2044.9,"2019,28619",974.5885813487212,-0.08869935675364697
584813,61701000,622600048,Рязанская область,10,1050207.69,1130296.15,06.08.2019,Ремонт фасада,599.0,"1106,61460",1886.9718697829715,-0.07625963965280046
580875,61701000,622601280,Рязанская область,10,1238032.42,1328938.1,,Ремонт фасада,337.8,"440,41450",3934.09739490823,-0.07342754400567326
584087,61701000,622601172,Рязанская область,10,4915826.36,5216762.98,29.07.2019,Ремонт фасада,4609.8,"5515,97301",1131.6679639029894,-0.06121791087836554
569979,61701000,622601099,Рязанская область,10,3453286.8,3653141.47,25.07.2019,Ремонт фасада,3419.9,"6618,21114",1068.201254422644,-0.05787375378146999
584838,61701000,622602912,Рязанская область,10,4070668.52,4230685.75,30.08.2019,Ремонт фасада,2555.5,"4230,68575",1655.5217178634318,-0.03930981587270092
595601,61625000,621200125,Рязанская область,10,4997682.0,5158877.79,14.08.2019,Ремонт фасада,4336.3,"7738,17328",1189.6957752000553,-0.032254111005862326
583722,61701000,622601150,Рязанская область,10,1363673.37,1404329.52,20.08.2019,Ремонт фасада,637.6,"1404,32952",2202.524341279799,-0.029813700915784478
584985,61701000,622600834,Рязанская область,10,5117646.83,5219117.38,03.07.2019,Ремонт фасада,4600.6,"5330,24805",1134.4427639873059,-0.01982757962217565
608156,61658000,622500050,Рязанская область,10,3658086.0,3718788.42,,Ремонт фасада,3537.5,"142,93802",1051.2476098939928,-0.016594038521784323
608152,61658000,622500049,Рязанская область,10,3658086.0,3718788.42,,Ремонт фасада,3450.4,"142,93802",1077.7847264085324,-0.016594038521784323
583719,61701000,622601948,Рязанская область,10,1363757.95,1373813.75,20.08.2019,Ремонт фасада,650.5,"3490,47870",2111.935049961568,-0.007373595878946148
581935,61701000,622602848,Рязанская область,10,1535703.34,1535703.34,,Ремонт фасада,715.1,"2317,08971",2147.5364844077753,0.0
582994,61701000,622601192,Рязанская область,10,375427.15,375427.15,,Ремонт фасада,425.4,"586,69072",882.5273859896569,0.0
582980,61701000,622600919,Рязанская область,10,333878.71,333878.71,,Ремонт фасада,379.8,"2331,04517",879.0908636124276,0.0
582984,61701000,622602960,Рязанская область,10,375427.15,375427.15,,Ремонт фасада,556.8,"2638,94088",674.2585308908046,0.0
581939,61701000,622602847,Рязанская область,10,1130782.46,1130782.46,,Ремонт фасада,386.7,"1367,95326",2924.185311611068,0.0
582982,61701000,622602939,Рязанская область,10,370448.79,370448.79,,Ремонт фасада,621.2,"3238,04195",596.3438345138441,0.0
568439,61701000,622602716,Рязанская область,10,706044.39,706044.39,,Ремонт фасада,398.0,"1278,81646",1773.9808793969848,0.0
584634,61701000,622600043,Рязанская область,10,112174.49,112174.49,,Ремонт фасада,716.5,"74,28749",156.55895324494068,0.0
602711,61637000,621600013,Рязанская область,10,246566.0,246566.0,,Ремонт фасада,136.3,"0,00000",1808.9948642699926,0.0
600756,61634000,620103422,Рязанская область,10,1362728.62,1362728.62,,Ремонт фасада,746.51,"1205,59228",1825.4659950971857,0.0
599284,61634000,620100225,Рязанская область,10,98561.0,98561.0,,Ремонт фасада,1470.4,"5503,96586",67.0300598476605,0.0
595425,61625000,621200169,Рязанская область,10,7162479.26,7162479.26,,Ремонт фасада,4166.5,"133,71900",1719.063784951398,0.0
594253,61617000,620900062,Рязанская область,10,91209.09,91209.09,,Ремонт фасада,534.2,"1169,78622",170.7395919131411,0.0
593715,61617000,620900118,Рязанская область,10,374853.39,374853.39,,Ремонт фасада,221.1,"604,72287",1695.4020352781547,0.0
587002,61710000,622700056,Рязанская область,10,1298185.75,1298185.75,,Ремонт фасада,569.6,"1609,62831",2279.1182408707864,0.0
