,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
445366,68622000,3384,Тамбовская область,10,32923.13,32923.13,,Ремонт фасада,1372.9,"32,92313",23.980719644548035,0.0
468384,68701000,3675,Тамбовская область,10,130526.1,130526.1,25.12.2015,Ремонт фасада,4953.0,"8824,42583",26.352937613567537,0.0
455437,68701000,2644,Тамбовская область,10,114452.37,114452.37,,Ремонт фасада,3874.2,"114,45237",29.542194517577823,0.0
462646,68701000,1561,Тамбовская область,10,105578.0,105578.0,,Ремонт фасада,3517.7,"107,26600",30.01336100292805,0.0
455485,68701000,2645,Тамбовская область,10,133414.0,133414.0,,Ремонт фасада,4125.6,"133,41400",32.33808415745588,0.0
477199,68730000,1704,Тамбовская область,10,129831.0,129831.0,,Ремонт фасада,3889.6,"129,83100",33.37901069518717,0.0
465968,68701000,1649,Тамбовская область,10,395320.0,395320.0,,Ремонт фасада,11524.7,"1209,54600",34.30197749182191,0.0
477189,68730000,1707,Тамбовская область,10,151763.0,151763.0,,Ремонт фасада,4387.6,"151,76300",34.5890691950041,0.0
463218,68701000,4281,Тамбовская область,10,271631.29,271631.29,,Ремонт фасада,7725.1,"1035,41427",35.16217136347749,0.0
477161,68730000,1705,Тамбовская область,10,130000.0,130000.0,,Ремонт фасада,3463.8,"130,72100",37.53103527917316,0.0
446357,68725000,4066,Тамбовская область,10,151773.9,151773.9,,Ремонт фасада,4027.3,"6445,14777",37.686266232960044,0.0
475789,68640000,4640,Тамбовская область,10,194364.1,194364.1,,Ремонт фасада,4778.1,"206,41310",40.67811473179716,0.0
466376,68701000,3852,Тамбовская область,10,231052.0,231052.0,,Ремонт фасада,5655.07,"233,32300",40.8574960168486,0.0
472886,68701000,3635,Тамбовская область,10,255747.32,255747.32,,Ремонт фасада,6099.25,"427,79419",41.930945608066565,0.0
477155,68730000,4547,Тамбовская область,10,160583.0,160583.0,25.12.2016,Ремонт фасада,3818.3,"1111,69000",42.05615064295629,0.0
459376,68701000,4105,Тамбовская область,10,177302.1,177302.1,,Ремонт фасада,4100.0,"177,30210",43.244414634146345,0.0
476293,68640000,3147,Тамбовская область,10,708623.0,708623.0,25.12.2016,Ремонт фасада,16184.7,"7885,77728",43.783511588104815,0.0
464284,68701000,2769,Тамбовская область,10,241668.0,241668.0,,Ремонт фасада,4156.0,"416,84300",58.14918190567854,0.0
477302,68730000,1623,Тамбовская область,10,224403.35,224403.35,,Ремонт фасада,3819.9,"224,40335",58.74587031074112,0.0
477316,68730000,1442,Тамбовская область,10,225531.0,225531.0,,Ремонт фасада,3829.3,"225,53100",58.89614289817982,0.0
457364,68701000,5013,Тамбовская область,10,258821.0,258821.0,,Ремонт фасада,4388.2,"260,82100",58.981131215532564,0.0
456998,68701000,2349,Тамбовская область,10,428038.0,428038.0,,Ремонт фасада,7011.4,"434,32000",61.048863279801466,0.0
472877,68701000,2184,Тамбовская область,10,311574.0,311574.0,,Ремонт фасада,4524.6,"785,22800",68.86221986473942,0.0
429836,68715000,328,Тамбовская область,10,19864.0,19864.0,,Ремонт фасада,280.6,"19,86400",70.7911617961511,0.0
445361,68622000,3387,Тамбовская область,10,119479.66,119479.66,,Ремонт фасада,1427.3,"119,47966",83.71026413508022,0.0
476137,68640000,3101,Тамбовская область,10,371620.0,371620.0,,Ремонт фасада,4332.31,"377,19430",85.77871851275647,0.0
472883,68701000,2184,Тамбовская область,10,388234.0,388234.0,,Ремонт фасада,4524.6,"785,22800",85.80515404676656,0.0
452327,68701000,2271,Тамбовская область,10,402827.0,402827.0,,Ремонт фасада,4638.8,"961,16900",86.83862205742864,0.0
477142,68730000,4952,Тамбовская область,10,582400.0,582400.0,,Ремонт фасада,6345.1,"582,40000",91.78736347732895,0.0
473664,68640000,2976,Тамбовская область,10,36388.46,36388.46,25.12.2015,Ремонт фасада,392.9,"1393,87210",92.61506744718758,0.0
475720,68640000,3213,Тамбовская область,10,399000.0,399000.0,,Ремонт фасада,4236.3,"404,98500",94.1859641668437,0.0
475597,68640000,3405,Тамбовская область,10,380000.0,380000.0,,Ремонт фасада,4002.3,"385,70000",94.94540639132498,0.0
