,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5475276,8609000,500100003,Хабаровский край,10,910000.0,910000.0,22.08.2017,Ремонт фасада,6927.0,"9770000,00000",131.3700014436264,0.0
5510115,8701000,100100483,Хабаровский край,10,1571194.78,1571194.78,15.08.2019,Ремонт фасада,4354.7,"0,00000",360.80436769467474,0.0
5508935,8701000,100100795,Хабаровский край,10,4588587.9,4588587.9,07.10.2017,Ремонт фасада,12074.3,"4588587,90000",380.0293101877542,0.0
5506627,8701000,100103696,Хабаровский край,10,3414219.08,3414219.08,,Ремонт фасада,1943.2,"4425205,75000",1757.008583779333,0.0
5503741,8701000,100101128,Хабаровский край,10,1932463.58,1932463.58,30.06.2016,Ремонт фасада,7480.8,"1898832,40000",258.3231178483585,0.0
5503409,8701000,100101566,Хабаровский край,10,1761013.12,1761013.12,18.10.2016,Ремонт фасада,7288.8,"1759232,00000",241.60535616288004,0.0
5503145,8701000,100103315,Хабаровский край,10,1085111.48,1085111.48,18.11.2016,Ремонт фасада,1971.0,"1085111,48000",550.5385489599188,0.0
5502804,8701000,100100789,Хабаровский край,10,1198017.32,1198017.32,29.05.2017,Ремонт фасада,14223.2,"1198017,32000",84.22980201361156,0.0
5502139,8701000,100102007,Хабаровский край,10,2648709.42,2648709.42,,Ремонт фасада,6365.4,"1535336,16000",416.11044396267323,0.0
5501418,8701000,100101653,Хабаровский край,10,1898612.92,1898612.92,03.10.2016,Ремонт фасада,8066.5,"7977535,94000",235.37010103514535,0.0
5499355,8701000,100100653,Хабаровский край,10,588500.0,588500.0,,Ремонт фасада,7997.1,"588500,00000",73.58917607632766,0.0
5498882,8701000,100100769,Хабаровский край,10,2053220.06,2053220.06,07.06.2016,Ремонт фасада,5156.5,"8469878,34000",398.18094831765734,0.0
5510794,8701000,100102768,Хабаровский край,10,3780271.6,3780271.6,,Ремонт фасада,4572.7,"38990,74000",826.7044853150218,0.0
5498760,8701000,100103943,Хабаровский край,10,480000.0,480000.0,02.10.2017,Ремонт фасада,10639.5,"480000,00000",45.114902016072186,0.0
5494887,8709000,200101039,Хабаровский край,10,1753479.0,1753479.0,24.06.2016,Ремонт фасада,3895.2,"6340334,00000",450.16404805914976,0.0
5494118,8709000,200100102,Хабаровский край,10,1391597.0,1391597.0,06.07.2016,Ремонт фасада,4524.9,"807335,20000",307.54204512806916,0.0
5494075,8709000,200100984,Хабаровский край,10,934787.74,934787.74,06.07.2016,Ремонт фасада,4491.6,"2724774,20000",208.11909787158248,0.0
5493663,8709000,200101391,Хабаровский край,10,972141.82,972141.82,11.07.2016,Ремонт фасада,8765.7,"972141,82000",110.90293074141253,0.0
5492514,8709000,200100852,Хабаровский край,10,4843685.24,4843685.24,29.03.2019,Ремонт фасада,15824.2,"1240441,88000",306.09353016266226,0.0
5491420,8709000,200100782,Хабаровский край,10,2207156.96,2207156.96,11.10.2016,Ремонт фасада,3861.5,"1790318,37000",571.580204583711,0.0
5490638,8709000,200100723,Хабаровский край,10,2367117.1,2367117.1,,Ремонт фасада,3953.8,"1716736,27000",598.6941929283221,0.0
5490567,8709000,200101329,Хабаровский край,10,987356.74,987356.74,06.07.2016,Ремонт фасада,3813.2,"682528,78000",258.93127556907586,0.0
5490543,8709000,200100720,Хабаровский край,10,1620938.86,1620938.86,06.07.2016,Ремонт фасада,8849.3,"1470710,60000",183.17142146836477,0.0
5489812,8709000,200100668,Хабаровский край,10,2950279.66,2950279.66,,Ремонт фасада,4354.3,"51250,00000",677.5554417472383,0.0
