,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
6506063,71811000,21179,Ханты-Мансийский автономный округ — Югра,10,0.0,0.0,,Ремонт фасада,1925.0,"0,00000",0.0,
6542516,71876000,25091,Ханты-Мансийский автономный округ — Югра,10,0.0,0.0,,Ремонт фасада,1283.7,"0,00000",0.0,
6542526,71876000,25092,Ханты-Мансийский автономный округ — Югра,10,0.0,0.0,,Ремонт фасада,1992.7,"0,00000",0.0,
6542573,71876000,18671,Ханты-Мансийский автономный округ — Югра,10,0.0,0.0,,Ремонт фасада,14733.0,"0,00000",0.0,
6542580,71876000,28989,Ханты-Мансийский автономный округ — Югра,10,9160405.76,0.0,,Ремонт фасада,7463.49,"0,00000",0.0,1.0
6542586,71876000,18672,Ханты-Мансийский автономный округ — Югра,10,0.0,0.0,,Ремонт фасада,8686.78,"0,00000",0.0,
6542600,71876000,32052,Ханты-Мансийский автономный округ — Югра,10,10840842.86,0.0,,Ремонт фасада,10534.9,"0,00000",0.0,1.0
6542399,71876000,25081,Ханты-Мансийский автономный округ — Югра,10,6397707.08,0.0,,Ремонт фасада,3732.0,"0,00000",0.0,1.0
6542612,71876000,18675,Ханты-Мансийский автономный округ — Югра,10,0.0,0.0,,Ремонт фасада,12130.2,"0,00000",0.0,
6542629,71876000,32174,Ханты-Мансийский автономный округ — Югра,10,11567038.03,0.0,,Ремонт фасада,10671.8,"0,00000",0.0,1.0
6542635,71876000,28997,Ханты-Мансийский автономный округ — Югра,10,7035840.57,0.0,,Ремонт фасада,5744.8,"0,00000",0.0,1.0
6542642,71876000,28998,Ханты-Мансийский автономный округ — Югра,10,4676542.07,0.0,,Ремонт фасада,5472.24,"0,00000",0.0,1.0
6542663,71876000,28950,Ханты-Мансийский автономный округ — Югра,10,0.0,0.0,,Ремонт фасада,9230.4,"54,56000",0.0,
6542666,71876000,29906,Ханты-Мансийский автономный округ — Югра,10,9136650.89,0.0,,Ремонт фасада,7442.0,"0,00000",0.0,1.0
6542673,71876000,18676,Ханты-Мансийский автономный округ — Югра,10,0.0,0.0,,Ремонт фасада,9415.6,"0,00000",0.0,
