,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
1477639,38624000,4619000029,Курская область,9,30646.0,47.6,07.10.2015,Ремонт фундаментов,437.8,"0,00000",0.10872544540886249,0.998446779351302
1438437,38705000,4606002942,Курская область,9,550531.8,1595.64,28.11.2016,Ремонт фундаментов,7058.1,"0,00000",0.22607217239767077,0.9971016388154145
1438373,38705000,4606002940,Курская область,9,440879.4,1822.99,24.11.2016,Ремонт фундаментов,5652.3,"0,00000",0.3225218052828052,0.9958651050604769
1487004,38715000,4633003195,Курская область,9,62615.0,698.45,09.10.2015,Ремонт фундаментов,894.5,"0,00000",0.7808272778088318,0.988845324602731
1458255,38701000,4612001292,Курская область,9,32767.8,375.1,09.01.2017,Ремонт фундаментов,420.1,"0,00000",0.8928826469888121,0.9885527865770666
1466991,38701000,4612002123,Курская область,9,216028.8,2517.11,18.07.2016,Ремонт фундаментов,2769.6,"0,00000",0.9088352108607742,0.988348266527426
1468973,38701000,4612002295,Курская область,9,40076.4,468.76,09.01.2017,Ремонт фундаментов,513.8,"0,00000",0.9123394316854808,0.9883033406194168
1453527,38701000,4612005203,Курская область,11,26490.0,495.94,06.08.2018,Ремонт фундаментов,441.5,"0,00000",1.1233069082672706,0.9812782181955455
1466966,38701000,4612002121,Курская область,9,251472.0,4073.95,19.07.2016,Ремонт фундаментов,3224.0,"0,00000",1.2636321339950372,0.9837995880257046
1467015,38701000,4612002125,Курская область,9,240622.2,4037.87,19.07.2016,Ремонт фундаментов,3084.9,"0,00000",1.3089143894453628,0.983219046289162
1440737,38705000,4606002860,Курская область,9,130556.4,2296.68,15.12.2016,Ремонт фундаментов,1673.8,"0,00000",1.3721352610825666,0.9824085222938133
1439830,38705000,4606002794,Курская область,9,185444.0,3714.89,02.11.2015,Ремонт фундаментов,2649.2,"0,00000",1.4022686093915144,0.9799675912944069
1456596,38701000,4612001474,Курская область,9,42314.22,977.95,09.01.2017,Ремонт фундаментов,542.49,"0,00000",1.802706040664344,0.976888384094047
1463708,38701000,4612001844,Курская область,9,101111.4,2392.6,20.12.2017,Ремонт фундаментов,1296.3,"0,00000",1.8457147265293528,0.976336990685521
1464272,38701000,4612001892,Курская область,9,41293.2,994.93,09.01.2017,Ремонт фундаментов,529.4,"0,00000",1.8793539856441255,0.9759057181327676
1440124,38705000,4606002819,Курская область,9,538215.6,13135.7,18.07.2016,Ремонт фундаментов,6900.2,"0,00000",1.9036694588562653,0.9755939812967146
1451955,38701000,4612000809,Курская область,9,351358.02,9806.86,30.10.2017,Ремонт фундаментов,4504.59,"0,00000",2.177081598991251,0.9720886974488302
1445410,38614000,4609003707,Курская область,9,28532.0,892.0,02.11.2015,Ремонт фундаментов,407.6,"0,00000",2.188420019627085,0.9687368568624702
1453715,38701000,4612001421,Курская область,9,50029.2,1512.48,16.11.2016,Ремонт фундаментов,641.4,"0,00000",2.358091674462114,0.9697680554556138
1439765,38705000,4606002789,Курская область,9,238378.0,8127.97,18.08.2015,Ремонт фундаментов,3405.4,"0,00000",2.386788629823222,0.965903019573954
1466331,38701000,4612002063,Курская область,11,26664.0,1145.22,07.10.2016,Ремонт фундаментов,444.4,"0,00000",2.577002700270027,0.9570499549954995
1445394,38614000,4609003706,Курская область,9,22953.0,894.03,02.11.2015,Ремонт фундаментов,327.9,"0,00000",2.726532479414456,0.961049536008365
1462755,38701000,4612001762,Курская область,9,42198.0,1566.82,09.01.2017,Ремонт фундаментов,541.0,"0,00000",2.896155268022181,0.9628698042561259
1439685,38705000,4606002662,Курская область,9,139587.0,5902.28,24.11.2015,Ремонт фундаментов,1994.1,"0,00000",2.959871621282784,0.9577161196959603
1463870,38701000,4612001859,Курская область,11,14262.0,758.52,23.12.2016,Ремонт фундаментов,237.7,"0,00000",3.1910811947833406,0.9468153134202776
1445542,38614000,4609003691,Курская область,11,9012.0,500.0,07.09.2017,Ремонт фундаментов,150.2,"0,00000",3.3288948069241013,0.9445184198845983
1454411,38701000,4612001011,Курская область,9,32650.8,1422.54,20.06.2016,Ремонт фундаментов,418.6,"0,00000",3.398327759197324,0.956431695394906
1440117,38705000,4606002819,Курская область,11,414012.0,23709.24,18.07.2016,Ремонт фундаментов,6900.2,"0,00000",3.436022144285673,0.9427329642619054
1442498,38705000,4606002714,Курская область,9,255255.0,12721.07,09.01.2017,Ремонт фундаментов,3646.5,"0,00000",3.488569861511038,0.9501632876926994
1451065,38701000,4612000467,Курская область,11,4844.29,4844.29,01.11.2018,Ремонт фундаментов,1305.3,"0,00000",3.711246456753237,0.0
1439373,38705000,4606002691,Курская область,9,243820.2,12821.75,29.11.2017,Ремонт фундаментов,3125.9,"0,00000",4.101778687737931,0.9474130937469496
1461381,38701000,4612001644,Курская область,9,31410.6,1738.98,16.12.2016,Ремонт фундаментов,402.7,"0,00000",4.318301465110504,0.9446371607037115
1442508,38705000,4606002715,Курская область,9,225427.8,12721.07,09.01.2017,Ремонт фундаментов,2890.1,"0,00000",4.401602020691326,0.9435692048629317
1458679,38701000,4612001329,Курская область,9,278662.8,17805.09,22.11.2016,Ремонт фундаментов,3572.6,"0,00000",4.983790516710519,0.9361052497857626
