,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
5654944,76701000,2595,Забайкальский край,1,177834.0,177834.0,30.12.2014,Электроснабжение,2840.8,"18731,30000",62.59997183891861,0.0
5665871,76602000,29,Забайкальский край,1,43529.02,48687.27,14.06.2018,Электроснабжение,552.4,"43,53000",88.13770818247646,-0.118501404350477
5648085,76715000,1712,Забайкальский край,1,93038.0,93038.0,15.11.2016,Электроснабжение,1005.0,"674,19000",92.57512437810945,0.0
5653549,76701000,2455,Забайкальский край,1,242545.52,242545.52,27.09.2017,Электроснабжение,2456.6,"1280,87000",98.73219897419197,0.0
5670582,76620000,5228,Забайкальский край,1,77639.92,77639.92,13.09.2017,Электроснабжение,779.0,"80,21000",99.66613607188704,0.0
5681365,76654000,1605,Забайкальский край,1,58333.0,58333.0,07.11.2017,Электроснабжение,569.8,"682,23000",102.37451737451738,0.0
5663141,76701000,3576,Забайкальский край,1,58403.0,58403.0,26.07.2016,Электроснабжение,552.2,"390,67000",105.76421586381745,0.0
5673337,76624000,1146,Забайкальский край,1,166009.7,165380.02,17.04.2018,Электроснабжение,1519.0,"430,94000",108.87427254772876,0.003793031371058571
5655346,76701000,2628,Забайкальский край,1,1350000.0,1350000.0,29.12.2018,Электроснабжение,11667.1,"1350,00000",115.7099879147346,0.0
5666685,76609000,245,Забайкальский край,1,680000.0,680000.0,26.12.2014,Электроснабжение,5782.6,"5438,09000",117.59416179573202,0.0
5654715,76701000,2567,Забайкальский край,1,131238.42,131238.42,29.12.2018,Электроснабжение,1080.4,"1296,33000",121.47206590151796,0.0
5659812,76701000,3122,Забайкальский край,1,118325.0,118325.0,28.07.2017,Электроснабжение,959.9,"822,44000",123.26804875507865,0.0
5677326,76647000,2011,Забайкальский край,1,71596.0,71596.0,13.12.2016,Электроснабжение,572.5,"661,31000",125.0585152838428,0.0
5653622,76701000,6788,Забайкальский край,1,734237.0,734237.0,19.08.2016,Электроснабжение,5829.5,"999,85000",125.95196843640106,0.0
5659971,76701000,3153,Забайкальский край,1,117661.26,117661.26,28.07.2017,Электроснабжение,922.9,"823,08000",127.49080073680788,0.0
5663982,76701000,3693,Забайкальский край,1,532863.22,532863.22,29.12.2017,Электроснабжение,4140.12,"5638,29000",128.70719206206584,0.0
5660427,76701000,3183,Забайкальский край,1,164010.0,164010.0,03.11.2016,Электроснабжение,1272.8,"898,56000",128.85763670647393,0.0
5659100,76701000,3025,Забайкальский край,1,552744.0,552744.0,24.10.2017,Электроснабжение,4282.5,"3811,77000",129.07040280210157,0.0
5677371,76647000,2021,Забайкальский край,1,74434.0,74434.0,20.12.2016,Электроснабжение,576.0,"613,50000",129.22569444444446,0.0
5648430,76715000,1778,Забайкальский край,1,136317.0,136317.0,18.12.2014,Электроснабжение,1047.9,"1425,41000",130.08588605782992,0.0
5673369,76624000,1150,Забайкальский край,1,229686.4,224007.66,24.09.2018,Электроснабжение,1681.7,"229,69000",133.20310400190283,0.024723884391936096
