,mun_obr_oktmo,mkd_code,subject_rf,service_code,cost_plan,cost_conclusion_contract,fact_date_services_finished,service_type,square,overhaul_funds_spent_all,value_cost,value_competition
3207961,75712000,8713,Челябинская область,1,9360.0,308253.0,01.12.2014,Электроснабжение,1440.5,"1999,88900",213.99028115237763,-31.933012820512822
3203233,75712000,9289,Челябинская область,1,20358.0,361836.0,01.12.2014,Электроснабжение,1956.9,"5625,54800",184.9026521539169,-16.7736516357206
3202155,75712000,2822,Челябинская область,1,35100.0,439868.0,01.12.2014,Электроснабжение,1461.4,"615,01400",300.9908307102778,-11.531851851851853
3299338,75648000,7744,Челябинская область,1,18525.0,151484.0,,Электроснабжение,626.0,"2925,68800",241.98722044728436,-7.1772739541160595
3205079,75712000,9160,Челябинская область,1,54210.0,360743.0,01.12.2014,Электроснабжение,1947.48,"2834,52700",185.2357918951671,-5.654547131525549
3205216,75712000,9765,Челябинская область,1,79560.0,523718.0,01.12.2014,Электроснабжение,3961.3,"4509,36900",132.2086183828541,-5.582679738562091
3267664,75738000,5504,Челябинская область,1,84000.0,387522.65,20.11.2017,Электроснабжение,473.2,"0,00000",818.9405114116653,-3.613364880952381
3299373,75648000,17396,Челябинская область,1,37050.0,151484.0,,Электроснабжение,622.2,"1204,81900",243.46512375441978,-3.0886369770580298
3299358,75648000,17395,Челябинская область,1,37050.0,151484.0,,Электроснабжение,628.9,"3000,19300",240.87136269677214,-3.0886369770580298
3206315,75712000,6113,Челябинская область,1,32370.0,126995.0,01.12.2014,Электроснабжение,486.7,"629,56500",260.9307581672488,-2.9232313870868087
3238480,75734000,855,Челябинская область,1,103316.0,387407.13,24.11.2017,Электроснабжение,1386.0,"116,22200",279.51452380952384,-2.7497302450733674
3320122,75752000,9606,Челябинская область,1,75188.0,250611.65,,Электроснабжение,553.0,"0,00000",453.1856238698011,-2.3331336117465553
3319653,75752000,14550,Челябинская область,1,187968.0,514844.84,29.11.2017,Электроснабжение,2953.3,"0,00000",174.3286628517252,-1.7390025961865851
3267486,75738000,16263,Челябинская область,1,57000.0,154561.31,,Электроснабжение,332.5,"0,00000",464.84604511278195,-1.7116019298245613
3323196,75752000,12923,Челябинская область,1,234960.0,604072.46,,Электроснабжение,2322.6,"0,00000",260.0845862395591,-1.5709587163772556
3320433,75752000,13849,Челябинская область,1,187968.0,398653.71,29.11.2017,Электроснабжение,1941.0,"0,00000",205.38573415765072,-1.1208594548008173
