service_type,subject_rf,value_cost,value_competition,value_cost_count,value_competition_count
Благоустройство,Архангельская область,788.9619797225736,28.5762598834504,61,61
Благоустройство,Астраханская область,24.39197501656099,0.0,1,1
Благоустройство,Воронежская область,114.41364864337523,27.859331810876775,18,18
Благоустройство,Иркутская область,234.89287013323644,-0.7727280599076306,11,11
Благоустройство,Ненецкий автономный округ,2666.9357601190713,1.096639305896378,12,12
Благоустройство,Омская область,,,0,0
Благоустройство,Оренбургская область,55.70942239541068,-12.39770335707876,23,23
Благоустройство,Орловская область,176.53564162767694,-31.73925986343404,6,5
Благоустройство,Республика Коми,,,0,0
Благоустройство,Республика Татарстан,251.63775910124636,0.0,1283,1283
Благоустройство,Саратовская область,,,0,0
Благоустройство,Ульяновская область,293.1014792052317,68.52244510176105,108,108
ИРД,Алтайский край,1181.1304226600948,0.5569813904836718,83,67
ИРД,Амурская область,2.4177123305169026,-96.41038085692566,35631,35629
ИРД,Архангельская область,41.73511196856825,57.69561631168568,3807,3347
ИРД,Астраханская область,77.75625086097624,-0.12139301587301585,175,175
ИРД,Белгородская область,37.949108926576656,0.4946063878220775,2443,2443
ИРД,Владимирская область,86.07474466659785,-11.546072958314047,168,164
ИРД,Волгоградская область,17.965953362944447,-86.35103027059442,27786,26771
ИРД,Вологодская область,,,0,0
ИРД,Воронежская область,64.49611738625755,11.523688264742313,3587,3580
ИРД,Забайкальский край,60.91819169287593,-3.463467898332599,127,127
ИРД,Иркутская область,32.80562714261361,-21.630728458445045,2934,2922
ИРД,Кабардино-Балкарская Республика,0.0,,14,0
ИРД,Калининградская область,87.60868927716831,0.0,717,717
ИРД,Калужская область,92.28083240288126,24.82675062265766,1669,1669
ИРД,Камчатский край,60.13625383426232,-8.107048189718585,1814,1811
ИРД,Кемеровская область,23.81175306759229,-4.896960572305617,2957,2985
ИРД,Краснодарский край,26.02126196100894,-16.847978283156376,5084,4931
ИРД,Курганская область,4.848860749573037,-2.2739114497294235,23008,2183
ИРД,Курская область,102.03420269974316,-39.006894705229946,1371,1084
ИРД,Ленинградская область,391.526706850938,,1875,0
ИРД,Липецкая область,46.61660142621129,-1.1210208214525348,2291,2291
ИРД,Москва,153.14926768718433,0.0,6160,6160
ИРД,Московская область,52.95477099701809,-15.445158666171057,23582,18931
ИРД,Мурманская область,20.86295294219058,-8.728144481940356,2342,2342
ИРД,Нижегородская область,50.33525396573002,1858.306043110503,6615,6595
ИРД,Омская область,88.29610447100683,-16.371831578599295,5,5
ИРД,Оренбургская область,30.88236490580933,-3.5567473756735817,3295,3295
ИРД,Орловская область,43.31541328843472,-3.8416041817294424,1717,431
ИРД,Пензенская область,120.73762230648528,-0.2873563559222696,229,232
ИРД,Пермский край,26.622306440852196,289.51423416736253,1445,228
